the Solar_eclipse_of_April_19,_2004.txt 21
at Solar_eclipse_of_April_19,_2004.txt 3
subseries Solar_eclipse_of_April_19,_2004.txt 1
solar Solar_eclipse_of_April_19,_2004.txt 6
bloemfontein Solar_eclipse_of_April_19,_2004.txt 1
south Solar_eclipse_of_April_19,_2004.txt 2
series Solar_eclipse_of_April_19,_2004.txt 3
from Solar_eclipse_of_April_19,_2004.txt 1
lesser Solar_eclipse_of_April_19,_2004.txt 1
to Solar_eclipse_of_April_19,_2004.txt 4
portion Solar_eclipse_of_April_19,_2004.txt 1
it Solar_eclipse_of_April_19,_2004.txt 1
partly Solar_eclipse_of_April_19,_2004.txt 1
such Solar_eclipse_of_April_19,_2004.txt 1
years Solar_eclipse_of_April_19,_2004.txt 2
calendar Solar_eclipse_of_April_19,_2004.txt 1
19 Solar_eclipse_of_April_19,_2004.txt 3
contents Solar_eclipse_of_April_19,_2004.txt 1
most Solar_eclipse_of_April_19,_2004.txt 1
51 Solar_eclipse_of_April_19,_2004.txt 1
nodes Solar_eclipse_of_April_19,_2004.txt 1
town Solar_eclipse_of_April_19,_2004.txt 1
regions Solar_eclipse_of_April_19,_2004.txt 1
africa Solar_eclipse_of_April_19,_2004.txt 2
however Solar_eclipse_of_April_19,_2004.txt 1
deep Solar_eclipse_of_April_19,_2004.txt 1
earth Solar_eclipse_of_April_19,_2004.txt 4
totality Solar_eclipse_of_April_19,_2004.txt 3
polar Solar_eclipse_of_April_19,_2004.txt 1
peninsula Solar_eclipse_of_April_19,_2004.txt 1
links Solar_eclipse_of_April_19,_2004.txt 1
wikipedia Solar_eclipse_of_April_19,_2004.txt 1
that Solar_eclipse_of_April_19,_2004.txt 1
50 Solar_eclipse_of_April_19,_2004.txt 1
approximately Solar_eclipse_of_April_19,_2004.txt 2
every Solar_eclipse_of_April_19,_2004.txt 3
eclipses Solar_eclipse_of_April_19,_2004.txt 5
although Solar_eclipse_of_April_19,_2004.txt 1
in Solar_eclipse_of_April_19,_2004.txt 4
occurs Solar_eclipse_of_April_19,_2004.txt 2
pm Solar_eclipse_of_April_19,_2004.txt 1
obscuring Solar_eclipse_of_April_19,_2004.txt 1
73.5 Solar_eclipse_of_April_19,_2004.txt 1
durban Solar_eclipse_of_April_19,_2004.txt 1
remained Solar_eclipse_of_April_19,_2004.txt 1
nearly Solar_eclipse_of_April_19,_2004.txt 1
animated Solar_eclipse_of_April_19,_2004.txt 1
viewer Solar_eclipse_of_April_19,_2004.txt 1
off Solar_eclipse_of_April_19,_2004.txt 1
lasting Solar_eclipse_of_April_19,_2004.txt 1
over Solar_eclipse_of_April_19,_2004.txt 3
april Solar_eclipse_of_April_19,_2004.txt 2
1387.94 Solar_eclipse_of_April_19,_2004.txt 1
seen Solar_eclipse_of_April_19,_2004.txt 1
metonic Solar_eclipse_of_April_19,_2004.txt 2
towns Solar_eclipse_of_April_19,_2004.txt 1
greatest Solar_eclipse_of_April_19,_2004.txt 1
and Solar_eclipse_of_April_19,_2004.txt 4
totally Solar_eclipse_of_April_19,_2004.txt 1
each Solar_eclipse_of_April_19,_2004.txt 1
addition Solar_eclipse_of_April_19,_2004.txt 1
categories Solar_eclipse_of_April_19,_2004.txt 2
of Solar_eclipse_of_April_19,_2004.txt 11
moons Solar_eclipse_of_April_19,_2004.txt 2
hours Solar_eclipse_of_April_19,_2004.txt 1
orbit Solar_eclipse_of_April_19,_2004.txt 1
octon Solar_eclipse_of_April_19,_2004.txt 1
on Solar_eclipse_of_April_19,_2004.txt 2
strip Solar_eclipse_of_April_19,_2004.txt 1
center Solar_eclipse_of_April_19,_2004.txt 1
large Solar_eclipse_of_April_19,_2004.txt 1
for Solar_eclipse_of_April_19,_2004.txt 1
southern Solar_eclipse_of_April_19,_2004.txt 1
177 Solar_eclipse_of_April_19,_2004.txt 1
maseru Solar_eclipse_of_April_19,_2004.txt 1
path Solar_eclipse_of_April_19,_2004.txt 1
extent Solar_eclipse_of_April_19,_2004.txt 1
4 Solar_eclipse_of_April_19,_2004.txt 1
2004 Solar_eclipse_of_April_19,_2004.txt 2
between Solar_eclipse_of_April_19,_2004.txt 1
1/5 Solar_eclipse_of_April_19,_2004.txt 1
edit Solar_eclipse_of_April_19,_2004.txt 5
3.8 Solar_eclipse_of_April_19,_2004.txt 1
thereby Solar_eclipse_of_April_19,_2004.txt 1
eclipse Solar_eclipse_of_April_19,_2004.txt 8
point Solar_eclipse_of_April_19,_2004.txt 1
antarctica Solar_eclipse_of_April_19,_2004.txt 1
moon Solar_eclipse_of_April_19,_2004.txt 1
repeats Solar_eclipse_of_April_19,_2004.txt 3
passes Solar_eclipse_of_April_19,_2004.txt 1
about Solar_eclipse_of_April_19,_2004.txt 1
compared Solar_eclipse_of_April_19,_2004.txt 1
misses Solar_eclipse_of_April_19,_2004.txt 1
as Solar_eclipse_of_April_19,_2004.txt 2
related Solar_eclipse_of_April_19,_2004.txt 1
5 Solar_eclipse_of_April_19,_2004.txt 1
coast Solar_eclipse_of_April_19,_2004.txt 1
be Solar_eclipse_of_April_19,_2004.txt 1
with Solar_eclipse_of_April_19,_2004.txt 1
partial Solar_eclipse_of_April_19,_2004.txt 2
nigh Solar_eclipse_of_April_19,_2004.txt 1
visible Solar_eclipse_of_April_19,_2004.txt 2
when Solar_eclipse_of_April_19,_2004.txt 2
maximum Solar_eclipse_of_April_19,_2004.txt 1
atlantic Solar_eclipse_of_April_19,_2004.txt 1
ocean Solar_eclipse_of_April_19,_2004.txt 2
hidden Solar_eclipse_of_April_19,_2004.txt 1
4:10 Solar_eclipse_of_April_19,_2004.txt 1
inaccessible Solar_eclipse_of_April_19,_2004.txt 1
largely Solar_eclipse_of_April_19,_2004.txt 1
images Solar_eclipse_of_April_19,_2004.txt 1
much Solar_eclipse_of_April_19,_2004.txt 1
cape Solar_eclipse_of_April_19,_2004.txt 2
place Solar_eclipse_of_April_19,_2004.txt 2
antarctic Solar_eclipse_of_April_19,_2004.txt 2
alternating Solar_eclipse_of_April_19,_2004.txt 1
cities Solar_eclipse_of_April_19,_2004.txt 1
sun Solar_eclipse_of_April_19,_2004.txt 3
north Solar_eclipse_of_April_19,_2004.txt 1
monday Solar_eclipse_of_April_19,_2004.txt 1
semester Solar_eclipse_of_April_19,_2004.txt 2
prominently Solar_eclipse_of_April_19,_2004.txt 1
external Solar_eclipse_of_April_19,_2004.txt 1
a Solar_eclipse_of_April_19,_2004.txt 9
cycles Solar_eclipse_of_April_19,_2004.txt 1
was Solar_eclipse_of_April_19,_2004.txt 2
or Solar_eclipse_of_April_19,_2004.txt 2
image Solar_eclipse_of_April_19,_2004.txt 1
member Solar_eclipse_of_April_19,_2004.txt 1
harare Solar_eclipse_of_April_19,_2004.txt 1
enough Solar_eclipse_of_April_19,_2004.txt 1
took Solar_eclipse_of_April_19,_2004.txt 2
date Solar_eclipse_of_April_19,_2004.txt 1
6939.69 Solar_eclipse_of_April_19,_2004.txt 1
shadow Solar_eclipse_of_April_19,_2004.txt 1
occur Solar_eclipse_of_April_19,_2004.txt 1
displayed Solar_eclipse_of_April_19,_2004.txt 1
shores Solar_eclipse_of_April_19,_2004.txt 1
days Solar_eclipse_of_April_19,_2004.txt 3
20042007 Solar_eclipse_of_April_19,_2004.txt 1
same Solar_eclipse_of_April_19,_2004.txt 1
