at Solar_eclipse_of_July_11,_2010.txt 8
solar Solar_eclipse_of_July_11,_2010.txt 7
tourists Solar_eclipse_of_July_11,_2010.txt 2
south Solar_eclipse_of_July_11,_2010.txt 2
it Solar_eclipse_of_July_11,_2010.txt 5
valparaso Solar_eclipse_of_July_11,_2010.txt 1
happen Solar_eclipse_of_July_11,_2010.txt 1
19 Solar_eclipse_of_July_11,_2010.txt 1
via Solar_eclipse_of_July_11,_2010.txt 1
interesting Solar_eclipse_of_July_11,_2010.txt 1
san Solar_eclipse_of_July_11,_2010.txt 1
archipelago Solar_eclipse_of_July_11,_2010.txt 1
second Solar_eclipse_of_July_11,_2010.txt 1
final Solar_eclipse_of_July_11,_2010.txt 1
adequate Solar_eclipse_of_July_11,_2010.txt 1
town Solar_eclipse_of_July_11,_2010.txt 1
tonga Solar_eclipse_of_July_11,_2010.txt 1
africa Solar_eclipse_of_July_11,_2010.txt 1
no Solar_eclipse_of_July_11,_2010.txt 1
various Solar_eclipse_of_July_11,_2010.txt 1
fifa Solar_eclipse_of_July_11,_2010.txt 1
estimated Solar_eclipse_of_July_11,_2010.txt 1
lot Solar_eclipse_of_July_11,_2010.txt 1
observers Solar_eclipse_of_July_11,_2010.txt 2
later Solar_eclipse_of_July_11,_2010.txt 1
soccer Solar_eclipse_of_July_11,_2010.txt 1
utc Solar_eclipse_of_July_11,_2010.txt 2
across Solar_eclipse_of_July_11,_2010.txt 1
moai Solar_eclipse_of_July_11,_2010.txt 1
site Solar_eclipse_of_July_11,_2010.txt 1
obscuring Solar_eclipse_of_July_11,_2010.txt 2
sunset Solar_eclipse_of_July_11,_2010.txt 2
santiago Solar_eclipse_of_July_11,_2010.txt 1
47 Solar_eclipse_of_July_11,_2010.txt 1
calafate Solar_eclipse_of_July_11,_2010.txt 2
islands Solar_eclipse_of_July_11,_2010.txt 4
nearly Solar_eclipse_of_July_11,_2010.txt 2
remote Solar_eclipse_of_July_11,_2010.txt 1
glasses Solar_eclipse_of_July_11,_2010.txt 1
700 Solar_eclipse_of_July_11,_2010.txt 1
represented Solar_eclipse_of_July_11,_2010.txt 1
seen Solar_eclipse_of_July_11,_2010.txt 2
1,400 Solar_eclipse_of_July_11,_2010.txt 2
july Solar_eclipse_of_July_11,_2010.txt 2
above Solar_eclipse_of_July_11,_2010.txt 2
totally Solar_eclipse_of_July_11,_2010.txt 1
mar Solar_eclipse_of_July_11,_2010.txt 1
began Solar_eclipse_of_July_11,_2010.txt 1
distributed Solar_eclipse_of_July_11,_2010.txt 1
orbit Solar_eclipse_of_July_11,_2010.txt 1
passing Solar_eclipse_of_July_11,_2010.txt 1
argentinas Solar_eclipse_of_July_11,_2010.txt 2
minutes Solar_eclipse_of_July_11,_2010.txt 3
20 Solar_eclipse_of_July_11,_2010.txt 2
bailys Solar_eclipse_of_July_11,_2010.txt 1
plains Solar_eclipse_of_July_11,_2010.txt 1
southern Solar_eclipse_of_July_11,_2010.txt 5
direct Solar_eclipse_of_July_11,_2010.txt 1
one Solar_eclipse_of_July_11,_2010.txt 3
airplane Solar_eclipse_of_July_11,_2010.txt 1
inhabited Solar_eclipse_of_July_11,_2010.txt 1
special Solar_eclipse_of_July_11,_2010.txt 1
southeast Solar_eclipse_of_July_11,_2010.txt 1
as Solar_eclipse_of_July_11,_2010.txt 2
percentage Solar_eclipse_of_July_11,_2010.txt 1
repeats Solar_eclipse_of_July_11,_2010.txt 3
about Solar_eclipse_of_July_11,_2010.txt 6
is Solar_eclipse_of_July_11,_2010.txt 3
not Solar_eclipse_of_July_11,_2010.txt 1
pacific Solar_eclipse_of_July_11,_2010.txt 4
table Solar_eclipse_of_July_11,_2010.txt 1
with Solar_eclipse_of_July_11,_2010.txt 3
350 Solar_eclipse_of_July_11,_2010.txt 1
injuries Solar_eclipse_of_July_11,_2010.txt 1
altitude Solar_eclipse_of_July_11,_2010.txt 1
when Solar_eclipse_of_July_11,_2010.txt 2
security Solar_eclipse_of_July_11,_2010.txt 1
120,000 Solar_eclipse_of_July_11,_2010.txt 1
kilometres Solar_eclipse_of_July_11,_2010.txt 1
skyline Solar_eclipse_of_July_11,_2010.txt 1
ring Solar_eclipse_of_July_11,_2010.txt 1
filmmakers Solar_eclipse_of_July_11,_2010.txt 1
semester Solar_eclipse_of_July_11,_2010.txt 2
a Solar_eclipse_of_July_11,_2010.txt 15
cycles Solar_eclipse_of_July_11,_2010.txt 1
was Solar_eclipse_of_July_11,_2010.txt 11
patagonia Solar_eclipse_of_July_11,_2010.txt 1
or Solar_eclipse_of_July_11,_2010.txt 3
history Solar_eclipse_of_July_11,_2010.txt 1
image Solar_eclipse_of_July_11,_2010.txt 1
alternating Solar_eclipse_of_July_11,_2010.txt 1
occurred Solar_eclipse_of_July_11,_2010.txt 4
magnitude Solar_eclipse_of_July_11,_2010.txt 2
total Solar_eclipse_of_July_11,_2010.txt 5
observing Solar_eclipse_of_July_11,_2010.txt 1
any Solar_eclipse_of_July_11,_2010.txt 1
before Solar_eclipse_of_July_11,_2010.txt 1
just Solar_eclipse_of_July_11,_2010.txt 3
days Solar_eclipse_of_July_11,_2010.txt 3
weather Solar_eclipse_of_July_11,_2010.txt 1
same Solar_eclipse_of_July_11,_2010.txt 2
hanging Solar_eclipse_of_July_11,_2010.txt 1
track Solar_eclipse_of_July_11,_2010.txt 1
series Solar_eclipse_of_July_11,_2010.txt 3
from Solar_eclipse_of_July_11,_2010.txt 1
but Solar_eclipse_of_July_11,_2010.txt 3
calendar Solar_eclipse_of_July_11,_2010.txt 1
observations Solar_eclipse_of_July_11,_2010.txt 1
permitted Solar_eclipse_of_July_11,_2010.txt 1
these Solar_eclipse_of_July_11,_2010.txt 2
turning Solar_eclipse_of_July_11,_2010.txt 1
four Solar_eclipse_of_July_11,_2010.txt 1
stationed Solar_eclipse_of_July_11,_2010.txt 1
most Solar_eclipse_of_July_11,_2010.txt 2
two Solar_eclipse_of_July_11,_2010.txt 1
touching Solar_eclipse_of_July_11,_2010.txt 1
struck Solar_eclipse_of_July_11,_2010.txt 1
11 Solar_eclipse_of_July_11,_2010.txt 2
being Solar_eclipse_of_July_11,_2010.txt 1
said Solar_eclipse_of_July_11,_2010.txt 1
first Solar_eclipse_of_July_11,_2010.txt 3
member Solar_eclipse_of_July_11,_2010.txt 1
only Solar_eclipse_of_July_11,_2010.txt 1
nasa Solar_eclipse_of_July_11,_2010.txt 1
surface Solar_eclipse_of_July_11,_2010.txt 1
totality Solar_eclipse_of_July_11,_2010.txt 4
wikipedia Solar_eclipse_of_July_11,_2010.txt 1
that Solar_eclipse_of_July_11,_2010.txt 4
sunlight Solar_eclipse_of_July_11,_2010.txt 1
every Solar_eclipse_of_July_11,_2010.txt 3
eclipses Solar_eclipse_of_July_11,_2010.txt 7
in Solar_eclipse_of_July_11,_2010.txt 23
antofagasta Solar_eclipse_of_July_11,_2010.txt 1
also Solar_eclipse_of_July_11,_2010.txt 1
archeological Solar_eclipse_of_July_11,_2010.txt 1
french Solar_eclipse_of_July_11,_2010.txt 3
set Solar_eclipse_of_July_11,_2010.txt 1
hit Solar_eclipse_of_July_11,_2010.txt 1
lapse Solar_eclipse_of_July_11,_2010.txt 1
