the Solar_eclipse_of_October_23,_1976.txt 24
at Solar_eclipse_of_October_23,_1976.txt 3
24 Solar_eclipse_of_October_23,_1976.txt 1
solar Solar_eclipse_of_October_23,_1976.txt 10
south Solar_eclipse_of_October_23,_1976.txt 1
series Solar_eclipse_of_October_23,_1976.txt 6
from Solar_eclipse_of_October_23,_1976.txt 2
subseries Solar_eclipse_of_October_23,_1976.txt 1
annular Solar_eclipse_of_October_23,_1976.txt 1
it Solar_eclipse_of_October_23,_1976.txt 3
north Solar_eclipse_of_October_23,_1976.txt 3
indian Solar_eclipse_of_October_23,_1976.txt 1
salaam Solar_eclipse_of_October_23,_1976.txt 1
years Solar_eclipse_of_October_23,_1976.txt 3
calendar Solar_eclipse_of_October_23,_1976.txt 1
largest Solar_eclipse_of_October_23,_1976.txt 1
this Solar_eclipse_of_October_23,_1976.txt 2
seychelles Solar_eclipse_of_October_23,_1976.txt 1
contents Solar_eclipse_of_October_23,_1976.txt 1
turning Solar_eclipse_of_October_23,_1976.txt 1
tanzania Solar_eclipse_of_October_23,_1976.txt 1
133 Solar_eclipse_of_October_23,_1976.txt 2
making Solar_eclipse_of_October_23,_1976.txt 1
references Solar_eclipse_of_October_23,_1976.txt 1
nodes Solar_eclipse_of_October_23,_1976.txt 1
11 Solar_eclipse_of_October_23,_1976.txt 1
september Solar_eclipse_of_October_23,_1976.txt 1
1975-1978 Solar_eclipse_of_October_23,_1976.txt 1
2373 Solar_eclipse_of_October_23,_1976.txt 1
member Solar_eclipse_of_October_23,_1976.txt 2
20 Solar_eclipse_of_October_23,_1976.txt 1
surface Solar_eclipse_of_October_23,_1976.txt 2
earth Solar_eclipse_of_October_23,_1976.txt 2
totality Solar_eclipse_of_October_23,_1976.txt 5
australia Solar_eclipse_of_October_23,_1976.txt 1
18 Solar_eclipse_of_October_23,_1976.txt 1
august Solar_eclipse_of_October_23,_1976.txt 1
farquhar Solar_eclipse_of_October_23,_1976.txt 1
wikipedia Solar_eclipse_of_October_23,_1976.txt 1
that Solar_eclipse_of_October_23,_1976.txt 2
50 Solar_eclipse_of_October_23,_1976.txt 1
sunlight Solar_eclipse_of_October_23,_1976.txt 1
every Solar_eclipse_of_October_23,_1976.txt 4
leaving Solar_eclipse_of_October_23,_1976.txt 1
eclipses Solar_eclipse_of_October_23,_1976.txt 8
st Solar_eclipse_of_October_23,_1976.txt 1
1850 Solar_eclipse_of_October_23,_1976.txt 1
has Solar_eclipse_of_October_23,_1976.txt 1
wide Solar_eclipse_of_October_23,_1976.txt 1
in Solar_eclipse_of_October_23,_1976.txt 6
1544 Solar_eclipse_of_October_23,_1976.txt 1
occurs Solar_eclipse_of_October_23,_1976.txt 3
started Solar_eclipse_of_October_23,_1976.txt 1
nearly Solar_eclipse_of_October_23,_1976.txt 1
suns Solar_eclipse_of_October_23,_1976.txt 1
melbourne Solar_eclipse_of_October_23,_1976.txt 1
getting Solar_eclipse_of_October_23,_1976.txt 1
near Solar_eclipse_of_October_23,_1976.txt 1
burundi Solar_eclipse_of_October_23,_1976.txt 1
direct Solar_eclipse_of_October_23,_1976.txt 1
obscuring Solar_eclipse_of_October_23,_1976.txt 1
6 Solar_eclipse_of_October_23,_1976.txt 1
day Solar_eclipse_of_October_23,_1976.txt 1
southeastern Solar_eclipse_of_October_23,_1976.txt 1
1562 Solar_eclipse_of_October_23,_1976.txt 1
longest Solar_eclipse_of_October_23,_1976.txt 1
thousands Solar_eclipse_of_October_23,_1976.txt 1
13 Solar_eclipse_of_October_23,_1976.txt 2
viewer Solar_eclipse_of_October_23,_1976.txt 1
lasting Solar_eclipse_of_October_23,_1976.txt 1
over Solar_eclipse_of_October_23,_1976.txt 1
darkness Solar_eclipse_of_October_23,_1976.txt 1
after Solar_eclipse_of_October_23,_1976.txt 1
1387.94 Solar_eclipse_of_October_23,_1976.txt 1
july Solar_eclipse_of_October_23,_1976.txt 1
and Solar_eclipse_of_October_23,_1976.txt 4
7 Solar_eclipse_of_October_23,_1976.txt 1
image Solar_eclipse_of_October_23,_1976.txt 1
each Solar_eclipse_of_October_23,_1976.txt 2
all Solar_eclipse_of_October_23,_1976.txt 1
addition Solar_eclipse_of_October_23,_1976.txt 1
categories Solar_eclipse_of_October_23,_1976.txt 2
island Solar_eclipse_of_October_23,_1976.txt 2
approximately Solar_eclipse_of_October_23,_1976.txt 1
began Solar_eclipse_of_October_23,_1976.txt 1
hours Solar_eclipse_of_October_23,_1976.txt 1
orbit Solar_eclipse_of_October_23,_1976.txt 1
octon Solar_eclipse_of_October_23,_1976.txt 1
passing Solar_eclipse_of_October_23,_1976.txt 2
are Solar_eclipse_of_October_23,_1976.txt 1
19 Solar_eclipse_of_October_23,_1976.txt 1
dar Solar_eclipse_of_October_23,_1976.txt 1
on Solar_eclipse_of_October_23,_1976.txt 6
minutes Solar_eclipse_of_October_23,_1976.txt 1
seconds Solar_eclipse_of_October_23,_1976.txt 1
october Solar_eclipse_of_October_23,_1976.txt 2
sunrise Solar_eclipse_of_October_23,_1976.txt 1
large Solar_eclipse_of_October_23,_1976.txt 1
for Solar_eclipse_of_October_23,_1976.txt 1
3 Solar_eclipse_of_October_23,_1976.txt 1
pierre Solar_eclipse_of_October_23,_1976.txt 1
