twinned Chita,_Zabaykalsky_Krai.txt 1 426 
skating Chita,_Zabaykalsky_Krai.txt 1 381 
humid Chita,_Zabaykalsky_Krai.txt 1 392 
sister Chita,_Zabaykalsky_Krai.txt 2 410 420 
indoor Chita,_Zabaykalsky_Krai.txt 1 377 
soon Chita,_Zabaykalsky_Krai.txt 1 133 
mines Chita,_Zabaykalsky_Krai.txt 2 273 305 
founded Chita,_Zabaykalsky_Krai.txt 1 58 
held Chita,_Zabaykalsky_Krai.txt 1 187 
subarctic Chita,_Zabaykalsky_Krai.txt 1 390 
tta Chita,_Zabaykalsky_Krai.txt 1 7 
settlement Chita,_Zabaykalsky_Krai.txt 1 296 
speed Chita,_Zabaykalsky_Krai.txt 1 380 
trans-siberian Chita,_Zabaykalsky_Krai.txt 1 32 
also Chita,_Zabaykalsky_Krai.txt 4 117 219 232 414 
1941 Chita,_Zabaykalsky_Krai.txt 1 303 
had Chita,_Zabaykalsky_Krai.txt 2 97 152 
zabaykalsky Chita,_Zabaykalsky_Krai.txt 3 1 16 209 
geological Chita,_Zabaykalsky_Krai.txt 1 309 
1945 Chita,_Zabaykalsky_Krai.txt 1 174 
to Chita,_Zabaykalsky_Krai.txt 8 72 75 138 160 228 292 325 338 
association Chita,_Zabaykalsky_Krai.txt 1 373 
under Chita,_Zabaykalsky_Krai.txt 1 125 
suffered Chita,_Zabaykalsky_Krai.txt 1 70 
east Chita,_Zabaykalsky_Krai.txt 1 38 
administrative Chita,_Zabaykalsky_Krai.txt 7 13 198 206 216 223 265 289 
2010 Chita,_Zabaykalsky_Krai.txt 1 43 
brigade Chita,_Zabaykalsky_Krai.txt 1 360 
division Chita,_Zabaykalsky_Krai.txt 1 237 
airport Chita,_Zabaykalsky_Krai.txt 1 322 
his Chita,_Zabaykalsky_Krai.txt 1 184 
increased Chita,_Zabaykalsky_Krai.txt 1 159 
chitas Chita,_Zabaykalsky_Krai.txt 3 122 150 372 
winters Chita,_Zabaykalsky_Krai.txt 1 402 
material Chita,_Zabaykalsky_Krai.txt 1 364 
dry Chita,_Zabaykalsky_Krai.txt 1 401 
borderline Chita,_Zabaykalsky_Krai.txt 1 389 
framework Chita,_Zabaykalsky_Krai.txt 1 214 
