exhibitions Paderborn,_Germany.txt 1 618 
bombed Paderborn,_Germany.txt 1 277 
founded Paderborn,_Germany.txt 3 68 813 1009 
battle Paderborn,_Germany.txt 1 307 
oldest Paderborn,_Germany.txt 1 997 
children Paderborn,_Germany.txt 1 1105 
archdiocese Paderborn,_Germany.txt 1 270 
1944 Paderborn,_Germany.txt 1 282 
1945 Paderborn,_Germany.txt 2 284 312 
to Paderborn,_Germany.txt 14 212 236 241 254 269 564 589 709 759 768 830 884 924 932 
hermann Paderborn,_Germany.txt 1 1120 
division Paderborn,_Germany.txt 1 303 
seized Paderborn,_Germany.txt 1 297 
returned Paderborn,_Germany.txt 1 240 
vassal Paderborn,_Germany.txt 1 229 
regional Paderborn,_Germany.txt 1 986 
connects Paderborn,_Germany.txt 2 882 922 
personnel Paderborn,_Germany.txt 1 1109 
garrisons Paderborn,_Germany.txt 1 1112 
every Paderborn,_Germany.txt 1 176 
tanks Paderborn,_Germany.txt 1 315 
categories Paderborn,_Germany.txt 2 1146 1148 
school Paderborn,_Germany.txt 1 1096 
companies Paderborn,_Germany.txt 1 542 
joined Paderborn,_Germany.txt 1 822 
large Paderborn,_Germany.txt 1 200 
team Paderborn,_Germany.txt 4 673 686 703 766 
1940s Paderborn,_Germany.txt 1 339 
past Paderborn,_Germany.txt 1 718 
consists Paderborn,_Germany.txt 1 423 
further Paderborn,_Germany.txt 1 1140 
situated Paderborn,_Germany.txt 1 375 
plays Paderborn,_Germany.txt 1 859 
current Paderborn,_Germany.txt 1 804 
capital Paderborn,_Germany.txt 1 19 
jesuits Paderborn,_Germany.txt 1 1012 
transportation Paderborn,_Germany.txt 1 869 
french Paderborn,_Germany.txt 1 228 
leo Paderborn,_Germany.txt 3 95 132 145 
met Paderborn,_Germany.txt 1 107 
baseball Paderborn,_Germany.txt 1 672 
others Paderborn,_Germany.txt 1 1079 
along Paderborn,_Germany.txt 1 1077 
arena Paderborn,_Germany.txt 1 866 
33 Paderborn,_Germany.txt 1 880 
31 Paderborn,_Germany.txt 2 308 395 
30 Paderborn,_Germany.txt 1 384 
museums Paderborn,_Germany.txt 1 621 
airport Paderborn,_Germany.txt 3 872 921 944 
resulting Paderborn,_Germany.txt 1 285 
military Paderborn,_Germany.txt 1 1108 
paderborn-neuhaus Paderborn,_Germany.txt 1 799 
campaign Paderborn,_Germany.txt 1 764 
buses Paderborn,_Germany.txt 2 980 987 
baskets Paderborn,_Germany.txt 3 699 713 721 
1907 Paderborn,_Germany.txt 1 815 
armed Paderborn,_Germany.txt 1 460 
universitt-gesamthochschule Paderborn,_Germany.txt 1 1024 
2008-09 Paderborn,_Germany.txt 1 735 
from Paderborn,_Germany.txt 7 3 30 164 234 257 587 754 
links Paderborn,_Germany.txt 1 1144 
would Paderborn,_Germany.txt 1 126 
army Paderborn,_Germany.txt 1 352 
sports Paderborn,_Germany.txt 2 658 669 
few Paderborn,_Germany.txt 1 1088 
live Paderborn,_Germany.txt 1 462 
symphony Paderborn,_Germany.txt 1 606 
taken Paderborn,_Germany.txt 1 220 
von Paderborn,_Germany.txt 1 1123 
today Paderborn,_Germany.txt 3 615 857 1036 
more Paderborn,_Germany.txt 1 51 
re-founded Paderborn,_Germany.txt 1 1020 
holy Paderborn,_Germany.txt 1 141 
lutherans Paderborn,_Germany.txt 1 482 
club Paderborn,_Germany.txt 4 749 782 811 856 
company Paderborn,_Germany.txt 1 516 
line Paderborn,_Germany.txt 1 913 
sister Paderborn,_Germany.txt 2 648 655 
site Paderborn,_Germany.txt 2 959 999 
championships Paderborn,_Germany.txt 2 681 964 
known Paderborn,_Germany.txt 4 508 519 614 663 
iii Paderborn,_Germany.txt 2 96 845 
town Paderborn,_Germany.txt 2 599 638 
1990 Paderborn,_Germany.txt 1 569 
theodorianum Paderborn,_Germany.txt 1 1072 
1997 Paderborn,_Germany.txt 1 808 
this Paderborn,_Germany.txt 1 118 
mi Paderborn,_Germany.txt 2 387 396 
hochstift Paderborn,_Germany.txt 1 984 
de:heinz Paderborn,_Germany.txt 1 584 
following Paderborn,_Germany.txt 1 426 
paderhalle Paderborn,_Germany.txt 1 610 
history Paderborn,_Germany.txt 2 64 79 
