partial Solar_eclipse_of_April_19,_1958.txt 1 81 
just Solar_eclipse_of_April_19,_1958.txt 1 157 
suns Solar_eclipse_of_April_19,_1958.txt 2 58 63 
over Solar_eclipse_of_April_19,_1958.txt 1 83 
kong Solar_eclipse_of_April_19,_1958.txt 1 122 
produced Solar_eclipse_of_April_19,_1958.txt 1 230 
including Solar_eclipse_of_April_19,_1958.txt 1 103 
same Solar_eclipse_of_April_19,_1958.txt 1 279 
years Solar_eclipse_of_April_19,_1958.txt 4 159 216 267 294 
earth Solar_eclipse_of_April_19,_1958.txt 3 25 43 88 
taiwan Solar_eclipse_of_April_19,_1958.txt 1 123 
subseries Solar_eclipse_of_April_19,_1958.txt 1 286 
25 Solar_eclipse_of_April_19,_1958.txt 1 255 
1948 Solar_eclipse_of_April_19,_1958.txt 1 139 
1543 Solar_eclipse_of_April_19,_1958.txt 1 245 
28 Solar_eclipse_of_April_19,_1958.txt 1 240 
blocking Solar_eclipse_of_April_19,_1958.txt 1 59 
to Solar_eclipse_of_April_19,_1958.txt 4 69 117 140 150 
4 Solar_eclipse_of_April_19,_1958.txt 2 152 184 
nodes Solar_eclipse_of_April_19,_1958.txt 1 190 
thousands Solar_eclipse_of_April_19,_1958.txt 1 89 
alternating Solar_eclipse_of_April_19,_1958.txt 1 189 
belonging Solar_eclipse_of_April_19,_1958.txt 1 116 
which Solar_eclipse_of_April_19,_1958.txt 1 209 
thereby Solar_eclipse_of_April_19,_1958.txt 1 29 
10 Solar_eclipse_of_April_19,_1958.txt 1 158 
between Solar_eclipse_of_April_19,_1958.txt 1 24 
every Solar_eclipse_of_April_19,_1958.txt 4 180 214 265 292 
nearly Solar_eclipse_of_April_19,_1958.txt 1 277 
128 Solar_eclipse_of_April_19,_1958.txt 2 196 208 
part Solar_eclipse_of_April_19,_1958.txt 1 202 
now Solar_eclipse_of_April_19,_1958.txt 1 115 
1958 Solar_eclipse_of_April_19,_1958.txt 3 5 15 141 
categories Solar_eclipse_of_April_19,_1958.txt 2 301 303 
occurring Solar_eclipse_of_April_19,_1958.txt 1 213 
kilometres Solar_eclipse_of_April_19,_1958.txt 1 91 
like Solar_eclipse_of_April_19,_1958.txt 1 71 
edit Solar_eclipse_of_April_19,_1958.txt 6 163 168 197 259 298 300 
notes Solar_eclipse_of_April_19,_1958.txt 1 297 
large Solar_eclipse_of_April_19,_1958.txt 1 148 
this Solar_eclipse_of_April_19,_1958.txt 1 198 
6939.69 Solar_eclipse_of_April_19,_1958.txt 1 268 
calendar Solar_eclipse_of_April_19,_1958.txt 1 280 
annularity Solar_eclipse_of_April_19,_1958.txt 1 93 
through Solar_eclipse_of_April_19,_1958.txt 3 224 242 253 
cycles Solar_eclipse_of_April_19,_1958.txt 1 273 
where Solar_eclipse_of_April_19,_1958.txt 1 142 
1417 Solar_eclipse_of_April_19,_1958.txt 1 223 
smaller Solar_eclipse_of_April_19,_1958.txt 1 55 
series Solar_eclipse_of_April_19,_1958.txt 4 174 229 258 262 
related Solar_eclipse_of_April_19,_1958.txt 1 161 
japan Solar_eclipse_of_April_19,_1958.txt 1 127 
1489 Solar_eclipse_of_April_19,_1958.txt 1 241 
witness Solar_eclipse_of_April_19,_1958.txt 1 151 
ryukyu Solar_eclipse_of_April_19,_1958.txt 1 124 
for Solar_eclipse_of_April_19,_1958.txt 2 39 146 
sun Solar_eclipse_of_April_19,_1958.txt 3 28 38 68 
hybrid Solar_eclipse_of_April_19,_1958.txt 1 236 
wikipedia Solar_eclipse_of_April_19,_1958.txt 1 6 
moon Solar_eclipse_of_April_19,_1958.txt 1 22 
rare Solar_eclipse_of_April_19,_1958.txt 1 145 
capital Solar_eclipse_of_April_19,_1958.txt 1 105 
occurs Solar_eclipse_of_April_19,_1958.txt 2 19 48 
august Solar_eclipse_of_April_19,_1958.txt 1 250 
city Solar_eclipse_of_April_19,_1958.txt 2 106 149 
each Solar_eclipse_of_April_19,_1958.txt 1 169 
annular Solar_eclipse_of_April_19,_1958.txt 4 8 45 76 247 
bangkok Solar_eclipse_of_April_19,_1958.txt 2 107 137 
china Solar_eclipse_of_April_19,_1958.txt 1 119 
thailand Solar_eclipse_of_April_19,_1958.txt 1 102 
appears Solar_eclipse_of_April_19,_1958.txt 1 78 
on Solar_eclipse_of_April_19,_1958.txt 2 12 42 
about Solar_eclipse_of_April_19,_1958.txt 1 271 
hidden Solar_eclipse_of_April_19,_1958.txt 1 302 
central Solar_eclipse_of_April_19,_1958.txt 2 132 153 
of Solar_eclipse_of_April_19,_1958.txt 10 2 36 61 86 90 166 175 191 203 289 
region Solar_eclipse_of_April_19,_1958.txt 1 85 
hours Solar_eclipse_of_April_19,_1958.txt 1 185 
days Solar_eclipse_of_April_19,_1958.txt 4 182 219 269 296 
british Solar_eclipse_of_April_19,_1958.txt 1 120 
april Solar_eclipse_of_April_19,_1958.txt 2 3 13 
islands Solar_eclipse_of_April_19,_1958.txt 2 100 125 
repeats Solar_eclipse_of_April_19,_1958.txt 3 178 263 287 
or Solar_eclipse_of_April_19,_1958.txt 2 31 291 
south Solar_eclipse_of_April_19,_1958.txt 1 113 
burma Solar_eclipse_of_April_19,_1958.txt 1 101 
diameter Solar_eclipse_of_April_19,_1958.txt 1 53 
followed Solar_eclipse_of_April_19,_1958.txt 1 234 
image Solar_eclipse_of_April_19,_1958.txt 1 35 
1471 Solar_eclipse_of_April_19,_1958.txt 1 227 
visible Solar_eclipse_of_April_19,_1958.txt 2 95 135 
semester Solar_eclipse_of_April_19,_1958.txt 2 173 187 
references Solar_eclipse_of_April_19,_1958.txt 1 299 
177 Solar_eclipse_of_April_19,_1958.txt 1 181 
ring Solar_eclipse_of_April_19,_1958.txt 1 74 
total Solar_eclipse_of_April_19,_1958.txt 1 231 
passes Solar_eclipse_of_April_19,_1958.txt 1 23 
from Solar_eclipse_of_April_19,_1958.txt 5 136 138 220 238 249 
addition Solar_eclipse_of_April_19,_1958.txt 1 283 
contains Solar_eclipse_of_April_19,_1958.txt 1 210 
approximately Solar_eclipse_of_April_19,_1958.txt 1 179 
by Solar_eclipse_of_April_19,_1958.txt 1 235 
laos Solar_eclipse_of_April_19,_1958.txt 1 109 
was Solar_eclipse_of_April_19,_1958.txt 2 94 129 
1/5 Solar_eclipse_of_April_19,_1958.txt 1 288 
partly Solar_eclipse_of_April_19,_1958.txt 1 32 
2120 Solar_eclipse_of_April_19,_1958.txt 1 256 
apparent Solar_eclipse_of_April_19,_1958.txt 1 52 
occurred Solar_eclipse_of_April_19,_1958.txt 1 11 
maldives Solar_eclipse_of_April_19,_1958.txt 1 98 
solar Solar_eclipse_of_April_19,_1958.txt 10 0 9 17 46 133 154 164 176 205 232 
obscuring Solar_eclipse_of_April_19,_1958.txt 1 33 
july Solar_eclipse_of_April_19,_1958.txt 2 243 254 
than Solar_eclipse_of_April_19,_1958.txt 1 56 
11 Solar_eclipse_of_April_19,_1958.txt 2 218 251 
wide Solar_eclipse_of_April_19,_1958.txt 1 92 
look Solar_eclipse_of_April_19,_1958.txt 1 70 
16 Solar_eclipse_of_April_19,_1958.txt 1 222 
19 Solar_eclipse_of_April_19,_1958.txt 3 4 14 266 
18 Solar_eclipse_of_April_19,_1958.txt 2 215 226 
eclipse Solar_eclipse_of_April_19,_1958.txt 8 1 10 18 47 77 82 134 199 
1387.94 Solar_eclipse_of_April_19,_1958.txt 1 295 
eclipses Solar_eclipse_of_April_19,_1958.txt 9 155 162 165 177 233 237 248 264 274 
31 Solar_eclipse_of_April_19,_1958.txt 1 244 
