all Solar_eclipse_of_April_28,_1911.txt 1 60 
partial Solar_eclipse_of_April_28,_1911.txt 3 78 174 202 
suns Solar_eclipse_of_April_28,_1911.txt 1 58 
over Solar_eclipse_of_April_28,_1911.txt 1 82 
years Solar_eclipse_of_April_28,_1911.txt 1 164 
through Solar_eclipse_of_April_28,_1911.txt 1 190 
earth Solar_eclipse_of_April_28,_1911.txt 2 25 43 
21 Solar_eclipse_of_April_28,_1911.txt 1 206 
28 Solar_eclipse_of_April_28,_1911.txt 2 4 14 
29 Solar_eclipse_of_April_28,_1911.txt 1 115 
blocking Solar_eclipse_of_April_28,_1911.txt 1 59 
4 Solar_eclipse_of_April_28,_1911.txt 1 139 
nodes Solar_eclipse_of_April_28,_1911.txt 1 145 
thousands Solar_eclipse_of_April_28,_1911.txt 1 86 
into Solar_eclipse_of_April_28,_1911.txt 1 65 
alternating Solar_eclipse_of_April_28,_1911.txt 1 144 
australia Solar_eclipse_of_April_28,_1911.txt 1 97 
991 Solar_eclipse_of_April_28,_1911.txt 1 180 
thereby Solar_eclipse_of_April_28,_1911.txt 1 29 
10 Solar_eclipse_of_April_28,_1911.txt 1 179 
moons Solar_eclipse_of_April_28,_1911.txt 2 51 148 
every Solar_eclipse_of_April_28,_1911.txt 2 135 162 
longest Solar_eclipse_of_April_28,_1911.txt 1 209 
127 Solar_eclipse_of_April_28,_1911.txt 2 151 160 
cook Solar_eclipse_of_April_28,_1911.txt 1 102 
day Solar_eclipse_of_April_28,_1911.txt 1 64 
categories Solar_eclipse_of_April_28,_1911.txt 2 229 231 
kilometres Solar_eclipse_of_April_28,_1911.txt 1 88 
edit Solar_eclipse_of_April_28,_1911.txt 6 119 123 152 224 226 228 
notes Solar_eclipse_of_April_28,_1911.txt 1 225 
across Solar_eclipse_of_April_28,_1911.txt 1 73 
each Solar_eclipse_of_April_28,_1911.txt 1 124 
2091 Solar_eclipse_of_April_28,_1911.txt 1 193 
repeating Solar_eclipse_of_April_28,_1911.txt 1 161 
samoa Solar_eclipse_of_April_28,_1911.txt 1 100 
series Solar_eclipse_of_April_28,_1911.txt 3 129 171 195 
direct Solar_eclipse_of_April_28,_1911.txt 1 61 
related Solar_eclipse_of_April_28,_1911.txt 1 117 
surrounding Solar_eclipse_of_April_28,_1911.txt 1 84 
see Solar_eclipse_of_April_28,_1911.txt 1 222 
