partial Solar_eclipse_of_April_29,_2014.txt 2 81 107 
suns Solar_eclipse_of_April_29,_2014.txt 2 58 63 
over Solar_eclipse_of_April_29,_2014.txt 1 83 
years Solar_eclipse_of_April_29,_2014.txt 2 175 202 
earth Solar_eclipse_of_April_29,_2014.txt 3 25 43 88 
subseries Solar_eclipse_of_April_29,_2014.txt 1 194 
29 Solar_eclipse_of_April_29,_2014.txt 2 4 14 
blocking Solar_eclipse_of_April_29,_2014.txt 1 59 
to Solar_eclipse_of_April_29,_2014.txt 1 69 
parts Solar_eclipse_of_April_29,_2014.txt 1 112 
4 Solar_eclipse_of_April_29,_2014.txt 1 154 
2014 Solar_eclipse_of_April_29,_2014.txt 2 5 15 
nodes Solar_eclipse_of_April_29,_2014.txt 1 160 
thousands Solar_eclipse_of_April_29,_2014.txt 1 89 
alternating Solar_eclipse_of_April_29,_2014.txt 1 159 
australia Solar_eclipse_of_April_29,_2014.txt 1 116 
thereby Solar_eclipse_of_April_29,_2014.txt 1 29 
moons Solar_eclipse_of_April_29,_2014.txt 2 51 163 
every Solar_eclipse_of_April_29,_2014.txt 3 150 173 200 
nearly Solar_eclipse_of_April_29,_2014.txt 1 185 
shadow Solar_eclipse_of_April_29,_2014.txt 1 99 
categories Solar_eclipse_of_April_29,_2014.txt 2 209 211 
kilometres Solar_eclipse_of_April_29,_2014.txt 1 91 
like Solar_eclipse_of_April_29,_2014.txt 1 71 
edit Solar_eclipse_of_April_29,_2014.txt 6 131 134 138 167 206 208 
notes Solar_eclipse_of_April_29,_2014.txt 1 205 
pole Solar_eclipse_of_April_29,_2014.txt 1 104 
6939.69 Solar_eclipse_of_April_29,_2014.txt 1 176 
each Solar_eclipse_of_April_29,_2014.txt 1 139 
small Solar_eclipse_of_April_29,_2014.txt 1 125 
cycles Solar_eclipse_of_April_29,_2014.txt 1 181 
lasting Solar_eclipse_of_April_29,_2014.txt 1 178 
smaller Solar_eclipse_of_April_29,_2014.txt 1 55 
series Solar_eclipse_of_April_29,_2014.txt 3 144 166 170 
related Solar_eclipse_of_April_29,_2014.txt 1 132 
2011-2014 Solar_eclipse_of_April_29,_2014.txt 1 137 
images Solar_eclipse_of_April_29,_2014.txt 1 130 
calendar Solar_eclipse_of_April_29,_2014.txt 1 188 
3.8 Solar_eclipse_of_April_29,_2014.txt 1 201 
missed Solar_eclipse_of_April_29,_2014.txt 1 100 
for Solar_eclipse_of_April_29,_2014.txt 1 39 
sun Solar_eclipse_of_April_29,_2014.txt 3 28 38 68 
wikipedia Solar_eclipse_of_April_29,_2014.txt 1 6 
moon Solar_eclipse_of_April_29,_2014.txt 2 22 97 
between Solar_eclipse_of_April_29,_2014.txt 1 24 
occurs Solar_eclipse_of_April_29,_2014.txt 2 19 48 
