6000ad Solar_eclipse_of_April_30,_2060.txt 1 265 
all Solar_eclipse_of_April_30,_2060.txt 1 61 
since Solar_eclipse_of_April_30,_2060.txt 1 226 
partial Solar_eclipse_of_April_30,_2060.txt 3 79 151 189 
suns Solar_eclipse_of_April_30,_2060.txt 1 59 
over Solar_eclipse_of_April_30,_2060.txt 1 83 
years Solar_eclipse_of_April_30,_2060.txt 1 139 
produced Solar_eclipse_of_April_30,_2060.txt 1 242 
through Solar_eclipse_of_April_30,_2060.txt 2 166 177 
earth Solar_eclipse_of_April_30,_2060.txt 2 26 44 
139 Solar_eclipse_of_April_30,_2060.txt 2 126 135 
26 Solar_eclipse_of_April_30,_2060.txt 1 179 
21 Solar_eclipse_of_April_30,_2060.txt 1 175 
29 Solar_eclipse_of_April_30,_2060.txt 1 249 
2059-2061 Solar_eclipse_of_April_30,_2060.txt 1 97 
4 Solar_eclipse_of_April_30,_2060.txt 1 114 
8 Solar_eclipse_of_April_30,_2060.txt 1 142 
nodes Solar_eclipse_of_April_30,_2060.txt 1 120 
thousands Solar_eclipse_of_April_30,_2060.txt 1 87 
into Solar_eclipse_of_April_30,_2060.txt 1 66 
alternating Solar_eclipse_of_April_30,_2060.txt 1 119 
1991 Solar_eclipse_of_April_30,_2060.txt 1 229 
march Solar_eclipse_of_April_30,_2060.txt 1 178 
thereby Solar_eclipse_of_April_30,_2060.txt 1 30 
moons Solar_eclipse_of_April_30,_2060.txt 2 52 123 
every Solar_eclipse_of_April_30,_2060.txt 2 110 137 
longest Solar_eclipse_of_April_30,_2060.txt 3 222 236 258 
day Solar_eclipse_of_April_30,_2060.txt 1 65 
categories Solar_eclipse_of_April_30,_2060.txt 2 270 272 
apart Solar_eclipse_of_April_30,_2060.txt 1 203 
kilometres Solar_eclipse_of_April_30,_2060.txt 1 89 
edit Solar_eclipse_of_April_30,_2060.txt 5 94 98 127 267 269 
notes Solar_eclipse_of_April_30,_2060.txt 1 266 
across Solar_eclipse_of_April_30,_2060.txt 1 74 
1825 Solar_eclipse_of_April_30,_2060.txt 1 169 
each Solar_eclipse_of_April_30,_2060.txt 1 99 
2060 Solar_eclipse_of_April_30,_2060.txt 2 5 16 
repeating Solar_eclipse_of_April_30,_2060.txt 1 136 
computed Solar_eclipse_of_April_30,_2060.txt 1 261 
series Solar_eclipse_of_April_30,_2060.txt 4 104 134 148 182 
direct Solar_eclipse_of_April_30,_2060.txt 1 62 
related Solar_eclipse_of_April_30,_2060.txt 1 92 
surrounding Solar_eclipse_of_April_30,_2060.txt 1 85 
are Solar_eclipse_of_April_30,_2060.txt 1 200 
duration Solar_eclipse_of_April_30,_2060.txt 1 237 
2601 Solar_eclipse_of_April_30,_2060.txt 1 180 
darkness Solar_eclipse_of_April_30,_2060.txt 1 67 
for Solar_eclipse_of_April_30,_2060.txt 1 40 
sun Solar_eclipse_of_April_30,_2060.txt 2 29 39 
hybrid Solar_eclipse_of_April_30,_2060.txt 1 160 
wikipedia Solar_eclipse_of_April_30,_2060.txt 1 6 
moon Solar_eclipse_of_April_30,_2060.txt 1 23 
seconds Solar_eclipse_of_April_30,_2060.txt 2 234 250 
3 Solar_eclipse_of_April_30,_2060.txt 1 193 
7 Solar_eclipse_of_April_30,_2060.txt 1 247 
between Solar_eclipse_of_April_30,_2060.txt 2 25 262 
occurs Solar_eclipse_of_April_30,_2060.txt 3 20 49 69 
be Solar_eclipse_of_April_30,_2060.txt 2 220 241 
ends Solar_eclipse_of_April_30,_2060.txt 1 183 
turning Solar_eclipse_of_April_30,_2060.txt 1 64 
august Solar_eclipse_of_April_30,_2060.txt 1 163 
earths Solar_eclipse_of_April_30,_2060.txt 1 75 
2763 Solar_eclipse_of_April_30,_2060.txt 1 194 
hours Solar_eclipse_of_April_30,_2060.txt 2 115 143 
members Solar_eclipse_of_April_30,_2060.txt 1 195 
4000bc Solar_eclipse_of_April_30,_2060.txt 1 263 
path Solar_eclipse_of_April_30,_2060.txt 1 73 
by Solar_eclipse_of_April_30,_2060.txt 1 243 
on Solar_eclipse_of_April_30,_2060.txt 6 13 43 154 162 191 251 
39 Solar_eclipse_of_April_30,_2060.txt 1 245 
hidden Solar_eclipse_of_April_30,_2060.txt 1 271 
55 Solar_eclipse_of_April_30,_2060.txt 1 233 
1843 Solar_eclipse_of_April_30,_2060.txt 1 176 
of Solar_eclipse_of_April_30,_2060.txt 8 2 37 88 105 121 132 215 238 
region Solar_eclipse_of_April_30,_2060.txt 1 86 
larger Solar_eclipse_of_April_30,_2060.txt 1 56 
days Solar_eclipse_of_April_30,_2060.txt 2 112 141 
april Solar_eclipse_of_April_30,_2060.txt 2 3 14 
repeats Solar_eclipse_of_April_30,_2060.txt 1 108 
or Solar_eclipse_of_April_30,_2060.txt 1 32 
diameter Solar_eclipse_of_April_30,_2060.txt 1 54 
image Solar_eclipse_of_April_30,_2060.txt 1 36 
one Solar_eclipse_of_April_30,_2060.txt 1 201 
visible Solar_eclipse_of_April_30,_2060.txt 1 82 
semester Solar_eclipse_of_April_30,_2060.txt 2 103 117 
references Solar_eclipse_of_April_30,_2060.txt 1 268 
sunlight Solar_eclipse_of_April_30,_2060.txt 1 63 
177 Solar_eclipse_of_April_30,_2060.txt 1 111 
total Solar_eclipse_of_April_30,_2060.txt 4 8 46 171 223 
passes Solar_eclipse_of_April_30,_2060.txt 1 24 
from Solar_eclipse_of_April_30,_2060.txt 1 173 
area Solar_eclipse_of_April_30,_2060.txt 1 211 
contains Solar_eclipse_of_April_30,_2060.txt 1 159 
approximately Solar_eclipse_of_April_30,_2060.txt 1 109 
1501 Solar_eclipse_of_April_30,_2060.txt 1 157 
totality Solar_eclipse_of_April_30,_2060.txt 2 68 239 
6 Solar_eclipse_of_April_30,_2060.txt 1 231 
partly Solar_eclipse_of_April_30,_2060.txt 1 33 
started Solar_eclipse_of_April_30,_2060.txt 1 149 
apparent Solar_eclipse_of_April_30,_2060.txt 1 53 
part Solar_eclipse_of_April_30,_2060.txt 1 131 
2186 Solar_eclipse_of_April_30,_2060.txt 1 254 
solar Solar_eclipse_of_April_30,_2060.txt 11 0 9 18 47 80 95 106 152 213 224 259 
obscuring Solar_eclipse_of_April_30,_2060.txt 1 34 
july Solar_eclipse_of_April_30,_2060.txt 3 192 227 252 
with Solar_eclipse_of_April_30,_2060.txt 2 77 150 
than Solar_eclipse_of_April_30,_2060.txt 1 57 
11 Solar_eclipse_of_April_30,_2060.txt 3 140 164 228 
wide Solar_eclipse_of_April_30,_2060.txt 1 90 
13 Solar_eclipse_of_April_30,_2060.txt 1 217 
1627 Solar_eclipse_of_April_30,_2060.txt 1 165 
17 Solar_eclipse_of_April_30,_2060.txt 1 156 
16 Solar_eclipse_of_April_30,_2060.txt 1 253 
this Solar_eclipse_of_April_30,_2060.txt 1 255 
18 Solar_eclipse_of_April_30,_2060.txt 1 138 
eclipse Solar_eclipse_of_April_30,_2060.txt 10 1 10 19 48 81 153 190 214 225 260 
will Solar_eclipse_of_April_30,_2060.txt 3 11 219 240 
column Solar_eclipse_of_April_30,_2060.txt 1 199 
eclipses Solar_eclipse_of_April_30,_2060.txt 5 93 96 107 161 172 
minutes Solar_eclipse_of_April_30,_2060.txt 2 232 248 
and Solar_eclipse_of_April_30,_2060.txt 5 27 113 170 204 264 
30 Solar_eclipse_of_April_30,_2060.txt 2 4 15 
viewer Solar_eclipse_of_April_30,_2060.txt 1 42 
december Solar_eclipse_of_April_30,_2060.txt 2 167 174 
is Solar_eclipse_of_April_30,_2060.txt 3 55 129 256 
thus Solar_eclipse_of_April_30,_2060.txt 1 205 
it Solar_eclipse_of_April_30,_2060.txt 2 128 158 
surface Solar_eclipse_of_April_30,_2060.txt 1 76 
as Solar_eclipse_of_April_30,_2060.txt 1 187 
at Solar_eclipse_of_April_30,_2060.txt 4 118 184 230 246 
in Solar_eclipse_of_April_30,_2060.txt 4 70 101 196 207 
occur Solar_eclipse_of_April_30,_2060.txt 2 12 206 
contents Solar_eclipse_of_April_30,_2060.txt 1 91 
containing Solar_eclipse_of_April_30,_2060.txt 1 144 
2132 Solar_eclipse_of_April_30,_2060.txt 1 218 
when Solar_eclipse_of_April_30,_2060.txt 2 21 50 
same Solar_eclipse_of_April_30,_2060.txt 2 198 209 
member Solar_eclipse_of_April_30,_2060.txt 3 100 185 244 
9 Solar_eclipse_of_April_30,_2060.txt 1 168 
events Solar_eclipse_of_April_30,_2060.txt 1 146 
exeligmos Solar_eclipse_of_April_30,_2060.txt 1 202 
may Solar_eclipse_of_April_30,_2060.txt 1 155 
june Solar_eclipse_of_April_30,_2060.txt 1 216 
saros Solar_eclipse_of_April_30,_2060.txt 2 125 133 
71 Solar_eclipse_of_April_30,_2060.txt 2 145 186 
totally Solar_eclipse_of_April_30,_2060.txt 1 31 
