all Solar_eclipse_of_April_8,_2024.txt 2 67 289 
partial Solar_eclipse_of_April_8,_2024.txt 3 85 683 721 
suns Solar_eclipse_of_April_8,_2024.txt 1 65 
lack Solar_eclipse_of_April_8,_2024.txt 1 835 
durango Solar_eclipse_of_April_8,_2024.txt 3 120 245 247 
month Solar_eclipse_of_April_8,_2024.txt 2 825 841 
four Solar_eclipse_of_April_8,_2024.txt 1 110 
ciudad Solar_eclipse_of_April_8,_2024.txt 1 258 
mile Solar_eclipse_of_April_8,_2024.txt 1 594 
marion Solar_eclipse_of_April_8,_2024.txt 1 570 
21st Solar_eclipse_of_April_8,_2024.txt 1 175 
9,000 Solar_eclipse_of_April_8,_2024.txt 1 592 
farmington Solar_eclipse_of_April_8,_2024.txt 1 577 
including Solar_eclipse_of_April_8,_2024.txt 15 243 246 253 279 301 312 328 341 346 358 429 441 452 460 468 
to Solar_eclipse_of_April_8,_2024.txt 4 138 616 833 939 
edward Solar_eclipse_of_April_8,_2024.txt 1 458 
burlington Solar_eclipse_of_April_8,_2024.txt 1 359 
nodes Solar_eclipse_of_April_8,_2024.txt 2 652 813 
worth Solar_eclipse_of_April_8,_2024.txt 1 287 
alternating Solar_eclipse_of_April_8,_2024.txt 2 651 812 
town Solar_eclipse_of_April_8,_2024.txt 1 117 
sherbrooke Solar_eclipse_of_April_8,_2024.txt 1 443 
very Solar_eclipse_of_April_8,_2024.txt 1 322 
every Solar_eclipse_of_April_8,_2024.txt 5 642 669 814 876 903 
moncton Solar_eclipse_of_April_8,_2024.txt 1 518 
categories Solar_eclipse_of_April_8,_2024.txt 2 946 948 
syracuse Solar_eclipse_of_April_8,_2024.txt 1 349 
list Solar_eclipse_of_April_8,_2024.txt 1 918 
these Solar_eclipse_of_April_8,_2024.txt 1 866 
plattsburgh Solar_eclipse_of_April_8,_2024.txt 1 354 
small Solar_eclipse_of_April_8,_2024.txt 1 323 
direct Solar_eclipse_of_April_8,_2024.txt 1 68 
surrounding Solar_eclipse_of_April_8,_2024.txt 1 91 
second Solar_eclipse_of_April_8,_2024.txt 1 394 
quebec Solar_eclipse_of_April_8,_2024.txt 1 440 
pass Solar_eclipse_of_April_8,_2024.txt 2 237 423 
further Solar_eclipse_of_April_8,_2024.txt 1 916 
makanda Solar_eclipse_of_April_8,_2024.txt 1 558 
coahuila Solar_eclipse_of_April_8,_2024.txt 2 128 252 
darkness Solar_eclipse_of_April_8,_2024.txt 1 73 
sun Solar_eclipse_of_April_8,_2024.txt 2 35 45 
mgantic Solar_eclipse_of_April_8,_2024.txt 1 447 
new Solar_eclipse_of_April_8,_2024.txt 3 344 360 450 
roundhead Solar_eclipse_of_April_8,_2024.txt 1 332 
2763 Solar_eclipse_of_April_8,_2024.txt 1 726 
annular Solar_eclipse_of_April_8,_2024.txt 1 930 
piedras Solar_eclipse_of_April_8,_2024.txt 1 261 
