all Solar_eclipse_of_August_1,_2008.txt 2 60 239 
partial Solar_eclipse_of_August_1,_2008.txt 10 78 177 188 195 541 545 576 599 750 800 
suns Solar_eclipse_of_August_1,_2008.txt 1 58 
magnetic Solar_eclipse_of_August_1,_2008.txt 1 690 
broader Solar_eclipse_of_August_1,_2008.txt 2 203 552 
6pm Solar_eclipse_of_August_1,_2008.txt 1 657 
zone Solar_eclipse_of_August_1,_2008.txt 1 296 
tv Solar_eclipse_of_August_1,_2008.txt 1 668 
to Solar_eclipse_of_August_1,_2008.txt 9 124 404 446 484 535 634 638 654 670 
nodes Solar_eclipse_of_August_1,_2008.txt 1 721 
alternating Solar_eclipse_of_August_1,_2008.txt 1 720 
returning Solar_eclipse_of_August_1,_2008.txt 1 653 
far Solar_eclipse_of_August_1,_2008.txt 1 286 
every Solar_eclipse_of_August_1,_2008.txt 2 711 738 
minute Solar_eclipse_of_August_1,_2008.txt 2 307 508 
shetland Solar_eclipse_of_August_1,_2008.txt 1 614 
clouds Solar_eclipse_of_August_1,_2008.txt 2 242 264 
notes Solar_eclipse_of_August_1,_2008.txt 1 843 
annularity Solar_eclipse_of_August_1,_2008.txt 1 821 
charter Solar_eclipse_of_August_1,_2008.txt 1 620 
direct Solar_eclipse_of_August_1,_2008.txt 1 61 
surrounding Solar_eclipse_of_August_1,_2008.txt 1 84 
video Solar_eclipse_of_August_1,_2008.txt 1 848 
corner Solar_eclipse_of_August_1,_2008.txt 1 345 
darkness Solar_eclipse_of_August_1,_2008.txt 1 66 
sun Solar_eclipse_of_August_1,_2008.txt 4 28 38 128 605 
asia Solar_eclipse_of_August_1,_2008.txt 2 219 571 
scientists Solar_eclipse_of_August_1,_2008.txt 1 665 
chasers Solar_eclipse_of_August_1,_2008.txt 1 664 
gathered Solar_eclipse_of_August_1,_2008.txt 1 534 
here Solar_eclipse_of_August_1,_2008.txt 1 474 
hours Solar_eclipse_of_August_1,_2008.txt 2 649 716 
china Solar_eclipse_of_August_1,_2008.txt 3 115 451 499 
concluding Solar_eclipse_of_August_1,_2008.txt 1 592 
path Solar_eclipse_of_August_1,_2008.txt 13 72 135 162 204 311 339 374 408 424 454 473 490 553 
november Solar_eclipse_of_August_1,_2008.txt 1 823 
2044 Solar_eclipse_of_August_1,_2008.txt 1 791 
nadym Solar_eclipse_of_August_1,_2008.txt 1 405 
larger Solar_eclipse_of_August_1,_2008.txt 1 55 
36 Solar_eclipse_of_August_1,_2008.txt 2 609 834 
experience Solar_eclipse_of_August_1,_2008.txt 1 447 
10:21:07 Solar_eclipse_of_August_1,_2008.txt 1 393 
narrow Solar_eclipse_of_August_1,_2008.txt 2 71 101 
reds Solar_eclipse_of_August_1,_2008.txt 1 238 
golden Solar_eclipse_of_August_1,_2008.txt 1 250 
lerwick Solar_eclipse_of_August_1,_2008.txt 1 611 
county Solar_eclipse_of_August_1,_2008.txt 1 526 
visible Solar_eclipse_of_August_1,_2008.txt 2 81 98 
semester Solar_eclipse_of_August_1,_2008.txt 2 704 718 
total Solar_eclipse_of_August_1,_2008.txt 8 8 45 144 427 514 521 782 814 
isles Solar_eclipse_of_August_1,_2008.txt 1 615 
from Solar_eclipse_of_August_1,_2008.txt 7 99 200 549 632 761 772 784 
10:18 Solar_eclipse_of_August_1,_2008.txt 1 589 
contains Solar_eclipse_of_August_1,_2008.txt 2 758 781 
10:10 Solar_eclipse_of_August_1,_2008.txt 1 370 
totality Solar_eclipse_of_August_1,_2008.txt 4 67 298 341 830 
6 Solar_eclipse_of_August_1,_2008.txt 1 778 
barnaul Solar_eclipse_of_August_1,_2008.txt 1 435 
journalists Solar_eclipse_of_August_1,_2008.txt 1 666 
started Solar_eclipse_of_August_1,_2008.txt 1 748 
apparent Solar_eclipse_of_August_1,_2008.txt 1 52 
occurred Solar_eclipse_of_August_1,_2008.txt 2 11 389 
berlin Solar_eclipse_of_August_1,_2008.txt 1 627 
blocking Solar_eclipse_of_August_1,_2008.txt 1 59 
eclipse Solar_eclipse_of_August_1,_2008.txt 35 1 10 18 47 80 138 145 167 178 189 196 275 282 314 360 364 388 428 449 457 505 515 522 538 542 546 577 585 600 641 663 687 752 801 811 
london Solar_eclipse_of_August_1,_2008.txt 1 573 
island Solar_eclipse_of_August_1,_2008.txt 1 351 
route Solar_eclipse_of_August_1,_2008.txt 1 676 
0.4 Solar_eclipse_of_August_1,_2008.txt 1 152 
northernmost Solar_eclipse_of_August_1,_2008.txt 1 325 
archipelago Solar_eclipse_of_August_1,_2008.txt 1 355 
10,000 Solar_eclipse_of_August_1,_2008.txt 2 437 531 
wonderful Solar_eclipse_of_August_1,_2008.txt 1 235 
237 Solar_eclipse_of_August_1,_2008.txt 1 410 
