45.1n Solar_eclipse_of_August_11,_1999.txt 1 142 
all Solar_eclipse_of_August_11,_1999.txt 1 66 
partial Solar_eclipse_of_August_11,_1999.txt 3 84 428 473 
6939.69 Solar_eclipse_of_August_11,_1999.txt 1 510 
pakistan Solar_eclipse_of_August_11,_1999.txt 1 175 
september Solar_eclipse_of_August_11,_1999.txt 1 462 
suns Solar_eclipse_of_August_11,_1999.txt 1 64 
over Solar_eclipse_of_August_11,_1999.txt 2 88 356 
hybrid Solar_eclipse_of_August_11,_1999.txt 1 448 
mainly Solar_eclipse_of_August_11,_1999.txt 1 252 
years Solar_eclipse_of_August_11,_1999.txt 3 415 509 536 
ended Solar_eclipse_of_August_11,_1999.txt 1 181 
reached Solar_eclipse_of_August_11,_1999.txt 1 436 
through Solar_eclipse_of_August_11,_1999.txt 1 461 
human Solar_eclipse_of_August_11,_1999.txt 1 242 
during Solar_eclipse_of_August_11,_1999.txt 1 319 
hungary Solar_eclipse_of_August_11,_1999.txt 1 126 
before Solar_eclipse_of_August_11,_1999.txt 1 109 
subseries Solar_eclipse_of_August_11,_1999.txt 1 528 
member Solar_eclipse_of_August_11,_1999.txt 2 374 469 
occur Solar_eclipse_of_August_11,_1999.txt 2 483 517 
northern Solar_eclipse_of_August_11,_1999.txt 3 117 128 171 
also Solar_eclipse_of_August_11,_1999.txt 2 311 540 
tv Solar_eclipse_of_August_11,_1999.txt 1 298 
29 Solar_eclipse_of_August_11,_1999.txt 2 209 459 
coordinates Solar_eclipse_of_August_11,_1999.txt 1 335 
blocking Solar_eclipse_of_August_11,_1999.txt 1 65 
to Solar_eclipse_of_August_11,_1999.txt 2 149 260 
black Solar_eclipse_of_August_11,_1999.txt 1 164 
1990 Solar_eclipse_of_August_11,_1999.txt 1 199 
8 Solar_eclipse_of_August_11,_1999.txt 1 418 
set Solar_eclipse_of_August_11,_1999.txt 1 275 
thousands Solar_eclipse_of_August_11,_1999.txt 1 92 
into Solar_eclipse_of_August_11,_1999.txt 1 71 
3.8 Solar_eclipse_of_August_11,_1999.txt 1 535 
kingdom Solar_eclipse_of_August_11,_1999.txt 2 116 207 
town Solar_eclipse_of_August_11,_1999.txt 1 151 
them Solar_eclipse_of_August_11,_1999.txt 1 291 
2,000 Solar_eclipse_of_August_11,_1999.txt 1 340 
thereby Solar_eclipse_of_August_11,_1999.txt 1 35 
utc Solar_eclipse_of_August_11,_1999.txt 1 138 
could Solar_eclipse_of_August_11,_1999.txt 1 282 
45.1 Solar_eclipse_of_August_11,_1999.txt 1 144 
moons Solar_eclipse_of_August_11,_1999.txt 4 57 285 308 397 
watch Solar_eclipse_of_August_11,_1999.txt 1 283 
next Solar_eclipse_of_August_11,_1999.txt 1 148 
nodes Solar_eclipse_of_August_11,_1999.txt 1 394 
every Solar_eclipse_of_August_11,_1999.txt 4 384 413 507 534 
longest Solar_eclipse_of_August_11,_1999.txt 1 480 
progress Solar_eclipse_of_August_11,_1999.txt 1 302 
belgium Solar_eclipse_of_August_11,_1999.txt 1 119 
impaired Solar_eclipse_of_August_11,_1999.txt 1 257 
shadow Solar_eclipse_of_August_11,_1999.txt 4 102 286 306 309 
continued Solar_eclipse_of_August_11,_1999.txt 1 160 
day Solar_eclipse_of_August_11,_1999.txt 1 70 
nearly Solar_eclipse_of_August_11,_1999.txt 1 519 
areas Solar_eclipse_of_August_11,_1999.txt 2 228 246 
kilometres Solar_eclipse_of_August_11,_1999.txt 1 94 
densities Solar_eclipse_of_August_11,_1999.txt 1 226 
edit Solar_eclipse_of_August_11,_1999.txt 11 214 331 336 365 368 372 401 501 541 543 545 
lei Solar_eclipse_of_August_11,_1999.txt 1 341 
notes Solar_eclipse_of_August_11,_1999.txt 1 542 
semester Solar_eclipse_of_August_11,_1999.txt 2 377 391 
across Solar_eclipse_of_August_11,_1999.txt 2 79 161 
this Solar_eclipse_of_August_11,_1999.txt 2 232 402 
magnitude Solar_eclipse_of_August_11,_1999.txt 1 19 
croatia Solar_eclipse_of_August_11,_1999.txt 1 125 
25 Solar_eclipse_of_August_11,_1999.txt 1 486 
each Solar_eclipse_of_August_11,_1999.txt 1 373 
repeating Solar_eclipse_of_August_11,_1999.txt 1 412 
cycles Solar_eclipse_of_August_11,_1999.txt 1 515 
srikakulam Solar_eclipse_of_August_11,_1999.txt 1 177 
bulgaria Solar_eclipse_of_August_11,_1999.txt 1 162 
stations Solar_eclipse_of_August_11,_1999.txt 1 299 
because Solar_eclipse_of_August_11,_1999.txt 1 221 
19972000 Solar_eclipse_of_August_11,_1999.txt 1 371 
people Solar_eclipse_of_August_11,_1999.txt 1 281 
series Solar_eclipse_of_August_11,_1999.txt 5 378 424 466 500 504 
1909 Solar_eclipse_of_August_11,_1999.txt 1 453 
some Solar_eclipse_of_August_11,_1999.txt 2 245 264 
direct Solar_eclipse_of_August_11,_1999.txt 1 67 
related Solar_eclipse_of_August_11,_1999.txt 1 366 
up Solar_eclipse_of_August_11,_1999.txt 1 276 
observed Solar_eclipse_of_August_11,_1999.txt 1 312 
surrounding Solar_eclipse_of_August_11,_1999.txt 1 90 
see Solar_eclipse_of_August_11,_1999.txt 1 539 
145 Solar_eclipse_of_August_11,_1999.txt 2 400 411 
yugoslavia Solar_eclipse_of_August_11,_1999.txt 1 130 
sea Solar_eclipse_of_August_11,_1999.txt 1 165 
earth Solar_eclipse_of_August_11,_1999.txt 2 31 49 
duration Solar_eclipse_of_August_11,_1999.txt 1 491 
iran Solar_eclipse_of_August_11,_1999.txt 1 173 
calendar Solar_eclipse_of_August_11,_1999.txt 1 522 
24.3 Solar_eclipse_of_August_11,_1999.txt 1 145 
event Solar_eclipse_of_August_11,_1999.txt 1 449 
special Solar_eclipse_of_August_11,_1999.txt 1 339 
projectors Solar_eclipse_of_August_11,_1999.txt 1 278 
annular Solar_eclipse_of_August_11,_1999.txt 1 439 
darkness Solar_eclipse_of_August_11,_1999.txt 1 72 
for Solar_eclipse_of_August_11,_1999.txt 2 45 344 
space Solar_eclipse_of_August_11,_1999.txt 1 317 
raced Solar_eclipse_of_August_11,_1999.txt 1 289 
sun Solar_eclipse_of_August_11,_1999.txt 3 34 44 351 
noon Solar_eclipse_of_August_11,_1999.txt 1 110 
since Solar_eclipse_of_August_11,_1999.txt 2 196 208 
wikipedia Solar_eclipse_of_August_11,_1999.txt 1 6 
luxembourg Solar_eclipse_of_August_11,_1999.txt 1 120 
moon Solar_eclipse_of_August_11,_1999.txt 2 28 100 
events Solar_eclipse_of_August_11,_1999.txt 1 422 
7 Solar_eclipse_of_August_11,_1999.txt 1 495 
between Solar_eclipse_of_August_11,_1999.txt 1 30 
international Solar_eclipse_of_August_11,_1999.txt 1 297 
eclipse-watching Solar_eclipse_of_August_11,_1999.txt 1 268 
conditions Solar_eclipse_of_August_11,_1999.txt 1 263 
occurs Solar_eclipse_of_August_11,_1999.txt 3 25 54 74 
europe Solar_eclipse_of_August_11,_1999.txt 2 195 255 
ends Solar_eclipse_of_August_11,_1999.txt 1 467 
turning Solar_eclipse_of_August_11,_1999.txt 1 69 
august Solar_eclipse_of_August_11,_1999.txt 2 3 14 
earths Solar_eclipse_of_August_11,_1999.txt 1 80 
seconds Solar_eclipse_of_August_11,_1999.txt 1 498 
1.029 Solar_eclipse_of_August_11,_1999.txt 1 21 
notable Solar_eclipse_of_August_11,_1999.txt 1 332 
hours Solar_eclipse_of_August_11,_1999.txt 2 389 419 
although Solar_eclipse_of_August_11,_1999.txt 1 244 
2418e Solar_eclipse_of_August_11,_1999.txt 1 141 
path Solar_eclipse_of_August_11,_1999.txt 7 78 97 231 249 272 338 355 
along Solar_eclipse_of_August_11,_1999.txt 1 270 
iraq Solar_eclipse_of_August_11,_1999.txt 1 172 
on Solar_eclipse_of_August_11,_1999.txt 10 12 48 279 296 328 431 441 450 475 484 
about Solar_eclipse_of_August_11,_1999.txt 1 513 
22 Solar_eclipse_of_August_11,_1999.txt 1 197 
vojvodina Solar_eclipse_of_August_11,_1999.txt 1 131 
of Solar_eclipse_of_August_11,_1999.txt 24 2 20 42 93 98 169 185 222 229 235 250 265 273 300 303 349 359 362 379 395 408 492 494 531 
region Solar_eclipse_of_August_11,_1999.txt 1 91 
larger Solar_eclipse_of_August_11,_1999.txt 1 61 
days Solar_eclipse_of_August_11,_1999.txt 4 386 417 511 538 
177 Solar_eclipse_of_August_11,_1999.txt 1 385 
times Solar_eclipse_of_August_11,_1999.txt 1 333 
april Solar_eclipse_of_August_11,_1999.txt 1 476 
s Solar_eclipse_of_August_11,_1999.txt 1 101 
due Solar_eclipse_of_August_11,_1999.txt 1 259 
syria Solar_eclipse_of_August_11,_1999.txt 1 170 
narrow Solar_eclipse_of_August_11,_1999.txt 1 77 
or Solar_eclipse_of_August_11,_1999.txt 2 37 533 
first Solar_eclipse_of_August_11,_1999.txt 3 190 202 438 
diameter Solar_eclipse_of_August_11,_1999.txt 1 59 
romania Solar_eclipse_of_August_11,_1999.txt 2 147 360 
there Solar_eclipse_of_August_11,_1999.txt 1 292 
ocnele Solar_eclipse_of_August_11,_1999.txt 1 153 
image Solar_eclipse_of_August_11,_1999.txt 1 41 
northeastern Solar_eclipse_of_August_11,_1999.txt 1 167 
one Solar_eclipse_of_August_11,_1999.txt 1 234 
visible Solar_eclipse_of_August_11,_1999.txt 3 87 193 203 
austria Solar_eclipse_of_August_11,_1999.txt 1 123 
weather Solar_eclipse_of_August_11,_1999.txt 1 262 
references Solar_eclipse_of_August_11,_1999.txt 1 544 
4506n Solar_eclipse_of_August_11,_1999.txt 1 140 
parties Solar_eclipse_of_August_11,_1999.txt 1 269 
approximately Solar_eclipse_of_August_11,_1999.txt 1 383 
traversing Solar_eclipse_of_August_11,_1999.txt 1 112 
total Solar_eclipse_of_August_11,_1999.txt 6 8 51 191 238 347 455 
3009 Solar_eclipse_of_August_11,_1999.txt 1 478 
turkey Solar_eclipse_of_August_11,_1999.txt 1 166 
passes Solar_eclipse_of_August_11,_1999.txt 1 29 
from Solar_eclipse_of_August_11,_1999.txt 5 194 219 313 323 457 
addition Solar_eclipse_of_August_11,_1999.txt 1 525 
1639 Solar_eclipse_of_August_11,_1999.txt 1 434 
bay Solar_eclipse_of_August_11,_1999.txt 1 184 
mari Solar_eclipse_of_August_11,_1999.txt 1 154 
sunlight Solar_eclipse_of_August_11,_1999.txt 1 68 
france Solar_eclipse_of_August_11,_1999.txt 2 118 220 
live Solar_eclipse_of_August_11,_1999.txt 1 327 
station Solar_eclipse_of_August_11,_1999.txt 1 318 
observations Solar_eclipse_of_August_11,_1999.txt 1 213 
totality Solar_eclipse_of_August_11,_1999.txt 4 73 251 274 493 
6 Solar_eclipse_of_August_11,_1999.txt 1 443 
