socotra Solar_eclipse_of_August_12,_1673.txt 1 343 
all Solar_eclipse_of_August_12,_1673.txt 2 60 99 
moldavia Solar_eclipse_of_August_12,_1673.txt 1 377 
partial Solar_eclipse_of_August_12,_1673.txt 1 78 
callednew Solar_eclipse_of_August_12,_1673.txt 1 413 
from Solar_eclipse_of_August_12,_1673.txt 2 234 314 
suns Solar_eclipse_of_August_12,_1673.txt 1 58 
over Solar_eclipse_of_August_12,_1673.txt 2 82 251 
canary Solar_eclipse_of_August_12,_1673.txt 1 281 
130 Solar_eclipse_of_August_12,_1673.txt 1 161 
including Solar_eclipse_of_August_12,_1673.txt 2 193 372 
earth Solar_eclipse_of_August_12,_1673.txt 2 25 43 
25 Solar_eclipse_of_August_12,_1673.txt 1 351 
northern Solar_eclipse_of_August_12,_1673.txt 1 305 
also Solar_eclipse_of_August_12,_1673.txt 1 436 
blocking Solar_eclipse_of_August_12,_1673.txt 1 59 
to Solar_eclipse_of_August_12,_1673.txt 4 258 275 319 389 
parts Solar_eclipse_of_August_12,_1673.txt 3 120 127 336 
maio Solar_eclipse_of_August_12,_1673.txt 1 188 
east Solar_eclipse_of_August_12,_1673.txt 2 124 270 
thousands Solar_eclipse_of_August_12,_1673.txt 1 86 
into Solar_eclipse_of_August_12,_1673.txt 1 65 
1673 Solar_eclipse_of_August_12,_1673.txt 2 5 15 
australia Solar_eclipse_of_August_12,_1673.txt 1 412 
around Solar_eclipse_of_August_12,_1673.txt 2 330 340 
thereby Solar_eclipse_of_August_12,_1673.txt 1 29 
utc Solar_eclipse_of_August_12,_1673.txt 1 243 
far Solar_eclipse_of_August_12,_1673.txt 2 168 233 
moons Solar_eclipse_of_August_12,_1673.txt 1 51 
coast Solar_eclipse_of_August_12,_1673.txt 1 410 
nearly Solar_eclipse_of_August_12,_1673.txt 2 98 320 
not Solar_eclipse_of_August_12,_1673.txt 1 232 
cape Solar_eclipse_of_August_12,_1673.txt 3 190 338 397 
now Solar_eclipse_of_August_12,_1673.txt 3 111 133 381 
day Solar_eclipse_of_August_12,_1673.txt 2 64 237 
categories Solar_eclipse_of_August_12,_1673.txt 1 443 
areas Solar_eclipse_of_August_12,_1673.txt 3 174 271 356 
kilometres Solar_eclipse_of_August_12,_1673.txt 1 88 
edit Solar_eclipse_of_August_12,_1673.txt 4 92 437 439 442 
3035 Solar_eclipse_of_August_12,_1673.txt 1 331 
50 Solar_eclipse_of_August_12,_1673.txt 2 177 276 
across Solar_eclipse_of_August_12,_1673.txt 1 73 
55 Solar_eclipse_of_August_12,_1673.txt 1 341 
miles Solar_eclipse_of_August_12,_1673.txt 1 178 
namibia Solar_eclipse_of_August_12,_1673.txt 1 113 
persia Solar_eclipse_of_August_12,_1673.txt 1 380 
madeira Solar_eclipse_of_August_12,_1673.txt 1 327 
went Solar_eclipse_of_August_12,_1673.txt 1 402 
river Solar_eclipse_of_August_12,_1673.txt 1 229 
side Solar_eclipse_of_August_12,_1673.txt 1 297 
9095 Solar_eclipse_of_August_12,_1673.txt 1 333 
direct Solar_eclipse_of_August_12,_1673.txt 1 61 
surrounding Solar_eclipse_of_August_12,_1673.txt 1 84 
see Solar_eclipse_of_August_12,_1673.txt 1 435 
mozambique Solar_eclipse_of_August_12,_1673.txt 1 306 
dawa Solar_eclipse_of_August_12,_1673.txt 1 228 
ottoman Solar_eclipse_of_August_12,_1673.txt 3 284 376 433 
iran Solar_eclipse_of_August_12,_1673.txt 1 382 
80 Solar_eclipse_of_August_12,_1673.txt 1 321 
sunrise Solar_eclipse_of_August_12,_1673.txt 1 395 
what Solar_eclipse_of_August_12,_1673.txt 2 109 209 
darkness Solar_eclipse_of_August_12,_1673.txt 1 66 
for Solar_eclipse_of_August_12,_1673.txt 2 39 250 
chagos Solar_eclipse_of_August_12,_1673.txt 1 354 
sudan Solar_eclipse_of_August_12,_1673.txt 2 211 215 
sun Solar_eclipse_of_August_12,_1673.txt 2 28 38 
wikipedia Solar_eclipse_of_August_12,_1673.txt 1 6 
asia Solar_eclipse_of_August_12,_1673.txt 1 129 
moon Solar_eclipse_of_August_12,_1673.txt 1 22 
subsolar Solar_eclipse_of_August_12,_1673.txt 1 419 
ceylon Solar_eclipse_of_August_12,_1673.txt 1 132 
indian Solar_eclipse_of_August_12,_1673.txt 1 153 
between Solar_eclipse_of_August_12,_1673.txt 1 24 
gabon Solar_eclipse_of_August_12,_1673.txt 1 299 
occurs Solar_eclipse_of_August_12,_1673.txt 3 19 48 68 
europe Solar_eclipse_of_August_12,_1673.txt 2 119 262 
turning Solar_eclipse_of_August_12,_1673.txt 1 63 
august Solar_eclipse_of_August_12,_1673.txt 2 3 13 
earths Solar_eclipse_of_August_12,_1673.txt 1 74 
mascarene Solar_eclipse_of_August_12,_1673.txt 1 347 
mali Solar_eclipse_of_August_12,_1673.txt 1 200 
40.6 Solar_eclipse_of_August_12,_1673.txt 1 224 
southeast Solar_eclipse_of_August_12,_1673.txt 1 403 
armenia Solar_eclipse_of_August_12,_1673.txt 1 379 
242 Solar_eclipse_of_August_12,_1673.txt 1 170 
path Solar_eclipse_of_August_12,_1673.txt 2 72 401 
sine Solar_eclipse_of_August_12,_1673.txt 1 197 
on Solar_eclipse_of_August_12,_1673.txt 5 12 42 294 310 359 
about Solar_eclipse_of_August_12,_1673.txt 1 350 
yemen Solar_eclipse_of_August_12,_1673.txt 2 266 423 
libya Solar_eclipse_of_August_12,_1673.txt 1 287 
of Solar_eclipse_of_August_12,_1673.txt 19 2 36 87 100 105 108 121 128 145 151 158 182 185 196 208 337 362 368 411 
region Solar_eclipse_of_August_12,_1673.txt 1 85 
sri Solar_eclipse_of_August_12,_1673.txt 1 134 
brittany Solar_eclipse_of_August_12,_1673.txt 1 373 
kingdoms Solar_eclipse_of_August_12,_1673.txt 1 195 
senegambia Solar_eclipse_of_August_12,_1673.txt 1 192 
islands Solar_eclipse_of_August_12,_1673.txt 3 184 282 348 
narrow Solar_eclipse_of_August_12,_1673.txt 1 71 
or Solar_eclipse_of_August_12,_1673.txt 2 31 202 
south Solar_eclipse_of_August_12,_1673.txt 4 116 181 214 318 
diameter Solar_eclipse_of_August_12,_1673.txt 1 53 
very Solar_eclipse_of_August_12,_1673.txt 1 387 
egypt Solar_eclipse_of_August_12,_1673.txt 1 289 
image Solar_eclipse_of_August_12,_1673.txt 1 35 
africa Solar_eclipse_of_August_12,_1673.txt 2 101 117 
visible Solar_eclipse_of_August_12,_1673.txt 2 81 96 
congo Solar_eclipse_of_August_12,_1673.txt 1 301 
references Solar_eclipse_of_August_12,_1673.txt 1 438 
spanish Solar_eclipse_of_August_12,_1673.txt 1 279 
total Solar_eclipse_of_August_12,_1673.txt 2 8 45 
passes Solar_eclipse_of_August_12,_1673.txt 1 23 
madagascar Solar_eclipse_of_August_12,_1673.txt 2 309 311 
java Solar_eclipse_of_August_12,_1673.txt 1 139 
area Solar_eclipse_of_August_12,_1673.txt 2 367 426 
totally Solar_eclipse_of_August_12,_1673.txt 1 30 
sunlight Solar_eclipse_of_August_12,_1673.txt 1 62 
france Solar_eclipse_of_August_12,_1673.txt 1 371 
sumatra Solar_eclipse_of_August_12,_1673.txt 2 136 385 
totality Solar_eclipse_of_August_12,_1673.txt 1 67 
6 Solar_eclipse_of_August_12,_1673.txt 1 252 
basin Solar_eclipse_of_August_12,_1673.txt 1 302 
was Solar_eclipse_of_August_12,_1673.txt 4 95 156 166 421 
malawi Solar_eclipse_of_August_12,_1673.txt 1 303 
8590 Solar_eclipse_of_August_12,_1673.txt 1 344 
saloum Solar_eclipse_of_August_12,_1673.txt 1 199 
alps Solar_eclipse_of_August_12,_1673.txt 1 375 
partly Solar_eclipse_of_August_12,_1673.txt 1 32 
that Solar_eclipse_of_August_12,_1673.txt 4 175 272 357 430 
started Solar_eclipse_of_August_12,_1673.txt 1 393 
apparent Solar_eclipse_of_August_12,_1673.txt 1 52 
occurred Solar_eclipse_of_August_12,_1673.txt 2 11 220 
darfur Solar_eclipse_of_August_12,_1673.txt 1 205 
finished Solar_eclipse_of_August_12,_1673.txt 1 405 
part Solar_eclipse_of_August_12,_1673.txt 4 107 144 157 207 
atlantic Solar_eclipse_of_August_12,_1673.txt 1 148 
western Solar_eclipse_of_August_12,_1673.txt 1 138 
solar Solar_eclipse_of_August_12,_1673.txt 6 0 9 17 46 79 159 
obscuring Solar_eclipse_of_August_12,_1673.txt 1 33 
oman Solar_eclipse_of_August_12,_1673.txt 1 292 
with Solar_eclipse_of_August_12,_1673.txt 3 76 102 239 
than Solar_eclipse_of_August_12,_1673.txt 1 56 
present Solar_eclipse_of_August_12,_1673.txt 1 236 
wide Solar_eclipse_of_August_12,_1673.txt 1 89 
exception Solar_eclipse_of_August_12,_1673.txt 1 104 
12 Solar_eclipse_of_August_12,_1673.txt 2 4 14 
holland Solar_eclipse_of_August_12,_1673.txt 1 414 
showed Solar_eclipse_of_August_12,_1673.txt 4 256 273 313 329 
1:04 Solar_eclipse_of_August_12,_1673.txt 1 244 
songhai Solar_eclipse_of_August_12,_1673.txt 1 201 
local Solar_eclipse_of_August_12,_1673.txt 1 246 
eclipse Solar_eclipse_of_August_12,_1673.txt 9 1 10 18 47 80 94 255 364 392 
up Solar_eclipse_of_August_12,_1673.txt 2 257 274 
n Solar_eclipse_of_August_12,_1673.txt 1 223 
morocco Solar_eclipse_of_August_12,_1673.txt 1 283 
near Solar_eclipse_of_August_12,_1673.txt 2 226 291 
tunis Solar_eclipse_of_August_12,_1673.txt 1 286 
were Solar_eclipse_of_August_12,_1673.txt 2 176 358 
songhay Solar_eclipse_of_August_12,_1673.txt 1 203 
