all Solar_eclipse_of_August_19,_1887.txt 1 60 
partial Solar_eclipse_of_August_19,_1887.txt 3 78 143 192 
september Solar_eclipse_of_August_19,_1887.txt 1 181 
suns Solar_eclipse_of_August_19,_1887.txt 1 58 
over Solar_eclipse_of_August_19,_1887.txt 1 82 
years Solar_eclipse_of_August_19,_1887.txt 1 133 
through Solar_eclipse_of_August_19,_1887.txt 3 157 169 180 
earth Solar_eclipse_of_August_19,_1887.txt 2 25 43 
24 Solar_eclipse_of_August_19,_1887.txt 2 155 159 
23 Solar_eclipse_of_August_19,_1887.txt 1 196 
ascended Solar_eclipse_of_August_19,_1887.txt 1 106 
to Solar_eclipse_of_August_19,_1887.txt 1 112 
has Solar_eclipse_of_August_19,_1887.txt 1 162 
thousands Solar_eclipse_of_August_19,_1887.txt 1 86 
into Solar_eclipse_of_August_19,_1887.txt 1 65 
2013 Solar_eclipse_of_August_19,_1887.txt 1 168 
march Solar_eclipse_of_August_19,_1887.txt 1 147 
thereby Solar_eclipse_of_August_19,_1887.txt 1 29 
moons Solar_eclipse_of_August_19,_1887.txt 1 51 
1797 Solar_eclipse_of_August_19,_1887.txt 1 156 
every Solar_eclipse_of_August_19,_1887.txt 1 131 
longest Solar_eclipse_of_August_19,_1887.txt 1 199 
day Solar_eclipse_of_August_19,_1887.txt 1 64 
categories Solar_eclipse_of_August_19,_1887.txt 1 216 
kilometres Solar_eclipse_of_August_19,_1887.txt 1 88 
edit Solar_eclipse_of_August_19,_1887.txt 5 100 118 121 213 215 
notes Solar_eclipse_of_August_19,_1887.txt 1 212 
50 Solar_eclipse_of_August_19,_1887.txt 1 206 
across Solar_eclipse_of_August_19,_1887.txt 2 73 93 
19 Solar_eclipse_of_August_19,_1887.txt 3 4 14 210 
repeating Solar_eclipse_of_August_19,_1887.txt 1 130 
2067 Solar_eclipse_of_August_19,_1887.txt 1 172 
series Solar_eclipse_of_August_19,_1887.txt 2 140 185 
direct Solar_eclipse_of_August_19,_1887.txt 1 61 
related Solar_eclipse_of_August_19,_1887.txt 1 116 
surrounding Solar_eclipse_of_August_19,_1887.txt 1 84 
japan Solar_eclipse_of_August_19,_1887.txt 1 97 
duration Solar_eclipse_of_August_19,_1887.txt 1 200 
event Solar_eclipse_of_August_19,_1887.txt 1 152 
darkness Solar_eclipse_of_August_19,_1887.txt 1 66 
for Solar_eclipse_of_August_19,_1887.txt 1 39 
sun Solar_eclipse_of_August_19,_1887.txt 2 28 38 
hybrid Solar_eclipse_of_August_19,_1887.txt 1 163 
wikipedia Solar_eclipse_of_August_19,_1887.txt 1 6 
