partial Solar_eclipse_of_August_20,_1952.txt 1 81 
solar Solar_eclipse_of_August_20,_1952.txt 6 0 9 17 46 127 139 
suns Solar_eclipse_of_August_20,_1952.txt 2 58 63 
over Solar_eclipse_of_August_20,_1952.txt 1 83 
including Solar_eclipse_of_August_20,_1952.txt 2 98 106 
earth Solar_eclipse_of_August_20,_1952.txt 3 25 43 88 
20 Solar_eclipse_of_August_20,_1952.txt 2 4 14 
la Solar_eclipse_of_August_20,_1952.txt 1 115 
blocking Solar_eclipse_of_August_20,_1952.txt 1 59 
to Solar_eclipse_of_August_20,_1952.txt 1 69 
4 Solar_eclipse_of_August_20,_1952.txt 1 147 
argentina Solar_eclipse_of_August_20,_1952.txt 1 117 
thousands Solar_eclipse_of_August_20,_1952.txt 1 89 
alternating Solar_eclipse_of_August_20,_1952.txt 1 152 
thereby Solar_eclipse_of_August_20,_1952.txt 1 29 
government Solar_eclipse_of_August_20,_1952.txt 1 114 
between Solar_eclipse_of_August_20,_1952.txt 1 24 
nodes Solar_eclipse_of_August_20,_1952.txt 1 153 
every Solar_eclipse_of_August_20,_1952.txt 1 143 
1952 Solar_eclipse_of_August_20,_1952.txt 2 5 15 
categories Solar_eclipse_of_August_20,_1952.txt 2 162 164 
kilometres Solar_eclipse_of_August_20,_1952.txt 1 91 
like Solar_eclipse_of_August_20,_1952.txt 1 71 
edit Solar_eclipse_of_August_20,_1952.txt 4 126 131 159 161 
notes Solar_eclipse_of_August_20,_1952.txt 1 158 
annularity Solar_eclipse_of_August_20,_1952.txt 1 93 
smaller Solar_eclipse_of_August_20,_1952.txt 1 55 
series Solar_eclipse_of_August_20,_1952.txt 1 137 
related Solar_eclipse_of_August_20,_1952.txt 1 124 
seat Solar_eclipse_of_August_20,_1952.txt 1 112 
brazil Solar_eclipse_of_August_20,_1952.txt 1 120 
for Solar_eclipse_of_August_20,_1952.txt 1 39 
sun Solar_eclipse_of_August_20,_1952.txt 3 28 38 68 
wikipedia Solar_eclipse_of_August_20,_1952.txt 1 6 
1950-1953 Solar_eclipse_of_August_20,_1952.txt 1 130 
moon Solar_eclipse_of_August_20,_1952.txt 1 22 
capital Solar_eclipse_of_August_20,_1952.txt 2 100 109 
occurs Solar_eclipse_of_August_20,_1952.txt 2 19 48 
august Solar_eclipse_of_August_20,_1952.txt 2 3 13 
city Solar_eclipse_of_August_20,_1952.txt 1 101 
each Solar_eclipse_of_August_20,_1952.txt 1 132 
annular Solar_eclipse_of_August_20,_1952.txt 3 8 45 76 
hours Solar_eclipse_of_August_20,_1952.txt 1 148 
appears Solar_eclipse_of_August_20,_1952.txt 1 78 
on Solar_eclipse_of_August_20,_1952.txt 2 12 42 
hidden Solar_eclipse_of_August_20,_1952.txt 1 163 
of Solar_eclipse_of_August_20,_1952.txt 9 2 36 61 86 90 113 129 138 154 
region Solar_eclipse_of_August_20,_1952.txt 1 85 
days Solar_eclipse_of_August_20,_1952.txt 1 145 
repeats Solar_eclipse_of_August_20,_1952.txt 1 141 
or Solar_eclipse_of_August_20,_1952.txt 1 31 
diameter Solar_eclipse_of_August_20,_1952.txt 1 53 
image Solar_eclipse_of_August_20,_1952.txt 1 35 
northeastern Solar_eclipse_of_August_20,_1952.txt 1 103 
visible Solar_eclipse_of_August_20,_1952.txt 1 95 
semester Solar_eclipse_of_August_20,_1952.txt 2 136 150 
references Solar_eclipse_of_August_20,_1952.txt 1 160 
177 Solar_eclipse_of_August_20,_1952.txt 1 144 
ring Solar_eclipse_of_August_20,_1952.txt 1 74 
lima Solar_eclipse_of_August_20,_1952.txt 1 102 
passes Solar_eclipse_of_August_20,_1952.txt 1 23 
from Solar_eclipse_of_August_20,_1952.txt 1 96 
approximately Solar_eclipse_of_August_20,_1952.txt 1 142 
peru Solar_eclipse_of_August_20,_1952.txt 1 97 
bolivia Solar_eclipse_of_August_20,_1952.txt 1 105 
was Solar_eclipse_of_August_20,_1952.txt 1 94 
partly Solar_eclipse_of_August_20,_1952.txt 1 32 
apparent Solar_eclipse_of_August_20,_1952.txt 1 52 
occurred Solar_eclipse_of_August_20,_1952.txt 1 11 
chile Solar_eclipse_of_August_20,_1952.txt 1 104 
obscuring Solar_eclipse_of_August_20,_1952.txt 1 33 
than Solar_eclipse_of_August_20,_1952.txt 1 56 
wide Solar_eclipse_of_August_20,_1952.txt 1 92 
look Solar_eclipse_of_August_20,_1952.txt 1 70 
eclipse Solar_eclipse_of_August_20,_1952.txt 6 1 10 18 47 77 82 
sucre Solar_eclipse_of_August_20,_1952.txt 1 110 
eclipses Solar_eclipse_of_August_20,_1952.txt 3 125 128 140 
and Solar_eclipse_of_August_20,_1952.txt 5 26 65 111 121 146 
uruguay Solar_eclipse_of_August_20,_1952.txt 1 122 
viewer Solar_eclipse_of_August_20,_1952.txt 1 41 
is Solar_eclipse_of_August_20,_1952.txt 1 54 
an Solar_eclipse_of_August_20,_1952.txt 4 7 44 72 75 
as Solar_eclipse_of_August_20,_1952.txt 1 79 
at Solar_eclipse_of_August_20,_1952.txt 1 151 
in Solar_eclipse_of_August_20,_1952.txt 1 134 
paraguay Solar_eclipse_of_August_20,_1952.txt 1 118 
contents Solar_eclipse_of_August_20,_1952.txt 1 123 
paz Solar_eclipse_of_August_20,_1952.txt 1 116 
when Solar_eclipse_of_August_20,_1952.txt 2 20 49 
member Solar_eclipse_of_August_20,_1952.txt 1 133 
causing Solar_eclipse_of_August_20,_1952.txt 1 66 
southern Solar_eclipse_of_August_20,_1952.txt 1 119 
most Solar_eclipse_of_August_20,_1952.txt 1 60 
totally Solar_eclipse_of_August_20,_1952.txt 1 30 
moons Solar_eclipse_of_August_20,_1952.txt 2 51 156 
a Solar_eclipse_of_August_20,_1952.txt 6 16 40 80 84 135 149 
annulus Solar_eclipse_of_August_20,_1952.txt 1 73 
light Solar_eclipse_of_August_20,_1952.txt 1 64 
constitutional Solar_eclipse_of_August_20,_1952.txt 1 108 
orbit Solar_eclipse_of_August_20,_1952.txt 1 157 
the Solar_eclipse_of_August_20,_1952.txt 12 21 27 34 37 50 57 62 67 87 99 107 155 
