limited Solar_eclipse_of_August_21,_2017.txt 1 3824 
colleges Solar_eclipse_of_August_21,_2017.txt 1 1803 
four Solar_eclipse_of_August_21,_2017.txt 2 766 945 
aegis Solar_eclipse_of_August_21,_2017.txt 1 1840 
looking Solar_eclipse_of_August_21,_2017.txt 1 2639 
9,000 Solar_eclipse_of_August_21,_2017.txt 1 1078 
containing Solar_eclipse_of_August_21,_2017.txt 1 4800 
halogen Solar_eclipse_of_August_21,_2017.txt 1 2245 
under Solar_eclipse_of_August_21,_2017.txt 3 1838 2092 4283 
alternating Solar_eclipse_of_August_21,_2017.txt 1 4772 
risk Solar_eclipse_of_August_21,_2017.txt 2 2309 4171 
oceans Solar_eclipse_of_August_21,_2017.txt 1 1433 
every Solar_eclipse_of_August_21,_2017.txt 8 3024 3420 3799 4112 4763 4793 4887 4914 
parachuted Solar_eclipse_of_August_21,_2017.txt 1 1875 
venus Solar_eclipse_of_August_21,_2017.txt 1 790 
heading Solar_eclipse_of_August_21,_2017.txt 2 3688 4031 
estimates Solar_eclipse_of_August_21,_2017.txt 1 3749 
second Solar_eclipse_of_August_21,_2017.txt 1 101 
louder Solar_eclipse_of_August_21,_2017.txt 1 2118 
estimated Solar_eclipse_of_August_21,_2017.txt 2 3219 3239 
even Solar_eclipse_of_August_21,_2017.txt 4 2332 2353 3763 4276 
asia Solar_eclipse_of_August_21,_2017.txt 4 83 695 4714 4743 
spokesman Solar_eclipse_of_August_21,_2017.txt 1 3986 
en Solar_eclipse_of_August_21,_2017.txt 1 4255 
above Solar_eclipse_of_August_21,_2017.txt 2 637 1430 
conduct Solar_eclipse_of_August_21,_2017.txt 1 1816 
new Solar_eclipse_of_August_21,_2017.txt 1 2633 
increasing Solar_eclipse_of_August_21,_2017.txt 1 3126 
ever Solar_eclipse_of_August_21,_2017.txt 2 2174 3956 
reliably Solar_eclipse_of_August_21,_2017.txt 1 4413 
never Solar_eclipse_of_August_21,_2017.txt 2 305 1660 
here Solar_eclipse_of_August_21,_2017.txt 1 3730 
reported Solar_eclipse_of_August_21,_2017.txt 9 2115 2155 2820 2837 2898 3496 3531 3893 4395 
path Solar_eclipse_of_August_21,_2017.txt 24 153 173 658 759 892 948 964 980 1008 1034 1042 1137 1167 1640 1708 1917 2952 3046 3186 3232 3294 3469 4035 4178 
100 Solar_eclipse_of_August_21,_2017.txt 1 3037 
2045 Solar_eclipse_of_August_21,_2017.txt 2 384 1161 
jams Solar_eclipse_of_August_21,_2017.txt 3 3455 3885 3997 
study Solar_eclipse_of_August_21,_2017.txt 1 1919 
usps Solar_eclipse_of_August_21,_2017.txt 1 4552 
2048 Solar_eclipse_of_August_21,_2017.txt 1 407 
electricity Solar_eclipse_of_August_21,_2017.txt 3 4465 4482 4498 
military Solar_eclipse_of_August_21,_2017.txt 1 4119 
twenty-four Solar_eclipse_of_August_21,_2017.txt 1 2540 
changes Solar_eclipse_of_August_21,_2017.txt 2 1920 2607 
figure Solar_eclipse_of_August_21,_2017.txt 1 3806 
county Solar_eclipse_of_August_21,_2017.txt 1 3395 
visible Solar_eclipse_of_August_21,_2017.txt 21 27 53 77 86 122 144 423 619 769 774 818 840 1357 1416 1456 1478 1535 1562 2217 2228 4740 
guests Solar_eclipse_of_August_21,_2017.txt 1 3134 
niota Solar_eclipse_of_August_21,_2017.txt 1 3977 
counts Solar_eclipse_of_August_21,_2017.txt 1 3767 
total Solar_eclipse_of_August_21,_2017.txt 22 24 141 221 233 279 369 414 616 815 1046 1097 1149 1204 1250 2665 2778 4201 4543 4565 4704 4835 4923 
reflected Solar_eclipse_of_August_21,_2017.txt 1 2241 
would Solar_eclipse_of_August_21,_2017.txt 4 928 1693 3228 4203 
hospital Solar_eclipse_of_August_21,_2017.txt 1 3092 
noting Solar_eclipse_of_August_21,_2017.txt 1 4013 
music Solar_eclipse_of_August_21,_2017.txt 1 4067 
until Solar_eclipse_of_August_21,_2017.txt 1 3383 
wikipedias Solar_eclipse_of_August_21,_2017.txt 1 4964 
90 Solar_eclipse_of_August_21,_2017.txt 3 2157 4355 4384 
hole Solar_eclipse_of_August_21,_2017.txt 2 2563 3000 
companys Solar_eclipse_of_August_21,_2017.txt 1 2356 
97 Solar_eclipse_of_August_21,_2017.txt 1 3266 
must Solar_eclipse_of_August_21,_2017.txt 1 2212 
1991 Solar_eclipse_of_August_21,_2017.txt 1 828 
join Solar_eclipse_of_August_21,_2017.txt 1 3067 
room Solar_eclipse_of_August_21,_2017.txt 1 3028 
1624 Solar_eclipse_of_August_21,_2017.txt 1 3407 
1999 Solar_eclipse_of_August_21,_2017.txt 1 2672 
work Solar_eclipse_of_August_21,_2017.txt 1 4211 
mi Solar_eclipse_of_August_21,_2017.txt 1 1181 
chukchi Solar_eclipse_of_August_21,_2017.txt 2 93 1460 
pinholes Solar_eclipse_of_August_21,_2017.txt 2 4667 4676 
era Solar_eclipse_of_August_21,_2017.txt 1 293 
mr Solar_eclipse_of_August_21,_2017.txt 1 2694 
example Solar_eclipse_of_August_21,_2017.txt 1 2432 
transition Solar_eclipse_of_August_21,_2017.txt 1 4633 
keratitis Solar_eclipse_of_August_21,_2017.txt 1 2527 
organized Solar_eclipse_of_August_21,_2017.txt 1 1902 
caused Solar_eclipse_of_August_21,_2017.txt 2 4251 4512 
hohenwald Solar_eclipse_of_August_21,_2017.txt 1 1782 
want Solar_eclipse_of_August_21,_2017.txt 1 2658 
scheduling Solar_eclipse_of_August_21,_2017.txt 1 3602 
end Solar_eclipse_of_August_21,_2017.txt 3 1243 1504 1523 
recovery Solar_eclipse_of_August_21,_2017.txt 1 1897 
travel Solar_eclipse_of_August_21,_2017.txt 5 3229 3344 3509 3538 3902 
damage Solar_eclipse_of_August_21,_2017.txt 12 2290 2462 2521 2524 2552 2616 2679 2784 2810 2832 2839 2923 
astronomers Solar_eclipse_of_August_21,_2017.txt 2 705 4690 
