and Solar_eclipse_of_August_29,_1886.txt 1 26 
diameter Solar_eclipse_of_August_29,_1886.txt 1 53 
all Solar_eclipse_of_August_29,_1886.txt 1 60 
partial Solar_eclipse_of_August_29,_1886.txt 1 78 
viewer Solar_eclipse_of_August_29,_1886.txt 1 41 
wikipedia Solar_eclipse_of_August_29,_1886.txt 1 6 
image Solar_eclipse_of_August_29,_1886.txt 1 35 
in Solar_eclipse_of_August_29,_1886.txt 1 69 
direct Solar_eclipse_of_August_29,_1886.txt 1 61 
surface Solar_eclipse_of_August_29,_1886.txt 1 75 
references Solar_eclipse_of_August_29,_1886.txt 1 92 
visible Solar_eclipse_of_August_29,_1886.txt 1 81 
suns Solar_eclipse_of_August_29,_1886.txt 1 58 
obscuring Solar_eclipse_of_August_29,_1886.txt 1 33 
earth Solar_eclipse_of_August_29,_1886.txt 2 25 43 
total Solar_eclipse_of_August_29,_1886.txt 2 8 45 
passes Solar_eclipse_of_August_29,_1886.txt 1 23 
kilometres Solar_eclipse_of_August_29,_1886.txt 1 88 
darkness Solar_eclipse_of_August_29,_1886.txt 1 66 
for Solar_eclipse_of_August_29,_1886.txt 1 39 
sun Solar_eclipse_of_August_29,_1886.txt 2 28 38 
when Solar_eclipse_of_August_29,_1886.txt 2 20 49 
29 Solar_eclipse_of_August_29,_1886.txt 2 4 14 
sunlight Solar_eclipse_of_August_29,_1886.txt 1 62 
moon Solar_eclipse_of_August_29,_1886.txt 1 22 
observations Solar_eclipse_of_August_29,_1886.txt 1 90 
totality Solar_eclipse_of_August_29,_1886.txt 1 67 
between Solar_eclipse_of_August_29,_1886.txt 1 24 
thousands Solar_eclipse_of_August_29,_1886.txt 1 86 
occurs Solar_eclipse_of_August_29,_1886.txt 3 19 48 68 
day Solar_eclipse_of_August_29,_1886.txt 1 64 
wide Solar_eclipse_of_August_29,_1886.txt 1 89 
over Solar_eclipse_of_August_29,_1886.txt 1 82 
apparent Solar_eclipse_of_August_29,_1886.txt 1 52 
partly Solar_eclipse_of_August_29,_1886.txt 1 32 
august Solar_eclipse_of_August_29,_1886.txt 2 3 13 
thereby Solar_eclipse_of_August_29,_1886.txt 1 29 
earths Solar_eclipse_of_August_29,_1886.txt 1 74 
with Solar_eclipse_of_August_29,_1886.txt 1 76 
moons Solar_eclipse_of_August_29,_1886.txt 1 51 
categories Solar_eclipse_of_August_29,_1886.txt 1 94 
occurred Solar_eclipse_of_August_29,_1886.txt 1 11 
turning Solar_eclipse_of_August_29,_1886.txt 1 63 
solar Solar_eclipse_of_August_29,_1886.txt 5 0 9 17 46 79 
1886 Solar_eclipse_of_August_29,_1886.txt 2 5 15 
totally Solar_eclipse_of_August_29,_1886.txt 1 30 
than Solar_eclipse_of_August_29,_1886.txt 1 56 
is Solar_eclipse_of_August_29,_1886.txt 1 54 
a Solar_eclipse_of_August_29,_1886.txt 6 7 16 40 44 70 83 
on Solar_eclipse_of_August_29,_1886.txt 2 12 42 
surrounding Solar_eclipse_of_August_29,_1886.txt 1 84 
edit Solar_eclipse_of_August_29,_1886.txt 2 91 93 
of Solar_eclipse_of_August_29,_1886.txt 3 2 36 87 
into Solar_eclipse_of_August_29,_1886.txt 1 65 
larger Solar_eclipse_of_August_29,_1886.txt 1 55 
eclipse Solar_eclipse_of_August_29,_1886.txt 5 1 10 18 47 80 
across Solar_eclipse_of_August_29,_1886.txt 1 73 
path Solar_eclipse_of_August_29,_1886.txt 1 72 
blocking Solar_eclipse_of_August_29,_1886.txt 1 59 
region Solar_eclipse_of_August_29,_1886.txt 1 85 
the Solar_eclipse_of_August_29,_1886.txt 7 21 27 34 37 50 57 77 
narrow Solar_eclipse_of_August_29,_1886.txt 1 71 
or Solar_eclipse_of_August_29,_1886.txt 1 31 
