partial Solar_eclipse_of_December_14,_1917.txt 1 81 
suns Solar_eclipse_of_December_14,_1917.txt 2 58 63 
over Solar_eclipse_of_December_14,_1917.txt 2 83 105 
earth Solar_eclipse_of_December_14,_1917.txt 3 25 43 88 
than Solar_eclipse_of_December_14,_1917.txt 1 56 
to Solar_eclipse_of_December_14,_1917.txt 1 69 
4 Solar_eclipse_of_December_14,_1917.txt 1 132 
hidden Solar_eclipse_of_December_14,_1917.txt 1 148 
thousands Solar_eclipse_of_December_14,_1917.txt 1 89 
alternating Solar_eclipse_of_December_14,_1917.txt 1 137 
thereby Solar_eclipse_of_December_14,_1917.txt 1 29 
moons Solar_eclipse_of_December_14,_1917.txt 2 51 141 
every Solar_eclipse_of_December_14,_1917.txt 1 128 
categories Solar_eclipse_of_December_14,_1917.txt 2 147 149 
14 Solar_eclipse_of_December_14,_1917.txt 2 4 14 
kilometres Solar_eclipse_of_December_14,_1917.txt 1 91 
like Solar_eclipse_of_December_14,_1917.txt 1 71 
edit Solar_eclipse_of_December_14,_1917.txt 4 112 116 144 146 
notes Solar_eclipse_of_December_14,_1917.txt 1 143 
pole Solar_eclipse_of_December_14,_1917.txt 1 108 
each Solar_eclipse_of_December_14,_1917.txt 1 117 
smaller Solar_eclipse_of_December_14,_1917.txt 1 55 
series Solar_eclipse_of_December_14,_1917.txt 1 122 
related Solar_eclipse_of_December_14,_1917.txt 1 110 
for Solar_eclipse_of_December_14,_1917.txt 1 39 
sun Solar_eclipse_of_December_14,_1917.txt 3 28 38 68 
wikipedia Solar_eclipse_of_December_14,_1917.txt 1 6 
moon Solar_eclipse_of_December_14,_1917.txt 1 22 
between Solar_eclipse_of_December_14,_1917.txt 1 24 
occurs Solar_eclipse_of_December_14,_1917.txt 2 19 48 
notable Solar_eclipse_of_December_14,_1917.txt 1 97 
annularity Solar_eclipse_of_December_14,_1917.txt 1 103 
annular Solar_eclipse_of_December_14,_1917.txt 4 8 45 76 94 
hours Solar_eclipse_of_December_14,_1917.txt 1 133 
path Solar_eclipse_of_December_14,_1917.txt 1 101 
appears Solar_eclipse_of_December_14,_1917.txt 1 78 
on Solar_eclipse_of_December_14,_1917.txt 2 12 42 
of Solar_eclipse_of_December_14,_1917.txt 8 2 36 61 86 90 102 123 139 
region Solar_eclipse_of_December_14,_1917.txt 1 85 
days Solar_eclipse_of_December_14,_1917.txt 1 130 
repeats Solar_eclipse_of_December_14,_1917.txt 1 126 
or Solar_eclipse_of_December_14,_1917.txt 1 31 
south Solar_eclipse_of_December_14,_1917.txt 1 107 
diameter Solar_eclipse_of_December_14,_1917.txt 1 53 
image Solar_eclipse_of_December_14,_1917.txt 1 35 
semester Solar_eclipse_of_December_14,_1917.txt 2 121 135 
references Solar_eclipse_of_December_14,_1917.txt 1 145 
177 Solar_eclipse_of_December_14,_1917.txt 1 129 
ring Solar_eclipse_of_December_14,_1917.txt 1 74 
passes Solar_eclipse_of_December_14,_1917.txt 1 23 
approximately Solar_eclipse_of_December_14,_1917.txt 1 127 
passed Solar_eclipse_of_December_14,_1917.txt 1 104 
1916-1920 Solar_eclipse_of_December_14,_1917.txt 1 115 
partly Solar_eclipse_of_December_14,_1917.txt 1 32 
that Solar_eclipse_of_December_14,_1917.txt 1 99 
apparent Solar_eclipse_of_December_14,_1917.txt 1 52 
occurred Solar_eclipse_of_December_14,_1917.txt 1 11 
solar Solar_eclipse_of_December_14,_1917.txt 6 0 9 17 46 113 124 
obscuring Solar_eclipse_of_December_14,_1917.txt 1 33 
nodes Solar_eclipse_of_December_14,_1917.txt 1 138 
1917 Solar_eclipse_of_December_14,_1917.txt 2 5 15 
wide Solar_eclipse_of_December_14,_1917.txt 1 92 
look Solar_eclipse_of_December_14,_1917.txt 1 70 
this Solar_eclipse_of_December_14,_1917.txt 1 93 
eclipse Solar_eclipse_of_December_14,_1917.txt 7 1 10 18 47 77 82 95 
eclipses Solar_eclipse_of_December_14,_1917.txt 3 111 114 125 
and Solar_eclipse_of_December_14,_1917.txt 3 26 65 131 
viewer Solar_eclipse_of_December_14,_1917.txt 1 41 
december Solar_eclipse_of_December_14,_1917.txt 2 3 13 
is Solar_eclipse_of_December_14,_1917.txt 2 54 96 
an Solar_eclipse_of_December_14,_1917.txt 4 7 44 72 75 
as Solar_eclipse_of_December_14,_1917.txt 1 79 
at Solar_eclipse_of_December_14,_1917.txt 1 136 
in Solar_eclipse_of_December_14,_1917.txt 2 98 119 
contents Solar_eclipse_of_December_14,_1917.txt 1 109 
when Solar_eclipse_of_December_14,_1917.txt 2 20 49 
member Solar_eclipse_of_December_14,_1917.txt 1 118 
causing Solar_eclipse_of_December_14,_1917.txt 1 66 
most Solar_eclipse_of_December_14,_1917.txt 1 60 
totally Solar_eclipse_of_December_14,_1917.txt 1 30 
a Solar_eclipse_of_December_14,_1917.txt 6 16 40 80 84 120 134 
annulus Solar_eclipse_of_December_14,_1917.txt 1 73 
light Solar_eclipse_of_December_14,_1917.txt 1 64 
orbit Solar_eclipse_of_December_14,_1917.txt 1 142 
blocking Solar_eclipse_of_December_14,_1917.txt 1 59 
the Solar_eclipse_of_December_14,_1917.txt 12 21 27 34 37 50 57 62 67 87 100 106 140 
