and Solar_eclipse_of_December_24,_1992.txt 2 26 91 
partial Solar_eclipse_of_December_24,_1992.txt 2 8 45 
links Solar_eclipse_of_December_24,_1992.txt 1 146 
viewer Solar_eclipse_of_December_24,_1992.txt 1 41 
wikipedia Solar_eclipse_of_December_24,_1992.txt 1 6 
image Solar_eclipse_of_December_24,_1992.txt 1 35 
related Solar_eclipse_of_December_24,_1992.txt 1 69 
orbit Solar_eclipse_of_December_24,_1992.txt 1 102 
hidden Solar_eclipse_of_December_24,_1992.txt 1 149 
177 Solar_eclipse_of_December_24,_1992.txt 1 89 
semester Solar_eclipse_of_December_24,_1992.txt 2 81 95 
member Solar_eclipse_of_December_24,_1992.txt 1 78 
references Solar_eclipse_of_December_24,_1992.txt 1 143 
at Solar_eclipse_of_December_24,_1992.txt 1 96 
in Solar_eclipse_of_December_24,_1992.txt 4 49 79 122 128 
images Solar_eclipse_of_December_24,_1992.txt 1 67 
earth Solar_eclipse_of_December_24,_1992.txt 4 25 43 55 65 
calendar Solar_eclipse_of_December_24,_1992.txt 1 126 
occur Solar_eclipse_of_December_24,_1992.txt 1 121 
contents Solar_eclipse_of_December_24,_1992.txt 1 66 
addition Solar_eclipse_of_December_24,_1992.txt 1 129 
24 Solar_eclipse_of_December_24,_1992.txt 2 4 14 
passes Solar_eclipse_of_December_24,_1992.txt 1 23 
for Solar_eclipse_of_December_24,_1992.txt 1 39 
series Solar_eclipse_of_December_24,_1992.txt 3 82 104 108 
sun Solar_eclipse_of_December_24,_1992.txt 2 28 38 
when Solar_eclipse_of_December_24,_1992.txt 2 20 56 
approximately Solar_eclipse_of_December_24,_1992.txt 1 87 
moon Solar_eclipse_of_December_24,_1992.txt 1 22 
regions Solar_eclipse_of_December_24,_1992.txt 1 52 
misses Solar_eclipse_of_December_24,_1992.txt 1 63 
1387.94 Solar_eclipse_of_December_24,_1992.txt 1 141 
5 Solar_eclipse_of_December_24,_1992.txt 1 118 
4 Solar_eclipse_of_December_24,_1992.txt 1 92 
december Solar_eclipse_of_December_24,_1992.txt 2 3 13 
nodes Solar_eclipse_of_December_24,_1992.txt 1 98 
1990-1992 Solar_eclipse_of_December_24,_1992.txt 1 75 
occurs Solar_eclipse_of_December_24,_1992.txt 2 19 48 
3.8 Solar_eclipse_of_December_24,_1992.txt 1 139 
alternating Solar_eclipse_of_December_24,_1992.txt 1 97 
polar Solar_eclipse_of_December_24,_1992.txt 1 51 
1/5 Solar_eclipse_of_December_24,_1992.txt 1 134 
partly Solar_eclipse_of_December_24,_1992.txt 1 32 
thereby Solar_eclipse_of_December_24,_1992.txt 1 29 
that Solar_eclipse_of_December_24,_1992.txt 1 136 
between Solar_eclipse_of_December_24,_1992.txt 1 24 
occurred Solar_eclipse_of_December_24,_1992.txt 1 11 
hours Solar_eclipse_of_December_24,_1992.txt 1 93 
cycles Solar_eclipse_of_December_24,_1992.txt 1 119 
every Solar_eclipse_of_December_24,_1992.txt 3 88 111 138 
nearly Solar_eclipse_of_December_24,_1992.txt 1 123 
solar Solar_eclipse_of_December_24,_1992.txt 6 0 9 17 46 72 84 
same Solar_eclipse_of_December_24,_1992.txt 1 125 
date Solar_eclipse_of_December_24,_1992.txt 1 127 
obscuring Solar_eclipse_of_December_24,_1992.txt 1 33 
shadow Solar_eclipse_of_December_24,_1992.txt 1 62 
years Solar_eclipse_of_December_24,_1992.txt 2 113 140 
totally Solar_eclipse_of_December_24,_1992.txt 1 30 
moons Solar_eclipse_of_December_24,_1992.txt 2 61 101 
categories Solar_eclipse_of_December_24,_1992.txt 2 148 150 
a Solar_eclipse_of_December_24,_1992.txt 6 7 16 40 44 80 94 
on Solar_eclipse_of_December_24,_1992.txt 2 12 42 
about Solar_eclipse_of_December_24,_1992.txt 1 117 
1992 Solar_eclipse_of_December_24,_1992.txt 2 5 15 
center Solar_eclipse_of_December_24,_1992.txt 1 58 
external Solar_eclipse_of_December_24,_1992.txt 1 145 
eclipses Solar_eclipse_of_December_24,_1992.txt 5 70 73 85 110 120 
edit Solar_eclipse_of_December_24,_1992.txt 6 68 71 76 105 144 147 
of Solar_eclipse_of_December_24,_1992.txt 8 2 36 53 59 74 83 99 135 
eclipse Solar_eclipse_of_December_24,_1992.txt 4 1 10 18 47 
days Solar_eclipse_of_December_24,_1992.txt 3 90 115 142 
subseries Solar_eclipse_of_December_24,_1992.txt 1 132 
19 Solar_eclipse_of_December_24,_1992.txt 1 112 
6939.69 Solar_eclipse_of_December_24,_1992.txt 1 114 
metonic Solar_eclipse_of_December_24,_1992.txt 2 103 107 
each Solar_eclipse_of_December_24,_1992.txt 1 77 
octon Solar_eclipse_of_December_24,_1992.txt 1 131 
the Solar_eclipse_of_December_24,_1992.txt 13 21 27 34 37 50 54 57 60 64 100 106 124 130 
repeats Solar_eclipse_of_December_24,_1992.txt 3 86 109 133 
or Solar_eclipse_of_December_24,_1992.txt 2 31 137 
lasting Solar_eclipse_of_December_24,_1992.txt 1 116 
