all Solar_eclipse_of_December_5,_2048.txt 1 61 
partial Solar_eclipse_of_December_5,_2048.txt 4 79 129 168 215 
september Solar_eclipse_of_December_5,_2048.txt 1 218 
suns Solar_eclipse_of_December_5,_2048.txt 1 59 
over Solar_eclipse_of_December_5,_2048.txt 1 83 
years Solar_eclipse_of_December_5,_2048.txt 1 157 
133 Solar_eclipse_of_December_5,_2048.txt 2 149 153 
through Solar_eclipse_of_December_5,_2048.txt 2 183 203 
farther Solar_eclipse_of_December_5,_2048.txt 1 246 
earth Solar_eclipse_of_December_5,_2048.txt 2 26 44 
previous Solar_eclipse_of_December_5,_2048.txt 1 143 
24 Solar_eclipse_of_December_5,_2048.txt 1 193 
member Solar_eclipse_of_December_5,_2048.txt 2 103 211 
26 Solar_eclipse_of_December_5,_2048.txt 1 134 
20 Solar_eclipse_of_December_5,_2048.txt 1 181 
21 Solar_eclipse_of_December_5,_2048.txt 1 205 
22 Solar_eclipse_of_December_5,_2048.txt 1 138 
2047-2050 Solar_eclipse_of_December_5,_2048.txt 1 100 
3 Solar_eclipse_of_December_5,_2048.txt 1 201 
blocking Solar_eclipse_of_December_5,_2048.txt 1 60 
4 Solar_eclipse_of_December_5,_2048.txt 1 117 
nodes Solar_eclipse_of_December_5,_2048.txt 1 123 
has Solar_eclipse_of_December_5,_2048.txt 1 196 
thousands Solar_eclipse_of_December_5,_2048.txt 1 87 
into Solar_eclipse_of_December_5,_2048.txt 1 66 
alternating Solar_eclipse_of_December_5,_2048.txt 1 122 
thereby Solar_eclipse_of_December_5,_2048.txt 1 30 
moons Solar_eclipse_of_December_5,_2048.txt 2 52 126 
every Solar_eclipse_of_December_5,_2048.txt 2 113 155 
longest Solar_eclipse_of_December_5,_2048.txt 1 222 
day Solar_eclipse_of_December_5,_2048.txt 1 65 
categories Solar_eclipse_of_December_5,_2048.txt 2 256 258 
2499 Solar_eclipse_of_December_5,_2048.txt 1 220 
kilometres Solar_eclipse_of_December_5,_2048.txt 1 89 
february Solar_eclipse_of_December_5,_2048.txt 1 200 
edit Solar_eclipse_of_December_5,_2048.txt 5 96 101 150 252 255 
january Solar_eclipse_of_December_5,_2048.txt 3 133 184 192 
50 Solar_eclipse_of_December_5,_2048.txt 1 229 
across Solar_eclipse_of_December_5,_2048.txt 1 74 
each Solar_eclipse_of_December_5,_2048.txt 2 102 249 
repeating Solar_eclipse_of_December_5,_2048.txt 1 154 
set Solar_eclipse_of_December_5,_2048.txt 1 147 
series Solar_eclipse_of_December_5,_2048.txt 4 107 164 208 241 
direct Solar_eclipse_of_December_5,_2048.txt 1 62 
related Solar_eclipse_of_December_5,_2048.txt 1 94 
surrounding Solar_eclipse_of_December_5,_2048.txt 1 85 
are Solar_eclipse_of_December_5,_2048.txt 1 242 
year Solar_eclipse_of_December_5,_2048.txt 1 145 
duration Solar_eclipse_of_December_5,_2048.txt 1 223 
darkness Solar_eclipse_of_December_5,_2048.txt 1 67 
for Solar_eclipse_of_December_5,_2048.txt 1 40 
1850 Solar_eclipse_of_December_5,_2048.txt 1 234 
sun Solar_eclipse_of_December_5,_2048.txt 2 29 39 
hybrid Solar_eclipse_of_December_5,_2048.txt 1 189 
wikipedia Solar_eclipse_of_December_5,_2048.txt 1 6 
moon Solar_eclipse_of_December_5,_2048.txt 1 23 
1526 Solar_eclipse_of_December_5,_2048.txt 1 186 
lunar Solar_eclipse_of_December_5,_2048.txt 2 130 144 
7 Solar_eclipse_of_December_5,_2048.txt 1 233 
between Solar_eclipse_of_December_5,_2048.txt 1 25 
occurs Solar_eclipse_of_December_5,_2048.txt 3 20 49 69 
ends Solar_eclipse_of_December_5,_2048.txt 1 209 
turning Solar_eclipse_of_December_5,_2048.txt 1 64 
august Solar_eclipse_of_December_5,_2048.txt 1 232 
earths Solar_eclipse_of_December_5,_2048.txt 1 75 
seconds Solar_eclipse_of_December_5,_2048.txt 1 230 
iteration Solar_eclipse_of_December_5,_2048.txt 1 250 
annular Solar_eclipse_of_December_5,_2048.txt 1 177 
1544 Solar_eclipse_of_December_5,_2048.txt 1 194 
hidden Solar_eclipse_of_December_5,_2048.txt 1 257 
hours Solar_eclipse_of_December_5,_2048.txt 1 118 
path Solar_eclipse_of_December_5,_2048.txt 2 73 92 
november Solar_eclipse_of_December_5,_2048.txt 1 180 
2047 Solar_eclipse_of_December_5,_2048.txt 2 135 139 
1435 Solar_eclipse_of_December_5,_2048.txt 1 182 
getting Solar_eclipse_of_December_5,_2048.txt 1 243 
of Solar_eclipse_of_December_5,_2048.txt 8 2 37 88 99 108 124 224 238 
region Solar_eclipse_of_December_5,_2048.txt 1 86 
larger Solar_eclipse_of_December_5,_2048.txt 1 56 
days Solar_eclipse_of_December_5,_2048.txt 2 115 159 
2048 Solar_eclipse_of_December_5,_2048.txt 2 5 16 
repeats Solar_eclipse_of_December_5,_2048.txt 1 111 
or Solar_eclipse_of_December_5,_2048.txt 1 32 
south Solar_eclipse_of_December_5,_2048.txt 1 247 
72 Solar_eclipse_of_December_5,_2048.txt 2 161 212 
diameter Solar_eclipse_of_December_5,_2048.txt 1 54 
image Solar_eclipse_of_December_5,_2048.txt 1 36 
visible Solar_eclipse_of_December_5,_2048.txt 1 82 
semester Solar_eclipse_of_December_5,_2048.txt 2 106 120 
references Solar_eclipse_of_December_5,_2048.txt 1 251 
sunlight Solar_eclipse_of_December_5,_2048.txt 1 63 
177 Solar_eclipse_of_December_5,_2048.txt 1 114 
total Solar_eclipse_of_December_5,_2048.txt 4 8 46 197 236 
passes Solar_eclipse_of_December_5,_2048.txt 1 24 
from Solar_eclipse_of_December_5,_2048.txt 2 179 199 
contains Solar_eclipse_of_December_5,_2048.txt 2 160 176 
approximately Solar_eclipse_of_December_5,_2048.txt 1 112 
totality Solar_eclipse_of_December_5,_2048.txt 2 68 225 
6 Solar_eclipse_of_December_5,_2048.txt 1 227 
was Solar_eclipse_of_December_5,_2048.txt 1 226 
partly Solar_eclipse_of_December_5,_2048.txt 1 33 
on Solar_eclipse_of_December_5,_2048.txt 8 13 43 132 141 171 191 217 231 
started Solar_eclipse_of_December_5,_2048.txt 1 165 
apparent Solar_eclipse_of_December_5,_2048.txt 1 53 
shorter Solar_eclipse_of_December_5,_2048.txt 1 244 
external Solar_eclipse_of_December_5,_2048.txt 1 253 
solar Solar_eclipse_of_December_5,_2048.txt 9 0 9 18 47 80 97 109 151 169 
obscuring Solar_eclipse_of_December_5,_2048.txt 1 34 
july Solar_eclipse_of_December_5,_2048.txt 2 137 172 
with Solar_eclipse_of_December_5,_2048.txt 4 77 166 187 248 
than Solar_eclipse_of_December_5,_2048.txt 1 57 
11 Solar_eclipse_of_December_5,_2048.txt 1 158 
wide Solar_eclipse_of_December_5,_2048.txt 1 90 
13 Solar_eclipse_of_December_5,_2048.txt 2 173 185 
this Solar_eclipse_of_December_5,_2048.txt 1 239 
18 Solar_eclipse_of_December_5,_2048.txt 1 156 
eclipse Solar_eclipse_of_December_5,_2048.txt 9 1 10 19 48 81 146 170 190 216 
will Solar_eclipse_of_December_5,_2048.txt 1 11 
eclipses Solar_eclipse_of_December_5,_2048.txt 7 95 98 110 131 178 198 237 
animated Solar_eclipse_of_December_5,_2048.txt 1 91 
minutes Solar_eclipse_of_December_5,_2048.txt 1 228 
and Solar_eclipse_of_December_5,_2048.txt 4 27 116 136 245 
links Solar_eclipse_of_December_5,_2048.txt 1 254 
viewer Solar_eclipse_of_December_5,_2048.txt 1 42 
december Solar_eclipse_of_December_5,_2048.txt 2 3 14 
is Solar_eclipse_of_December_5,_2048.txt 1 55 
it Solar_eclipse_of_December_5,_2048.txt 2 175 195 
surface Solar_eclipse_of_December_5,_2048.txt 1 76 
as Solar_eclipse_of_December_5,_2048.txt 1 213 
at Solar_eclipse_of_December_5,_2048.txt 2 121 210 
in Solar_eclipse_of_December_5,_2048.txt 2 70 104 
occur Solar_eclipse_of_December_5,_2048.txt 2 12 140 
contents Solar_eclipse_of_December_5,_2048.txt 1 93 
when Solar_eclipse_of_December_5,_2048.txt 2 21 50 
