partial Solar_eclipse_of_February_15,_2018.txt 2 8 46 
years Solar_eclipse_of_February_15,_2018.txt 2 136 163 
earth Solar_eclipse_of_February_15,_2018.txt 4 26 44 56 66 
before Solar_eclipse_of_February_15,_2018.txt 1 71 
subseries Solar_eclipse_of_February_15,_2018.txt 1 155 
regions Solar_eclipse_of_February_15,_2018.txt 1 53 
2018 Solar_eclipse_of_February_15,_2018.txt 2 5 16 
argentina Solar_eclipse_of_February_15,_2018.txt 1 90 
alternating Solar_eclipse_of_February_15,_2018.txt 1 120 
thereby Solar_eclipse_of_February_15,_2018.txt 1 30 
moons Solar_eclipse_of_February_15,_2018.txt 2 62 124 
every Solar_eclipse_of_February_15,_2018.txt 3 111 134 161 
nearly Solar_eclipse_of_February_15,_2018.txt 1 146 
shadow Solar_eclipse_of_February_15,_2018.txt 1 63 
categories Solar_eclipse_of_February_15,_2018.txt 2 171 173 
february Solar_eclipse_of_February_15,_2018.txt 2 3 14 
edit Solar_eclipse_of_February_15,_2018.txt 7 82 92 95 99 128 167 170 
6939.69 Solar_eclipse_of_February_15,_2018.txt 1 137 
each Solar_eclipse_of_February_15,_2018.txt 1 100 
cycles Solar_eclipse_of_February_15,_2018.txt 1 142 
lasting Solar_eclipse_of_February_15,_2018.txt 1 139 
series Solar_eclipse_of_February_15,_2018.txt 3 105 127 131 
related Solar_eclipse_of_February_15,_2018.txt 1 93 
images Solar_eclipse_of_February_15,_2018.txt 1 81 
calendar Solar_eclipse_of_February_15,_2018.txt 1 149 
3.8 Solar_eclipse_of_February_15,_2018.txt 1 162 
for Solar_eclipse_of_February_15,_2018.txt 1 40 
sun Solar_eclipse_of_February_15,_2018.txt 2 29 39 
wikipedia Solar_eclipse_of_February_15,_2018.txt 1 6 
moon Solar_eclipse_of_February_15,_2018.txt 1 23 
misses Solar_eclipse_of_February_15,_2018.txt 1 64 
between Solar_eclipse_of_February_15,_2018.txt 1 25 
occurs Solar_eclipse_of_February_15,_2018.txt 2 20 49 
hours Solar_eclipse_of_February_15,_2018.txt 1 116 
path Solar_eclipse_of_February_15,_2018.txt 2 84 85 
on Solar_eclipse_of_February_15,_2018.txt 2 13 43 
about Solar_eclipse_of_February_15,_2018.txt 1 140 
hidden Solar_eclipse_of_February_15,_2018.txt 1 172 
of Solar_eclipse_of_February_15,_2018.txt 9 2 37 54 60 77 86 106 122 158 
days Solar_eclipse_of_February_15,_2018.txt 3 113 138 165 
place Solar_eclipse_of_February_15,_2018.txt 2 12 70 
repeats Solar_eclipse_of_February_15,_2018.txt 3 109 132 156 
or Solar_eclipse_of_February_15,_2018.txt 2 32 160 
south Solar_eclipse_of_February_15,_2018.txt 1 78 
image Solar_eclipse_of_February_15,_2018.txt 1 36 
2015-2018 Solar_eclipse_of_February_15,_2018.txt 1 98 
semester Solar_eclipse_of_February_15,_2018.txt 2 104 118 
references Solar_eclipse_of_February_15,_2018.txt 1 166 
177 Solar_eclipse_of_February_15,_2018.txt 1 112 
passes Solar_eclipse_of_February_15,_2018.txt 1 24 
addition Solar_eclipse_of_February_15,_2018.txt 1 152 
approximately Solar_eclipse_of_February_15,_2018.txt 1 110 
4 Solar_eclipse_of_February_15,_2018.txt 1 115 
1/5 Solar_eclipse_of_February_15,_2018.txt 1 157 
partly Solar_eclipse_of_February_15,_2018.txt 1 33 
that Solar_eclipse_of_February_15,_2018.txt 1 159 
took Solar_eclipse_of_February_15,_2018.txt 2 11 69 
external Solar_eclipse_of_February_15,_2018.txt 1 168 
solar Solar_eclipse_of_February_15,_2018.txt 6 0 9 18 47 96 107 
