essay Solar_eclipse_of_February_26,_1979.txt 1 293 
cycles Solar_eclipse_of_February_26,_1979.txt 1 563 
all Solar_eclipse_of_February_26,_1979.txt 1 69 
dates Solar_eclipse_of_February_26,_1979.txt 1 500 
partial Solar_eclipse_of_February_26,_1979.txt 4 87 395 476 527 
phenomenon Solar_eclipse_of_February_26,_1979.txt 1 26 
september Solar_eclipse_of_February_26,_1979.txt 1 418 
suns Solar_eclipse_of_February_26,_1979.txt 1 67 
astronomical Solar_eclipse_of_February_26,_1979.txt 1 25 
hybrid Solar_eclipse_of_February_26,_1979.txt 1 496 
years Solar_eclipse_of_February_26,_1979.txt 4 192 466 557 584 
four Solar_eclipse_of_February_26,_1979.txt 1 185 
awful Solar_eclipse_of_February_26,_1979.txt 1 349 
through Solar_eclipse_of_February_26,_1979.txt 5 106 207 243 504 515 
douglas Solar_eclipse_of_February_26,_1979.txt 1 375 
dakota Solar_eclipse_of_February_26,_1979.txt 1 124 
earth Solar_eclipse_of_February_26,_1979.txt 2 34 52 
10:48 Solar_eclipse_of_February_26,_1979.txt 1 253 
1546 Solar_eclipse_of_February_26,_1979.txt 1 507 
26 Solar_eclipse_of_February_26,_1979.txt 2 4 18 
27 Solar_eclipse_of_February_26,_1979.txt 1 481 
21 Solar_eclipse_of_February_26,_1979.txt 1 196 
northwestern Solar_eclipse_of_February_26,_1979.txt 1 227 
pray Solar_eclipse_of_February_26,_1979.txt 1 342 
18 Solar_eclipse_of_February_26,_1979.txt 1 465 
writer Solar_eclipse_of_February_26,_1979.txt 1 270 
sky Solar_eclipse_of_February_26,_1979.txt 1 352 
3 Solar_eclipse_of_February_26,_1979.txt 1 499 
5 Solar_eclipse_of_February_26,_1979.txt 1 562 
blocking Solar_eclipse_of_February_26,_1979.txt 1 68 
late Solar_eclipse_of_February_26,_1979.txt 1 248 
to Solar_eclipse_of_February_26,_1979.txt 5 156 160 172 223 310 
winnipeg Solar_eclipse_of_February_26,_1979.txt 1 245 
4 Solar_eclipse_of_February_26,_1979.txt 1 441 
933 Solar_eclipse_of_February_26,_1979.txt 1 482 
covered Solar_eclipse_of_February_26,_1979.txt 1 117 
2017 Solar_eclipse_of_February_26,_1979.txt 1 197 
thousands Solar_eclipse_of_February_26,_1979.txt 1 95 
over Solar_eclipse_of_February_26,_1979.txt 2 91 407 
skies Solar_eclipse_of_February_26,_1979.txt 1 225 
