partial Solar_eclipse_of_February_4,_1981.txt 1 81 
suns Solar_eclipse_of_February_4,_1981.txt 2 58 63 
over Solar_eclipse_of_February_4,_1981.txt 3 83 99 117 
ended Solar_eclipse_of_February_4,_1981.txt 1 114 
1979-1982 Solar_eclipse_of_February_4,_1981.txt 1 128 
earth Solar_eclipse_of_February_4,_1981.txt 3 25 43 88 
blocking Solar_eclipse_of_February_4,_1981.txt 1 59 
to Solar_eclipse_of_February_4,_1981.txt 1 69 
4 Solar_eclipse_of_February_4,_1981.txt 2 4 145 
nodes Solar_eclipse_of_February_4,_1981.txt 1 151 
thousands Solar_eclipse_of_February_4,_1981.txt 1 89 
alternating Solar_eclipse_of_February_4,_1981.txt 1 150 
australia Solar_eclipse_of_February_4,_1981.txt 1 97 
thereby Solar_eclipse_of_February_4,_1981.txt 1 29 
moons Solar_eclipse_of_February_4,_1981.txt 2 51 154 
every Solar_eclipse_of_February_4,_1981.txt 1 141 
categories Solar_eclipse_of_February_4,_1981.txt 2 160 162 
kilometres Solar_eclipse_of_February_4,_1981.txt 1 91 
february Solar_eclipse_of_February_4,_1981.txt 3 3 13 111 
like Solar_eclipse_of_February_4,_1981.txt 1 71 
edit Solar_eclipse_of_February_4,_1981.txt 4 124 129 157 159 
notes Solar_eclipse_of_February_4,_1981.txt 1 156 
each Solar_eclipse_of_February_4,_1981.txt 1 130 
crossing Solar_eclipse_of_February_4,_1981.txt 1 98 
smaller Solar_eclipse_of_February_4,_1981.txt 1 55 
series Solar_eclipse_of_February_4,_1981.txt 1 135 
related Solar_eclipse_of_February_4,_1981.txt 1 122 
sunrise Solar_eclipse_of_February_4,_1981.txt 1 109 
for Solar_eclipse_of_February_4,_1981.txt 1 39 
sun Solar_eclipse_of_February_4,_1981.txt 3 28 38 68 
wikipedia Solar_eclipse_of_February_4,_1981.txt 1 6 
moon Solar_eclipse_of_February_4,_1981.txt 1 22 
between Solar_eclipse_of_February_4,_1981.txt 1 24 
new Solar_eclipse_of_February_4,_1981.txt 1 106 
occurs Solar_eclipse_of_February_4,_1981.txt 2 19 48 
annular Solar_eclipse_of_February_4,_1981.txt 3 8 45 76 
hours Solar_eclipse_of_February_4,_1981.txt 1 146 
appears Solar_eclipse_of_February_4,_1981.txt 1 78 
on Solar_eclipse_of_February_4,_1981.txt 3 12 42 110 
hidden Solar_eclipse_of_February_4,_1981.txt 1 161 
of Solar_eclipse_of_February_4,_1981.txt 9 2 36 61 86 90 105 127 136 152 
region Solar_eclipse_of_February_4,_1981.txt 1 85 
days Solar_eclipse_of_February_4,_1981.txt 1 143 
repeats Solar_eclipse_of_February_4,_1981.txt 1 139 
or Solar_eclipse_of_February_4,_1981.txt 1 31 
south Solar_eclipse_of_February_4,_1981.txt 1 119 
stewart Solar_eclipse_of_February_4,_1981.txt 1 103 
diameter Solar_eclipse_of_February_4,_1981.txt 1 53 
image Solar_eclipse_of_February_4,_1981.txt 1 35 
visible Solar_eclipse_of_February_4,_1981.txt 1 95 
semester Solar_eclipse_of_February_4,_1981.txt 2 134 148 
references Solar_eclipse_of_February_4,_1981.txt 1 158 
177 Solar_eclipse_of_February_4,_1981.txt 1 142 
ring Solar_eclipse_of_February_4,_1981.txt 1 74 
passes Solar_eclipse_of_February_4,_1981.txt 1 23 
1981 Solar_eclipse_of_February_4,_1981.txt 2 5 15 
5th Solar_eclipse_of_February_4,_1981.txt 1 112 
approximately Solar_eclipse_of_February_4,_1981.txt 1 140 
was Solar_eclipse_of_February_4,_1981.txt 1 94 
a Solar_eclipse_of_February_4,_1981.txt 6 16 40 80 84 133 147 
partly Solar_eclipse_of_February_4,_1981.txt 1 32 
apparent Solar_eclipse_of_February_4,_1981.txt 1 52 
occurred Solar_eclipse_of_February_4,_1981.txt 1 11 
western Solar_eclipse_of_February_4,_1981.txt 1 118 
solar Solar_eclipse_of_February_4,_1981.txt 6 0 9 17 46 125 137 
obscuring Solar_eclipse_of_February_4,_1981.txt 1 33 
tasmania Solar_eclipse_of_February_4,_1981.txt 1 100 
than Solar_eclipse_of_February_4,_1981.txt 1 56 
wide Solar_eclipse_of_February_4,_1981.txt 1 92 
look Solar_eclipse_of_February_4,_1981.txt 1 70 
eclipse Solar_eclipse_of_February_4,_1981.txt 6 1 10 18 47 77 82 
near Solar_eclipse_of_February_4,_1981.txt 1 108 
island Solar_eclipse_of_February_4,_1981.txt 1 104 
eclipses Solar_eclipse_of_February_4,_1981.txt 3 123 126 138 
and Solar_eclipse_of_February_4,_1981.txt 5 26 65 101 113 144 
viewer Solar_eclipse_of_February_4,_1981.txt 1 41 
is Solar_eclipse_of_February_4,_1981.txt 1 54 
it Solar_eclipse_of_February_4,_1981.txt 1 93 
an Solar_eclipse_of_February_4,_1981.txt 4 7 44 72 75 
as Solar_eclipse_of_February_4,_1981.txt 1 79 
at Solar_eclipse_of_February_4,_1981.txt 2 115 149 
in Solar_eclipse_of_February_4,_1981.txt 2 96 132 
contents Solar_eclipse_of_February_4,_1981.txt 1 121 
45 Solar_eclipse_of_February_4,_1981.txt 1 14 
when Solar_eclipse_of_February_4,_1981.txt 2 20 49 
member Solar_eclipse_of_February_4,_1981.txt 1 131 
causing Solar_eclipse_of_February_4,_1981.txt 1 66 
southern Solar_eclipse_of_February_4,_1981.txt 1 102 
most Solar_eclipse_of_February_4,_1981.txt 1 60 
america Solar_eclipse_of_February_4,_1981.txt 1 120 
totally Solar_eclipse_of_February_4,_1981.txt 1 30 
zealand Solar_eclipse_of_February_4,_1981.txt 1 107 
annulus Solar_eclipse_of_February_4,_1981.txt 1 73 
light Solar_eclipse_of_February_4,_1981.txt 1 64 
orbit Solar_eclipse_of_February_4,_1981.txt 1 155 
sunset Solar_eclipse_of_February_4,_1981.txt 1 116 
the Solar_eclipse_of_February_4,_1981.txt 10 21 27 34 37 50 57 62 67 87 153 
