all Solar_eclipse_of_January_1,_1889.txt 2 60 111 
partial Solar_eclipse_of_January_1,_1889.txt 3 78 162 213 
suns Solar_eclipse_of_January_1,_1889.txt 1 58 
over Solar_eclipse_of_January_1,_1889.txt 1 82 
years Solar_eclipse_of_January_1,_1889.txt 1 152 
including Solar_eclipse_of_January_1,_1889.txt 1 108 
earth Solar_eclipse_of_January_1,_1889.txt 2 25 43 
1546 Solar_eclipse_of_January_1,_1889.txt 1 193 
member Solar_eclipse_of_January_1,_1889.txt 1 209 
27 Solar_eclipse_of_January_1,_1889.txt 1 167 
northern Solar_eclipse_of_January_1,_1889.txt 1 105 
29 Solar_eclipse_of_January_1,_1889.txt 1 192 
blocking Solar_eclipse_of_January_1,_1889.txt 1 59 
933 Solar_eclipse_of_January_1,_1889.txt 1 168 
8 Solar_eclipse_of_January_1,_1889.txt 2 188 199 
thousands Solar_eclipse_of_January_1,_1889.txt 1 86 
into Solar_eclipse_of_January_1,_1889.txt 1 65 
march Solar_eclipse_of_January_1,_1889.txt 2 202 230 
thereby Solar_eclipse_of_January_1,_1889.txt 1 29 
moons Solar_eclipse_of_January_1,_1889.txt 1 51 
120 Solar_eclipse_of_January_1,_1889.txt 2 139 148 
every Solar_eclipse_of_January_1,_1889.txt 1 150 
longest Solar_eclipse_of_January_1,_1889.txt 1 220 
day Solar_eclipse_of_January_1,_1889.txt 1 64 
categories Solar_eclipse_of_January_1,_1889.txt 1 237 
kilometres Solar_eclipse_of_January_1,_1889.txt 1 88 
edit Solar_eclipse_of_January_1,_1889.txt 5 120 137 140 234 236 
january Solar_eclipse_of_January_1,_1889.txt 2 3 13 
notes Solar_eclipse_of_January_1,_1889.txt 1 233 
hawaii Solar_eclipse_of_January_1,_1889.txt 1 109 
across Solar_eclipse_of_January_1,_1889.txt 4 73 93 103 127 
through Solar_eclipse_of_January_1,_1889.txt 2 190 201 
repeating Solar_eclipse_of_January_1,_1889.txt 1 149 
series Solar_eclipse_of_January_1,_1889.txt 2 159 206 
direct Solar_eclipse_of_January_1,_1889.txt 1 61 
pacific Solar_eclipse_of_January_1,_1889.txt 1 106 
50 Solar_eclipse_of_January_1,_1889.txt 1 227 
surrounding Solar_eclipse_of_January_1,_1889.txt 1 84 
duration Solar_eclipse_of_January_1,_1889.txt 1 221 
event Solar_eclipse_of_January_1,_1889.txt 1 183 
canada Solar_eclipse_of_January_1,_1889.txt 2 99 134 
darkness Solar_eclipse_of_January_1,_1889.txt 1 66 
for Solar_eclipse_of_January_1,_1889.txt 2 39 184 
sun Solar_eclipse_of_January_1,_1889.txt 2 28 38 
hybrid Solar_eclipse_of_January_1,_1889.txt 1 182 
wikipedia Solar_eclipse_of_January_1,_1889.txt 1 6 
moon Solar_eclipse_of_January_1,_1889.txt 1 22 
3 Solar_eclipse_of_January_1,_1889.txt 1 185 
7 Solar_eclipse_of_January_1,_1889.txt 1 217 
between Solar_eclipse_of_January_1,_1889.txt 1 24 
occurs Solar_eclipse_of_January_1,_1889.txt 3 19 48 68 
ends Solar_eclipse_of_January_1,_1889.txt 1 207 
turning Solar_eclipse_of_January_1,_1889.txt 1 63 
august Solar_eclipse_of_January_1,_1889.txt 1 176 
