partial Solar_eclipse_of_January_16,_1972.txt 2 81 232 
solar Solar_eclipse_of_January_16,_1972.txt 7 0 9 17 46 200 212 233 
suns Solar_eclipse_of_January_16,_1972.txt 2 58 63 
over Solar_eclipse_of_January_16,_1972.txt 1 83 
years Solar_eclipse_of_January_16,_1972.txt 2 260 287 
earth Solar_eclipse_of_January_16,_1972.txt 3 25 43 88 
moon Solar_eclipse_of_January_16,_1972.txt 1 22 
continent Solar_eclipse_of_January_16,_1972.txt 1 163 
subseries Solar_eclipse_of_January_16,_1972.txt 1 279 
note Solar_eclipse_of_January_16,_1972.txt 1 231 
20 Solar_eclipse_of_January_16,_1972.txt 1 241 
blocking Solar_eclipse_of_January_16,_1972.txt 1 59 
to Solar_eclipse_of_January_16,_1972.txt 2 69 180 
4 Solar_eclipse_of_January_16,_1972.txt 1 220 
argentina Solar_eclipse_of_January_16,_1972.txt 1 114 
thousands Solar_eclipse_of_January_16,_1972.txt 1 89 
alternating Solar_eclipse_of_January_16,_1972.txt 1 225 
thereby Solar_eclipse_of_January_16,_1972.txt 1 29 
moons Solar_eclipse_of_January_16,_1972.txt 2 51 229 
nodes Solar_eclipse_of_January_16,_1972.txt 1 226 
every Solar_eclipse_of_January_16,_1972.txt 3 216 258 285 
nearly Solar_eclipse_of_January_16,_1972.txt 1 270 
now Solar_eclipse_of_January_16,_1972.txt 1 194 
categories Solar_eclipse_of_January_16,_1972.txt 2 294 296 
areas Solar_eclipse_of_January_16,_1972.txt 1 94 
75th Solar_eclipse_of_January_16,_1972.txt 1 166 
kilometres Solar_eclipse_of_January_16,_1972.txt 1 91 
february Solar_eclipse_of_January_16,_1972.txt 1 236 
like Solar_eclipse_of_January_16,_1972.txt 1 71 
edit Solar_eclipse_of_January_16,_1972.txt 5 199 204 252 291 293 
january Solar_eclipse_of_January_16,_1972.txt 2 3 13 
notes Solar_eclipse_of_January_16,_1972.txt 1 290 
6939.69 Solar_eclipse_of_January_16,_1972.txt 1 261 
namibia Solar_eclipse_of_January_16,_1972.txt 1 195 
each Solar_eclipse_of_January_16,_1972.txt 1 205 
cycles Solar_eclipse_of_January_16,_1972.txt 1 266 
lasting Solar_eclipse_of_January_16,_1972.txt 1 263 
smaller Solar_eclipse_of_January_16,_1972.txt 2 55 117 
series Solar_eclipse_of_January_16,_1972.txt 3 210 251 255 
related Solar_eclipse_of_January_16,_1972.txt 1 197 
year Solar_eclipse_of_January_16,_1972.txt 1 248 
close Solar_eclipse_of_January_16,_1972.txt 1 179 
calendar Solar_eclipse_of_January_16,_1972.txt 1 273 
3.8 Solar_eclipse_of_January_16,_1972.txt 1 286 
for Solar_eclipse_of_January_16,_1972.txt 1 39 
sun Solar_eclipse_of_January_16,_1972.txt 3 28 38 68 
wikipedia Solar_eclipse_of_January_16,_1972.txt 1 6 
its Solar_eclipse_of_January_16,_1972.txt 1 154 
subsolar Solar_eclipse_of_January_16,_1972.txt 1 186 
indian Solar_eclipse_of_January_16,_1972.txt 1 140 
lunar Solar_eclipse_of_January_16,_1972.txt 1 247 
between Solar_eclipse_of_January_16,_1972.txt 1 24 
new Solar_eclipse_of_January_16,_1972.txt 1 132 
occurs Solar_eclipse_of_January_16,_1972.txt 2 19 48 
august Solar_eclipse_of_January_16,_1972.txt 1 240 
25 Solar_eclipse_of_January_16,_1972.txt 1 237 
annular Solar_eclipse_of_January_16,_1972.txt 4 8 45 76 143 
hours Solar_eclipse_of_January_16,_1972.txt 1 221 
northcentral Solar_eclipse_of_January_16,_1972.txt 1 190 
appears Solar_eclipse_of_January_16,_1972.txt 1 78 
on Solar_eclipse_of_January_16,_1972.txt 3 12 42 235 
about Solar_eclipse_of_January_16,_1972.txt 1 264 
hidden Solar_eclipse_of_January_16,_1972.txt 1 295 
of Solar_eclipse_of_January_16,_1972.txt 19 2 36 61 86 90 99 103 107 111 119 122 127 138 161 183 202 211 227 282 
region Solar_eclipse_of_January_16,_1972.txt 2 85 126 
days Solar_eclipse_of_January_16,_1972.txt 3 218 262 289 
mauritius Solar_eclipse_of_January_16,_1972.txt 1 175 
place Solar_eclipse_of_January_16,_1972.txt 1 146 
islands Solar_eclipse_of_January_16,_1972.txt 1 137 
repeats Solar_eclipse_of_January_16,_1972.txt 3 214 256 280 
whole Solar_eclipse_of_January_16,_1972.txt 1 98 
or Solar_eclipse_of_January_16,_1972.txt 2 31 284 
south Solar_eclipse_of_January_16,_1972.txt 2 108 191 
diameter Solar_eclipse_of_January_16,_1972.txt 1 53 
image Solar_eclipse_of_January_16,_1972.txt 1 35 
africa Solar_eclipse_of_January_16,_1972.txt 1 193 
date Solar_eclipse_of_January_16,_1972.txt 1 274 
semester Solar_eclipse_of_January_16,_1972.txt 2 209 223 
set Solar_eclipse_of_January_16,_1972.txt 1 249 
references Solar_eclipse_of_January_16,_1972.txt 1 292 
177 Solar_eclipse_of_January_16,_1972.txt 1 217 
amsterdam Solar_eclipse_of_January_16,_1972.txt 1 133 
ring Solar_eclipse_of_January_16,_1972.txt 1 74 
passes Solar_eclipse_of_January_16,_1972.txt 1 23 
madagascar Solar_eclipse_of_January_16,_1972.txt 1 184 
addition Solar_eclipse_of_January_16,_1972.txt 1 276 
west Solar_eclipse_of_January_16,_1972.txt 1 192 
approximately Solar_eclipse_of_January_16,_1972.txt 1 215 
next Solar_eclipse_of_January_16,_1972.txt 1 246 
much Solar_eclipse_of_January_16,_1972.txt 2 110 121 
was Solar_eclipse_of_January_16,_1972.txt 2 178 188 
1/5 Solar_eclipse_of_January_16,_1972.txt 1 281 
partly Solar_eclipse_of_January_16,_1972.txt 1 32 
eastern Solar_eclipse_of_January_16,_1972.txt 1 151 
apparent Solar_eclipse_of_January_16,_1972.txt 1 52 
took Solar_eclipse_of_January_16,_1972.txt 1 145 
part Solar_eclipse_of_January_16,_1972.txt 2 102 118 
western Solar_eclipse_of_January_16,_1972.txt 1 148 
chile Solar_eclipse_of_January_16,_1972.txt 1 120 
obscuring Solar_eclipse_of_January_16,_1972.txt 1 33 
with Solar_eclipse_of_January_16,_1972.txt 1 153 
than Solar_eclipse_of_January_16,_1972.txt 1 56 
wide Solar_eclipse_of_January_16,_1972.txt 1 92 
look Solar_eclipse_of_January_16,_1972.txt 1 70 
16 Solar_eclipse_of_January_16,_1972.txt 2 4 14 
19 Solar_eclipse_of_January_16,_1972.txt 1 259 
eclipse Solar_eclipse_of_January_16,_1972.txt 9 1 10 18 47 77 82 144 156 177 
antarctica Solar_eclipse_of_January_16,_1972.txt 2 100 152 
near Solar_eclipse_of_January_16,_1972.txt 1 164 
1387.94 Solar_eclipse_of_January_16,_1972.txt 1 288 
were Solar_eclipse_of_January_16,_1972.txt 2 96 171 
runion Solar_eclipse_of_January_16,_1972.txt 1 173 
eclipses Solar_eclipse_of_January_16,_1972.txt 7 169 198 201 213 234 257 267 
southernmost Solar_eclipse_of_January_16,_1972.txt 1 105 
and Solar_eclipse_of_January_16,_1972.txt 8 26 65 115 134 150 174 219 239 
viewer Solar_eclipse_of_January_16,_1972.txt 1 41 
is Solar_eclipse_of_January_16,_1972.txt 1 54 
orbit Solar_eclipse_of_January_16,_1972.txt 1 230 
it Solar_eclipse_of_January_16,_1972.txt 3 112 123 130 
an Solar_eclipse_of_January_16,_1972.txt 4 7 44 72 75 
as Solar_eclipse_of_January_16,_1972.txt 1 79 
at Solar_eclipse_of_January_16,_1972.txt 1 224 
in Solar_eclipse_of_January_16,_1972.txt 10 113 124 147 157 172 189 207 244 269 275 
19711974 Solar_eclipse_of_January_16,_1972.txt 1 203 
