all Solar_eclipse_of_January_27,_2093.txt 1 61 
partial Solar_eclipse_of_January_27,_2093.txt 3 79 150 185 
suns Solar_eclipse_of_January_27,_2093.txt 1 59 
over Solar_eclipse_of_January_27,_2093.txt 1 83 
1786 Solar_eclipse_of_January_27,_2093.txt 1 172 
years Solar_eclipse_of_January_27,_2093.txt 1 140 
through Solar_eclipse_of_January_27,_2093.txt 1 173 
2093 Solar_eclipse_of_January_27,_2093.txt 2 5 16 
earth Solar_eclipse_of_January_27,_2093.txt 2 26 44 
25 Solar_eclipse_of_January_27,_2093.txt 1 171 
27 Solar_eclipse_of_January_27,_2093.txt 2 4 15 
28 Solar_eclipse_of_January_27,_2093.txt 1 204 
29 Solar_eclipse_of_January_27,_2093.txt 1 175 
blocking Solar_eclipse_of_January_27,_2093.txt 1 60 
4 Solar_eclipse_of_January_27,_2093.txt 1 114 
nodes Solar_eclipse_of_January_27,_2093.txt 1 120 
thousands Solar_eclipse_of_January_27,_2093.txt 1 87 
into Solar_eclipse_of_January_27,_2093.txt 1 66 
alternating Solar_eclipse_of_January_27,_2093.txt 1 119 
thereby Solar_eclipse_of_January_27,_2093.txt 1 30 
moons Solar_eclipse_of_January_27,_2093.txt 2 52 123 
every Solar_eclipse_of_January_27,_2093.txt 2 110 138 
longest Solar_eclipse_of_January_27,_2093.txt 1 192 
day Solar_eclipse_of_January_27,_2093.txt 1 65 
categories Solar_eclipse_of_January_27,_2093.txt 2 211 213 
kilometres Solar_eclipse_of_January_27,_2093.txt 1 89 
edit Solar_eclipse_of_January_27,_2093.txt 5 94 98 128 207 210 
january Solar_eclipse_of_January_27,_2093.txt 2 3 14 
across Solar_eclipse_of_January_27,_2093.txt 1 74 
each Solar_eclipse_of_January_27,_2093.txt 1 99 
repeating Solar_eclipse_of_January_27,_2093.txt 1 137 
2904 Solar_eclipse_of_January_27,_2093.txt 1 190 
series Solar_eclipse_of_January_27,_2093.txt 4 104 126 147 178 
direct Solar_eclipse_of_January_27,_2093.txt 1 62 
related Solar_eclipse_of_January_27,_2093.txt 1 92 
surrounding Solar_eclipse_of_January_27,_2093.txt 1 85 
duration Solar_eclipse_of_January_27,_2093.txt 1 193 
2543 Solar_eclipse_of_January_27,_2093.txt 1 176 
darkness Solar_eclipse_of_January_27,_2093.txt 1 67 
for Solar_eclipse_of_January_27,_2093.txt 1 40 
sun Solar_eclipse_of_January_27,_2093.txt 2 29 39 
hybrid Solar_eclipse_of_January_27,_2093.txt 1 160 
wikipedia Solar_eclipse_of_January_27,_2093.txt 1 6 
moon Solar_eclipse_of_January_27,_2093.txt 1 23 
between Solar_eclipse_of_January_27,_2093.txt 1 25 
occurs Solar_eclipse_of_January_27,_2093.txt 3 20 49 69 
be Solar_eclipse_of_January_27,_2093.txt 1 197 
ends Solar_eclipse_of_January_27,_2093.txt 1 179 
turning Solar_eclipse_of_January_27,_2093.txt 1 64 
earths Solar_eclipse_of_January_27,_2093.txt 1 75 
seconds Solar_eclipse_of_January_27,_2093.txt 1 201 
hours Solar_eclipse_of_January_27,_2093.txt 1 115 
path Solar_eclipse_of_January_27,_2093.txt 1 73 
on Solar_eclipse_of_January_27,_2093.txt 6 13 43 153 162 187 202 
hidden Solar_eclipse_of_January_27,_2093.txt 1 212 
of Solar_eclipse_of_January_27,_2093.txt 7 2 37 88 105 121 133 194 
