summer Solar_eclipse_of_January_5,_1935.txt 1 17 
partial Solar_eclipse_of_January_5,_1935.txt 2 8 47 
just Solar_eclipse_of_January_5,_1935.txt 1 116 
years Solar_eclipse_of_January_5,_1935.txt 1 125 
seen Solar_eclipse_of_January_5,_1935.txt 1 238 
0.0009 Solar_eclipse_of_January_5,_1935.txt 1 144 
earth Solar_eclipse_of_January_5,_1935.txt 5 27 45 57 67 114 
fifth Solar_eclipse_of_January_5,_1935.txt 1 194 
regions Solar_eclipse_of_January_5,_1935.txt 1 54 
northern Solar_eclipse_of_January_5,_1935.txt 1 88 
had Solar_eclipse_of_January_5,_1935.txt 1 140 
misses Solar_eclipse_of_January_5,_1935.txt 1 65 
4 Solar_eclipse_of_January_5,_1935.txt 2 137 288 
under Solar_eclipse_of_January_5,_1935.txt 1 154 
covered Solar_eclipse_of_January_5,_1935.txt 1 94 
circle Solar_eclipse_of_January_5,_1935.txt 2 177 256 
local Solar_eclipse_of_January_5,_1935.txt 1 204 
meridian Solar_eclipse_of_January_5,_1935.txt 1 234 
spun Solar_eclipse_of_January_5,_1935.txt 1 249 
penumbra Solar_eclipse_of_January_5,_1935.txt 1 111 
above Solar_eclipse_of_January_5,_1935.txt 1 169 
thereby Solar_eclipse_of_January_5,_1935.txt 1 31 
utc Solar_eclipse_of_January_5,_1935.txt 1 202 
very Solar_eclipse_of_January_5,_1935.txt 1 132 
moons Solar_eclipse_of_January_5,_1935.txt 4 63 110 161 297 
5:35:45 Solar_eclipse_of_January_5,_1935.txt 1 201 
touching Solar_eclipse_of_January_5,_1935.txt 1 112 
five Solar_eclipse_of_January_5,_1935.txt 1 75 
during Solar_eclipse_of_January_5,_1935.txt 1 16 
shadow Solar_eclipse_of_January_5,_1935.txt 2 64 162 
minute Solar_eclipse_of_January_5,_1935.txt 1 195 
february Solar_eclipse_of_January_5,_1935.txt 1 91 
edit Solar_eclipse_of_January_5,_1935.txt 5 70 268 272 300 303 
january Solar_eclipse_of_January_5,_1935.txt 3 3 13 136 
semester Solar_eclipse_of_January_5,_1935.txt 2 277 291 
magnitude Solar_eclipse_of_January_5,_1935.txt 1 142 
each Solar_eclipse_of_January_5,_1935.txt 1 273 
296 Solar_eclipse_of_January_5,_1935.txt 1 124 
20th Solar_eclipse_of_January_5,_1935.txt 1 264 
right Solar_eclipse_of_January_5,_1935.txt 2 217 245 
66.5 Solar_eclipse_of_January_5,_1935.txt 1 252 
alternating Solar_eclipse_of_January_5,_1935.txt 1 293 
series Solar_eclipse_of_January_5,_1935.txt 1 278 
pacific Solar_eclipse_of_January_5,_1935.txt 1 190 
22:45 Solar_eclipse_of_January_5,_1935.txt 1 203 
member Solar_eclipse_of_January_5,_1935.txt 1 274 
111 Solar_eclipse_of_January_5,_1935.txt 1 107 
year Solar_eclipse_of_January_5,_1935.txt 1 81 
shown Solar_eclipse_of_January_5,_1935.txt 1 153 
missed Solar_eclipse_of_January_5,_1935.txt 1 164 
for Solar_eclipse_of_January_5,_1935.txt 3 41 115 147 
sun Solar_eclipse_of_January_5,_1935.txt 2 30 40 
wikipedia Solar_eclipse_of_January_5,_1935.txt 1 6 
moon Solar_eclipse_of_January_5,_1935.txt 3 24 213 220 
3 Solar_eclipse_of_January_5,_1935.txt 1 92 
mini-eclipse Solar_eclipse_of_January_5,_1935.txt 1 179 
7 Solar_eclipse_of_January_5,_1935.txt 1 149 
between Solar_eclipse_of_January_5,_1935.txt 1 26 
occurs Solar_eclipse_of_January_5,_1935.txt 2 21 50 
hundreds Solar_eclipse_of_January_5,_1935.txt 1 182 
hours Solar_eclipse_of_January_5,_1935.txt 1 289 
1935 Solar_eclipse_of_January_5,_1935.txt 2 5 15 
kilometers Solar_eclipse_of_January_5,_1935.txt 1 184 
by Solar_eclipse_of_January_5,_1935.txt 1 165 
shortest Solar_eclipse_of_January_5,_1935.txt 1 261 
2,825 Solar_eclipse_of_January_5,_1935.txt 1 167 
on Solar_eclipse_of_January_5,_1935.txt 5 12 44 90 135 218 
about Solar_eclipse_of_January_5,_1935.txt 2 148 166 
hidden Solar_eclipse_of_January_5,_1935.txt 1 305 
last Solar_eclipse_of_January_5,_1935.txt 2 102 127 
of Solar_eclipse_of_January_5,_1935.txt 16 2 38 55 61 74 96 104 143 159 174 183 224 227 251 279 295 
days Solar_eclipse_of_January_5,_1935.txt 1 286 
64.7s Solar_eclipse_of_January_5,_1935.txt 2 172 207 
s Solar_eclipse_of_January_5,_1935.txt 1 253 
place Solar_eclipse_of_January_5,_1935.txt 2 79 181 
w Solar_eclipse_of_January_5,_1935.txt 1 210 
west Solar_eclipse_of_January_5,_1935.txt 1 235 
repeats Solar_eclipse_of_January_5,_1935.txt 1 282 
or Solar_eclipse_of_January_5,_1935.txt 1 33 
south Solar_eclipse_of_January_5,_1935.txt 2 229 250 
1935-1938 Solar_eclipse_of_January_5,_1935.txt 1 271 
image Solar_eclipse_of_January_5,_1935.txt 1 37 
one Solar_eclipse_of_January_5,_1935.txt 2 73 84 
pole Solar_eclipse_of_January_5,_1935.txt 1 230 
references Solar_eclipse_of_January_5,_1935.txt 1 299 
177 Solar_eclipse_of_January_5,_1935.txt 1 285 
