744bc Solar_eclipse_of_July_16,_2186.txt 1 163 
partial Solar_eclipse_of_July_16,_2186.txt 2 208 246 
just Solar_eclipse_of_July_16,_2186.txt 1 90 
hybrid Solar_eclipse_of_July_16,_2186.txt 1 217 
over Solar_eclipse_of_July_16,_2186.txt 3 32 45 78 
years Solar_eclipse_of_July_16,_2186.txt 3 27 130 196 
produced Solar_eclipse_of_July_16,_2186.txt 1 299 
through Solar_eclipse_of_July_16,_2186.txt 2 223 234 
139 Solar_eclipse_of_July_16,_2186.txt 3 107 183 192 
32 Solar_eclipse_of_July_16,_2186.txt 1 177 
26 Solar_eclipse_of_July_16,_2186.txt 2 65 236 
21 Solar_eclipse_of_July_16,_2186.txt 1 232 
northern Solar_eclipse_of_July_16,_2186.txt 2 53 83 
28 Solar_eclipse_of_July_16,_2186.txt 1 158 
rosa Solar_eclipse_of_July_16,_2186.txt 1 70 
4 Solar_eclipse_of_July_16,_2186.txt 3 42 73 88 
8 Solar_eclipse_of_July_16,_2186.txt 1 199 
apart Solar_eclipse_of_July_16,_2186.txt 1 260 
thousands Solar_eclipse_of_July_16,_2186.txt 1 25 
1991 Solar_eclipse_of_July_16,_2186.txt 1 286 
march Solar_eclipse_of_July_16,_2186.txt 1 235 
possible Solar_eclipse_of_July_16,_2186.txt 1 168 
267 Solar_eclipse_of_July_16,_2186.txt 1 99 
longest Solar_eclipse_of_July_16,_2186.txt 7 21 114 151 165 279 293 315 
1627 Solar_eclipse_of_July_16,_2186.txt 1 222 
shadow Solar_eclipse_of_July_16,_2186.txt 1 102 
one Solar_eclipse_of_July_16,_2186.txt 1 258 
categories Solar_eclipse_of_July_16,_2186.txt 1 328 
occurring Solar_eclipse_of_July_16,_2186.txt 1 44 
edit Solar_eclipse_of_July_16,_2186.txt 5 98 181 184 324 327 
50 Solar_eclipse_of_July_16,_2186.txt 1 76 
1825 Solar_eclipse_of_July_16,_2186.txt 1 226 
repeating Solar_eclipse_of_July_16,_2186.txt 1 193 
lasting Solar_eclipse_of_July_16,_2186.txt 1 131 
computed Solar_eclipse_of_July_16,_2186.txt 1 318 
bogota Solar_eclipse_of_July_16,_2186.txt 1 79 
series Solar_eclipse_of_July_16,_2186.txt 3 191 205 239 
related Solar_eclipse_of_July_16,_2186.txt 1 179 
are Solar_eclipse_of_July_16,_2186.txt 2 149 257 
pass Solar_eclipse_of_July_16,_2186.txt 1 31 
duration Solar_eclipse_of_July_16,_2186.txt 2 97 294 
contains Solar_eclipse_of_July_16,_2186.txt 1 216 
2601 Solar_eclipse_of_July_16,_2186.txt 1 237 
regina Solar_eclipse_of_July_16,_2186.txt 1 94 
for Solar_eclipse_of_July_16,_2186.txt 2 24 169 
factors Solar_eclipse_of_July_16,_2186.txt 1 140 
since Solar_eclipse_of_July_16,_2186.txt 1 283 
wikipedia Solar_eclipse_of_July_16,_2186.txt 1 6 
2763 Solar_eclipse_of_July_16,_2186.txt 1 251 
3 Solar_eclipse_of_July_16,_2186.txt 2 62 250 
millennium Solar_eclipse_of_July_16,_2186.txt 1 172 
7 Solar_eclipse_of_July_16,_2186.txt 5 85 135 156 174 304 
between Solar_eclipse_of_July_16,_2186.txt 2 118 319 
espaola Solar_eclipse_of_July_16,_2186.txt 1 50 
venezuela Solar_eclipse_of_July_16,_2186.txt 1 81 
anna Solar_eclipse_of_July_16,_2186.txt 1 93 
be Solar_eclipse_of_July_16,_2186.txt 5 9 19 112 277 298 
ends Solar_eclipse_of_July_16,_2186.txt 1 240 
august Solar_eclipse_of_July_16,_2186.txt 1 220 
bc Solar_eclipse_of_July_16,_2186.txt 1 123 
seconds Solar_eclipse_of_July_16,_2186.txt 8 66 77 89 138 159 178 291 307 
june Solar_eclipse_of_July_16,_2186.txt 2 161 273 
hours Solar_eclipse_of_July_16,_2186.txt 1 200 
santa Solar_eclipse_of_July_16,_2186.txt 1 69 
4000bc Solar_eclipse_of_July_16,_2186.txt 1 320 
by Solar_eclipse_of_July_16,_2186.txt 1 300 
extreme Solar_eclipse_of_July_16,_2186.txt 1 96 
on Solar_eclipse_of_July_16,_2186.txt 7 13 67 160 211 219 248 308 
dates Solar_eclipse_of_July_16,_2186.txt 1 120 
central Solar_eclipse_of_July_16,_2186.txt 2 71 80 
55 Solar_eclipse_of_July_16,_2186.txt 1 290 
1843 Solar_eclipse_of_July_16,_2186.txt 1 233 
of Solar_eclipse_of_July_16,_2186.txt 12 2 26 41 49 55 61 92 121 134 189 272 295 
days Solar_eclipse_of_July_16,_2186.txt 1 198 
islands Solar_eclipse_of_July_16,_2186.txt 1 36 
diameter Solar_eclipse_of_July_16,_2186.txt 1 101 
12,000 Solar_eclipse_of_July_16,_2186.txt 1 129 
members Solar_eclipse_of_July_16,_2186.txt 1 252 
29 Solar_eclipse_of_July_16,_2186.txt 2 137 306 
galpagos Solar_eclipse_of_July_16,_2186.txt 1 35 
references Solar_eclipse_of_July_16,_2186.txt 1 323 
long Solar_eclipse_of_July_16,_2186.txt 1 147 
colombia Solar_eclipse_of_July_16,_2186.txt 1 72 
total Solar_eclipse_of_July_16,_2186.txt 7 22 39 59 115 153 228 280 
theoretically Solar_eclipse_of_July_16,_2186.txt 1 167 
from Solar_eclipse_of_July_16,_2186.txt 1 230 
area Solar_eclipse_of_July_16,_2186.txt 1 268 
there Solar_eclipse_of_July_16,_2186.txt 1 7 
least Solar_eclipse_of_July_16,_2186.txt 1 126 
1501 Solar_eclipse_of_July_16,_2186.txt 1 214 
totality Solar_eclipse_of_July_16,_2186.txt 1 296 
6 Solar_eclipse_of_July_16,_2186.txt 1 288 
ecuador Solar_eclipse_of_July_16,_2186.txt 1 56 
north Solar_eclipse_of_July_16,_2186.txt 1 91 
that Solar_eclipse_of_July_16,_2186.txt 1 141 
started Solar_eclipse_of_July_16,_2186.txt 1 206 
6000ad Solar_eclipse_of_July_16,_2186.txt 1 322 
39 Solar_eclipse_of_July_16,_2186.txt 1 302 
part Solar_eclipse_of_July_16,_2186.txt 1 188 
2186 Solar_eclipse_of_July_16,_2186.txt 3 5 16 311 
solar Solar_eclipse_of_July_16,_2186.txt 7 0 11 116 209 270 281 316 
july Solar_eclipse_of_July_16,_2186.txt 5 3 14 249 284 309 
with Solar_eclipse_of_July_16,_2186.txt 3 37 57 207 
11 Solar_eclipse_of_July_16,_2186.txt 3 197 221 285 
13 Solar_eclipse_of_July_16,_2186.txt 1 274 
15 Solar_eclipse_of_July_16,_2186.txt 1 162 
17 Solar_eclipse_of_July_16,_2186.txt 1 213 
16 Solar_eclipse_of_July_16,_2186.txt 3 4 15 310 
this Solar_eclipse_of_July_16,_2186.txt 3 110 144 312 
18 Solar_eclipse_of_July_16,_2186.txt 1 195 
eclipse Solar_eclipse_of_July_16,_2186.txt 16 1 12 23 29 40 60 105 117 148 154 166 210 247 271 282 317 
maximum Solar_eclipse_of_July_16,_2186.txt 1 133 
will Solar_eclipse_of_July_16,_2186.txt 7 8 18 30 111 142 276 297 
column Solar_eclipse_of_July_16,_2186.txt 1 256 
historical Solar_eclipse_of_July_16,_2186.txt 1 152 
guyana Solar_eclipse_of_July_16,_2186.txt 1 84 
eclipses Solar_eclipse_of_July_16,_2186.txt 3 180 218 229 
