kuril Solar_eclipse_of_July_20,_1963.txt 1 101 
all Solar_eclipse_of_July_20,_1963.txt 1 63 
partial Solar_eclipse_of_July_20,_1963.txt 3 81 324 369 
september Solar_eclipse_of_July_20,_1963.txt 1 358 
suns Solar_eclipse_of_July_20,_1963.txt 1 61 
over Solar_eclipse_of_July_20,_1963.txt 2 85 203 
charles Solar_eclipse_of_July_20,_1963.txt 1 126 
years Solar_eclipse_of_July_20,_1963.txt 1 311 
hidden Solar_eclipse_of_July_20,_1963.txt 1 400 
through Solar_eclipse_of_July_20,_1963.txt 1 357 
earth Solar_eclipse_of_July_20,_1963.txt 2 26 44 
hokkaido Solar_eclipse_of_July_20,_1963.txt 1 97 
maine Solar_eclipse_of_July_20,_1963.txt 1 117 
25 Solar_eclipse_of_July_20,_1963.txt 1 382 
occur Solar_eclipse_of_July_20,_1963.txt 1 379 
20 Solar_eclipse_of_July_20,_1963.txt 3 4 15 124 
21 Solar_eclipse_of_July_20,_1963.txt 1 112 
2522 Solar_eclipse_of_July_20,_1963.txt 1 383 
thick Solar_eclipse_of_July_20,_1963.txt 1 219 
29 Solar_eclipse_of_July_20,_1963.txt 1 355 
to Solar_eclipse_of_July_20,_1963.txt 4 108 157 191 220 
4 Solar_eclipse_of_July_20,_1963.txt 3 158 284 329 
stephen Solar_eclipse_of_July_20,_1963.txt 1 235 
peanuts Solar_eclipse_of_July_20,_1963.txt 1 175 
nodes Solar_eclipse_of_July_20,_1963.txt 1 290 
thousands Solar_eclipse_of_July_20,_1963.txt 1 89 
into Solar_eclipse_of_July_20,_1963.txt 1 68 
1961-1964 Solar_eclipse_of_July_20,_1963.txt 1 267 
alternating Solar_eclipse_of_July_20,_1963.txt 1 289 
belonging Solar_eclipse_of_July_20,_1963.txt 1 107 
his Solar_eclipse_of_July_20,_1963.txt 1 204 
thereby Solar_eclipse_of_July_20,_1963.txt 1 30 
king Solar_eclipse_of_July_20,_1963.txt 1 236 
