all Solar_eclipse_of_July_22,_1990.txt 1 60 
partial Solar_eclipse_of_July_22,_1990.txt 3 78 207 257 
1593 Solar_eclipse_of_July_22,_1990.txt 1 282 
suns Solar_eclipse_of_July_22,_1990.txt 1 58 
over Solar_eclipse_of_July_22,_1990.txt 1 82 
years Solar_eclipse_of_July_22,_1990.txt 3 197 307 334 
including Solar_eclipse_of_July_22,_1990.txt 1 99 
earth Solar_eclipse_of_July_22,_1990.txt 2 25 43 
subseries Solar_eclipse_of_July_22,_1990.txt 1 326 
member Solar_eclipse_of_July_22,_1990.txt 2 158 253 
22 Solar_eclipse_of_July_22,_1990.txt 3 4 14 281 
23 Solar_eclipse_of_July_22,_1990.txt 1 247 
blocking Solar_eclipse_of_July_22,_1990.txt 1 59 
4 Solar_eclipse_of_July_22,_1990.txt 3 172 220 224 
nodes Solar_eclipse_of_July_22,_1990.txt 1 178 
thousands Solar_eclipse_of_July_22,_1990.txt 1 86 
into Solar_eclipse_of_July_22,_1990.txt 1 65 
alternating Solar_eclipse_of_July_22,_1990.txt 1 177 
protective Solar_eclipse_of_July_22,_1990.txt 1 128 
march Solar_eclipse_of_July_22,_1990.txt 1 211 
thereby Solar_eclipse_of_July_22,_1990.txt 1 29 
1990 Solar_eclipse_of_July_22,_1990.txt 2 5 15 
photography Solar_eclipse_of_July_22,_1990.txt 1 126 
moons Solar_eclipse_of_July_22,_1990.txt 2 51 181 
every Solar_eclipse_of_July_22,_1990.txt 4 168 195 305 332 
longest Solar_eclipse_of_July_22,_1990.txt 2 264 284 
126 Solar_eclipse_of_July_22,_1990.txt 2 184 193 
during Solar_eclipse_of_July_22,_1990.txt 1 120 
day Solar_eclipse_of_July_22,_1990.txt 1 64 
categories Solar_eclipse_of_July_22,_1990.txt 2 342 344 
14 Solar_eclipse_of_July_22,_1990.txt 1 231 
kilometres Solar_eclipse_of_July_22,_1990.txt 1 88 
clouds Solar_eclipse_of_July_22,_1990.txt 1 136 
1828 Solar_eclipse_of_July_22,_1990.txt 1 232 
edit Solar_eclipse_of_July_22,_1990.txt 6 152 156 185 299 338 340 
notes Solar_eclipse_of_July_22,_1990.txt 1 337 
across Solar_eclipse_of_July_22,_1990.txt 1 73 
6939.69 Solar_eclipse_of_July_22,_1990.txt 1 308 
each Solar_eclipse_of_July_22,_1990.txt 1 157 
through Solar_eclipse_of_July_22,_1990.txt 3 222 233 245 
repeating Solar_eclipse_of_July_22,_1990.txt 1 194 
cycles Solar_eclipse_of_July_22,_1990.txt 1 313 
todays Solar_eclipse_of_July_22,_1990.txt 1 100 
glasses Solar_eclipse_of_July_22,_1990.txt 1 129 
1323 Solar_eclipse_of_July_22,_1990.txt 1 221 
eclipse Solar_eclipse_of_July_22,_1990.txt 9 1 10 18 47 80 118 209 258 268 
direct Solar_eclipse_of_July_22,_1990.txt 1 61 
related Solar_eclipse_of_July_22,_1990.txt 1 150 
surrounding Solar_eclipse_of_July_22,_1990.txt 1 84 
36 Solar_eclipse_of_July_22,_1990.txt 1 291 
duration Solar_eclipse_of_July_22,_1990.txt 2 265 285 
calendar Solar_eclipse_of_July_22,_1990.txt 1 320 
sunrise Solar_eclipse_of_July_22,_1990.txt 1 121 
addition Solar_eclipse_of_July_22,_1990.txt 1 323 
darkness Solar_eclipse_of_July_22,_1990.txt 1 66 
for Solar_eclipse_of_July_22,_1990.txt 1 39 
sun Solar_eclipse_of_July_22,_1990.txt 3 28 38 138 
hybrid Solar_eclipse_of_July_22,_1990.txt 1 227 
wikipedia Solar_eclipse_of_July_22,_1990.txt 1 6 
moon Solar_eclipse_of_July_22,_1990.txt 1 22 
3 Solar_eclipse_of_July_22,_1990.txt 1 261 
6 Solar_eclipse_of_July_22,_1990.txt 1 235 
between Solar_eclipse_of_July_22,_1990.txt 1 24 
1990-1992 Solar_eclipse_of_July_22,_1990.txt 1 155 
occurs Solar_eclipse_of_July_22,_1990.txt 3 19 48 68 
repeats Solar_eclipse_of_July_22,_1990.txt 3 166 303 327 
ends Solar_eclipse_of_July_22,_1990.txt 1 251 
turning Solar_eclipse_of_July_22,_1990.txt 1 63 
august Solar_eclipse_of_July_22,_1990.txt 1 246 
earths Solar_eclipse_of_July_22,_1990.txt 1 74 
seconds Solar_eclipse_of_July_22,_1990.txt 2 276 292 
june Solar_eclipse_of_July_22,_1990.txt 1 219 
annularity Solar_eclipse_of_July_22,_1990.txt 1 278 
annular Solar_eclipse_of_July_22,_1990.txt 2 216 269 
however Solar_eclipse_of_July_22,_1990.txt 1 132 
hours Solar_eclipse_of_July_22,_1990.txt 1 173 
path Solar_eclipse_of_July_22,_1990.txt 1 72 
november Solar_eclipse_of_July_22,_1990.txt 1 280 
strong Solar_eclipse_of_July_22,_1990.txt 1 135 
06:03:07 Solar_eclipse_of_July_22,_1990.txt 1 146 
by Solar_eclipse_of_July_22,_1990.txt 1 134 
on Solar_eclipse_of_July_22,_1990.txt 6 12 42 210 259 279 293 
2044 Solar_eclipse_of_July_22,_1990.txt 1 248 
hidden Solar_eclipse_of_July_22,_1990.txt 1 343 
central Solar_eclipse_of_July_22,_1990.txt 1 267 
northern Solar_eclipse_of_July_22,_1990.txt 2 101 104 
of Solar_eclipse_of_July_22,_1990.txt 11 2 36 87 112 163 179 190 266 277 286 329 
region Solar_eclipse_of_July_22,_1990.txt 1 85 
finland Solar_eclipse_of_July_22,_1990.txt 2 95 115 
alaska Solar_eclipse_of_July_22,_1990.txt 1 113 
april Solar_eclipse_of_July_22,_1990.txt 2 223 230 
islands Solar_eclipse_of_July_22,_1990.txt 1 109 
narrow Solar_eclipse_of_July_22,_1990.txt 1 71 
