all Solar_eclipse_of_July_22,_2009.txt 2 76 242 
partial Solar_eclipse_of_July_22,_2009.txt 4 59 782 902 951 
chinese Solar_eclipse_of_July_22,_2009.txt 1 372 
dispel Solar_eclipse_of_July_22,_2009.txt 1 383 
guwahati Solar_eclipse_of_July_22,_2009.txt 1 155 
religious Solar_eclipse_of_July_22,_2009.txt 1 327 
jima Solar_eclipse_of_July_22,_2009.txt 3 128 210 566 
21st Solar_eclipse_of_July_22,_2009.txt 2 25 517 
shanghai Solar_eclipse_of_July_22,_2009.txt 4 173 188 288 395 
to Solar_eclipse_of_July_22,_2009.txt 18 204 213 230 321 377 382 394 407 461 486 513 534 575 601 627 655 755 803 
nodes Solar_eclipse_of_July_22,_2009.txt 1 878 
alternating Solar_eclipse_of_July_22,_2009.txt 1 877 
cruising Solar_eclipse_of_July_22,_2009.txt 1 617 
every Solar_eclipse_of_July_22,_2009.txt 4 868 890 991 1018 
categories Solar_eclipse_of_July_22,_2009.txt 2 1033 1035 
entire Solar_eclipse_of_July_22,_2009.txt 1 959 
and Solar_eclipse_of_July_22,_2009.txt 31 34 53 80 82 109 131 142 154 158 236 248 289 347 381 400 453 467 519 537 590 605 616 671 681 724 750 758 848 871 909 932 
1703 Solar_eclipse_of_July_22,_2009.txt 1 931 
clouds Solar_eclipse_of_July_22,_2009.txt 1 202 
experiencing Solar_eclipse_of_July_22,_2009.txt 1 426 
notes Solar_eclipse_of_July_22,_2009.txt 1 1023 
cloudy Solar_eclipse_of_July_22,_2009.txt 1 439 
large Solar_eclipse_of_July_22,_2009.txt 1 138 
north-eastern Solar_eclipse_of_July_22,_2009.txt 1 83 
wuxi Solar_eclipse_of_July_22,_2009.txt 1 168 
siliguri Solar_eclipse_of_July_22,_2009.txt 1 152 
spiritual Solar_eclipse_of_July_22,_2009.txt 1 329 
smaller Solar_eclipse_of_July_22,_2009.txt 3 735 752 774 
force Solar_eclipse_of_July_22,_2009.txt 1 369 
occurrence Solar_eclipse_of_July_22,_2009.txt 1 349 
bonin Solar_eclipse_of_July_22,_2009.txt 1 557 
japanese Solar_eclipse_of_July_22,_2009.txt 2 207 816 
second Solar_eclipse_of_July_22,_2009.txt 1 827 
nawabganj Solar_eclipse_of_July_22,_2009.txt 1 175 
sun Solar_eclipse_of_July_22,_2009.txt 4 721 732 757 777 
near Solar_eclipse_of_July_22,_2009.txt 5 484 501 708 728 747 
asia Solar_eclipse_of_July_22,_2009.txt 3 42 75 245 
indian Solar_eclipse_of_July_22,_2009.txt 2 359 367 
scientists Solar_eclipse_of_July_22,_2009.txt 2 360 414 
new Solar_eclipse_of_July_22,_2009.txt 1 489 
contrast Solar_eclipse_of_July_22,_2009.txt 1 737 
full Solar_eclipse_of_July_22,_2009.txt 1 482 
respectively Solar_eclipse_of_July_22,_2009.txt 1 685 
gathered Solar_eclipse_of_July_22,_2009.txt 1 310 
superstition Solar_eclipse_of_July_22,_2009.txt 1 385 
wuhan Solar_eclipse_of_July_22,_2009.txt 2 164 393 
china Solar_eclipse_of_July_22,_2009.txt 5 48 81 108 185 389 
alone Solar_eclipse_of_July_22,_2009.txt 1 291 
path Solar_eclipse_of_July_22,_2009.txt 3 66 195 791 
100 Solar_eclipse_of_July_22,_2009.txt 1 552 
chongqing Solar_eclipse_of_July_22,_2009.txt 1 161 
39 Solar_eclipse_of_July_22,_2009.txt 2 35 538 
30 Solar_eclipse_of_July_22,_2009.txt 3 284 669 955 
experience Solar_eclipse_of_July_22,_2009.txt 2 322 436 
narrow Solar_eclipse_of_July_22,_2009.txt 1 92 
diameter Solar_eclipse_of_July_22,_2009.txt 3 479 713 754 
followed Solar_eclipse_of_July_22,_2009.txt 1 401 
myanmar Solar_eclipse_of_July_22,_2009.txt 1 106 
scaled Solar_eclipse_of_July_22,_2009.txt 1 474 
visible Solar_eclipse_of_July_22,_2009.txt 3 89 135 491 
semester Solar_eclipse_of_July_22,_2009.txt 2 861 875 
total Solar_eclipse_of_July_22,_2009.txt 8 8 20 86 278 510 780 824 933 
cloud Solar_eclipse_of_July_22,_2009.txt 1 238 
from Solar_eclipse_of_July_22,_2009.txt 8 90 354 365 392 689 785 924 935 
would Solar_eclipse_of_July_22,_2009.txt 1 336 
positive Solar_eclipse_of_July_22,_2009.txt 1 341 
contains Solar_eclipse_of_July_22,_2009.txt 1 895 
negative Solar_eclipse_of_July_22,_2009.txt 1 343 
next Solar_eclipse_of_July_22,_2009.txt 2 687 760 
camera Solar_eclipse_of_July_22,_2009.txt 1 795 
totality Solar_eclipse_of_July_22,_2009.txt 4 133 530 572 977 
6 Solar_eclipse_of_July_22,_2009.txt 6 32 535 588 628 656 852 
until Solar_eclipse_of_July_22,_2009.txt 1 526 
minor Solar_eclipse_of_July_22,_2009.txt 1 840 
1/5 Solar_eclipse_of_July_22,_2009.txt 1 1014 
started Solar_eclipse_of_July_22,_2009.txt 1 900 
apparent Solar_eclipse_of_July_22,_2009.txt 3 478 712 753 
occurred Solar_eclipse_of_July_22,_2009.txt 3 11 746 967 
visibility Solar_eclipse_of_July_22,_2009.txt 1 56 
jiaxing Solar_eclipse_of_July_22,_2009.txt 1 171 
inhabited Solar_eclipse_of_July_22,_2009.txt 1 580 
1991 Solar_eclipse_of_July_22,_2009.txt 1 648 
this Solar_eclipse_of_July_22,_2009.txt 5 272 504 603 690 823 
science Solar_eclipse_of_July_22,_2009.txt 1 261 
eclipse Solar_eclipse_of_July_22,_2009.txt 35 1 10 22 60 87 235 247 273 280 303 324 352 364 406 429 448 464 500 506 512 543 586 604 609 633 644 741 762 790 809 825 904 914 952 966 
yichang Solar_eclipse_of_July_22,_2009.txt 1 162 
of Solar_eclipse_of_July_22,_2009.txt 38 2 31 40 67 73 77 105 117 228 233 243 251 253 264 299 308 314 350 404 425 457 480 555 560 613 636 645 662 704 714 742 763 789 831 863 879 976 1015 
history Solar_eclipse_of_July_22,_2009.txt 1 282 
compare Solar_eclipse_of_July_22,_2009.txt 1 476 
links Solar_eclipse_of_July_22,_2009.txt 1 1031 
india Solar_eclipse_of_July_22,_2009.txt 6 51 79 96 157 306 320 
perigee Solar_eclipse_of_July_22,_2009.txt 2 503 709 
occur Solar_eclipse_of_July_22,_2009.txt 2 514 1001 
chandrayaan-1 Solar_eclipse_of_July_22,_2009.txt 1 798 
provide Solar_eclipse_of_July_22,_2009.txt 1 378 
surpassed Solar_eclipse_of_July_22,_2009.txt 1 523 
brian Solar_eclipse_of_July_22,_2009.txt 1 270 
may Solar_eclipse_of_July_22,_2009.txt 2 274 940 
