partial Solar_eclipse_of_July_31,_2000.txt 2 8 45 
years Solar_eclipse_of_July_31,_2000.txt 2 127 154 
earth Solar_eclipse_of_July_31,_2000.txt 4 25 43 55 65 
subseries Solar_eclipse_of_July_31,_2000.txt 1 146 
regions Solar_eclipse_of_July_31,_2000.txt 1 52 
northern Solar_eclipse_of_July_31,_2000.txt 2 70 74 
4 Solar_eclipse_of_July_31,_2000.txt 1 106 
nodes Solar_eclipse_of_July_31,_2000.txt 1 112 
alternating Solar_eclipse_of_July_31,_2000.txt 1 111 
thereby Solar_eclipse_of_July_31,_2000.txt 1 29 
moons Solar_eclipse_of_July_31,_2000.txt 2 61 115 
every Solar_eclipse_of_July_31,_2000.txt 3 102 125 152 
nearly Solar_eclipse_of_July_31,_2000.txt 1 137 
shadow Solar_eclipse_of_July_31,_2000.txt 1 62 
categories Solar_eclipse_of_July_31,_2000.txt 2 161 163 
northwestern Solar_eclipse_of_July_31,_2000.txt 1 78 
scandinavia Solar_eclipse_of_July_31,_2000.txt 1 73 
edit Solar_eclipse_of_July_31,_2000.txt 6 83 86 90 119 158 160 
notes Solar_eclipse_of_July_31,_2000.txt 1 157 
6939.69 Solar_eclipse_of_July_31,_2000.txt 1 128 
each Solar_eclipse_of_July_31,_2000.txt 1 91 
cycles Solar_eclipse_of_July_31,_2000.txt 1 133 
lasting Solar_eclipse_of_July_31,_2000.txt 1 130 
greenland Solar_eclipse_of_July_31,_2000.txt 1 75 
series Solar_eclipse_of_July_31,_2000.txt 3 96 118 122 
related Solar_eclipse_of_July_31,_2000.txt 1 84 
images Solar_eclipse_of_July_31,_2000.txt 1 82 
calendar Solar_eclipse_of_July_31,_2000.txt 1 140 
3.8 Solar_eclipse_of_July_31,_2000.txt 1 153 
canada Solar_eclipse_of_July_31,_2000.txt 1 77 
for Solar_eclipse_of_July_31,_2000.txt 1 39 
sun Solar_eclipse_of_July_31,_2000.txt 2 28 38 
wikipedia Solar_eclipse_of_July_31,_2000.txt 1 6 
moon Solar_eclipse_of_July_31,_2000.txt 1 22 
misses Solar_eclipse_of_July_31,_2000.txt 1 63 
between Solar_eclipse_of_July_31,_2000.txt 1 24 
occurs Solar_eclipse_of_July_31,_2000.txt 2 19 48 
hours Solar_eclipse_of_July_31,_2000.txt 1 107 
on Solar_eclipse_of_July_31,_2000.txt 2 12 42 
about Solar_eclipse_of_July_31,_2000.txt 1 131 
of Solar_eclipse_of_July_31,_2000.txt 7 2 36 53 59 97 113 149 
31 Solar_eclipse_of_July_31,_2000.txt 2 4 14 
days Solar_eclipse_of_July_31,_2000.txt 3 104 129 156 
repeats Solar_eclipse_of_July_31,_2000.txt 3 100 123 147 
or Solar_eclipse_of_July_31,_2000.txt 2 31 151 
image Solar_eclipse_of_July_31,_2000.txt 1 35 
northeastern Solar_eclipse_of_July_31,_2000.txt 1 72 
visible Solar_eclipse_of_July_31,_2000.txt 1 68 
semester Solar_eclipse_of_July_31,_2000.txt 2 95 109 
references Solar_eclipse_of_July_31,_2000.txt 1 159 
177 Solar_eclipse_of_July_31,_2000.txt 1 103 
passes Solar_eclipse_of_July_31,_2000.txt 1 23 
from Solar_eclipse_of_July_31,_2000.txt 1 69 
addition Solar_eclipse_of_July_31,_2000.txt 1 143 
approximately Solar_eclipse_of_July_31,_2000.txt 1 101 
was Solar_eclipse_of_July_31,_2000.txt 1 67 
1/5 Solar_eclipse_of_July_31,_2000.txt 1 148 
partly Solar_eclipse_of_July_31,_2000.txt 1 32 
that Solar_eclipse_of_July_31,_2000.txt 1 150 
occurred Solar_eclipse_of_July_31,_2000.txt 1 11 
western Solar_eclipse_of_July_31,_2000.txt 1 76 
solar Solar_eclipse_of_July_31,_2000.txt 6 0 9 17 46 87 98 
obscuring Solar_eclipse_of_July_31,_2000.txt 1 33 
july Solar_eclipse_of_July_31,_2000.txt 2 3 13 
hidden Solar_eclipse_of_July_31,_2000.txt 1 162 
19 Solar_eclipse_of_July_31,_2000.txt 1 126 
eclipse Solar_eclipse_of_July_31,_2000.txt 4 1 10 18 47 
1387.94 Solar_eclipse_of_July_31,_2000.txt 1 155 
eclipses Solar_eclipse_of_July_31,_2000.txt 5 85 88 99 124 134 
russia Solar_eclipse_of_July_31,_2000.txt 1 71 
and Solar_eclipse_of_July_31,_2000.txt 2 26 105 
viewer Solar_eclipse_of_July_31,_2000.txt 1 41 
it Solar_eclipse_of_July_31,_2000.txt 1 66 
states Solar_eclipse_of_July_31,_2000.txt 1 80 
at Solar_eclipse_of_July_31,_2000.txt 1 110 
in Solar_eclipse_of_July_31,_2000.txt 4 49 93 136 142 
occur Solar_eclipse_of_July_31,_2000.txt 1 135 
contents Solar_eclipse_of_July_31,_2000.txt 1 81 
united Solar_eclipse_of_July_31,_2000.txt 1 79 
when Solar_eclipse_of_July_31,_2000.txt 2 20 56 
same Solar_eclipse_of_July_31,_2000.txt 1 139 
member Solar_eclipse_of_July_31,_2000.txt 1 92 
5 Solar_eclipse_of_July_31,_2000.txt 1 132 
1997-2000 Solar_eclipse_of_July_31,_2000.txt 1 89 
polar Solar_eclipse_of_July_31,_2000.txt 1 51 
date Solar_eclipse_of_July_31,_2000.txt 1 141 
totally Solar_eclipse_of_July_31,_2000.txt 1 30 
a Solar_eclipse_of_July_31,_2000.txt 6 7 16 40 44 94 108 
center Solar_eclipse_of_July_31,_2000.txt 1 58 
orbit Solar_eclipse_of_July_31,_2000.txt 1 116 
2000 Solar_eclipse_of_July_31,_2000.txt 2 5 15 
metonic Solar_eclipse_of_July_31,_2000.txt 2 117 121 
octon Solar_eclipse_of_July_31,_2000.txt 1 145 
the Solar_eclipse_of_July_31,_2000.txt 13 21 27 34 37 50 54 57 60 64 114 120 138 144 
