6000ad Solar_eclipse_of_July_5,_2168.txt 1 266 
all Solar_eclipse_of_July_5,_2168.txt 1 61 
partial Solar_eclipse_of_July_5,_2168.txt 3 79 152 190 
suns Solar_eclipse_of_July_5,_2168.txt 1 59 
over Solar_eclipse_of_July_5,_2168.txt 1 83 
hybrid Solar_eclipse_of_July_5,_2168.txt 1 161 
years Solar_eclipse_of_July_5,_2168.txt 1 140 
produced Solar_eclipse_of_July_5,_2168.txt 1 243 
through Solar_eclipse_of_July_5,_2168.txt 2 167 178 
earth Solar_eclipse_of_July_5,_2168.txt 2 26 44 
139 Solar_eclipse_of_July_5,_2168.txt 2 127 136 
26 Solar_eclipse_of_July_5,_2168.txt 2 97 180 
20 Solar_eclipse_of_July_5,_2168.txt 1 114 
21 Solar_eclipse_of_July_5,_2168.txt 1 176 
29 Solar_eclipse_of_July_5,_2168.txt 1 250 
blocking Solar_eclipse_of_July_5,_2168.txt 1 60 
8 Solar_eclipse_of_July_5,_2168.txt 1 143 
hidden Solar_eclipse_of_July_5,_2168.txt 1 270 
thousands Solar_eclipse_of_July_5,_2168.txt 1 87 
into Solar_eclipse_of_July_5,_2168.txt 1 66 
1991 Solar_eclipse_of_July_5,_2168.txt 1 230 
march Solar_eclipse_of_July_5,_2168.txt 1 179 
thereby Solar_eclipse_of_July_5,_2168.txt 1 30 
moons Solar_eclipse_of_July_5,_2168.txt 1 52 
every Solar_eclipse_of_July_5,_2168.txt 1 138 
longest Solar_eclipse_of_July_5,_2168.txt 4 103 223 237 259 
day Solar_eclipse_of_July_5,_2168.txt 1 65 
categories Solar_eclipse_of_July_5,_2168.txt 2 269 271 
apart Solar_eclipse_of_July_5,_2168.txt 1 204 
kilometres Solar_eclipse_of_July_5,_2168.txt 1 89 
edit Solar_eclipse_of_July_5,_2168.txt 3 125 128 268 
across Solar_eclipse_of_July_5,_2168.txt 1 74 
1825 Solar_eclipse_of_July_5,_2168.txt 1 170 
repeating Solar_eclipse_of_July_5,_2168.txt 1 137 
lasting Solar_eclipse_of_July_5,_2168.txt 1 91 
computed Solar_eclipse_of_July_5,_2168.txt 1 262 
series Solar_eclipse_of_July_5,_2168.txt 3 135 149 183 
direct Solar_eclipse_of_July_5,_2168.txt 1 62 
related Solar_eclipse_of_July_5,_2168.txt 1 123 
surrounding Solar_eclipse_of_July_5,_2168.txt 1 85 
are Solar_eclipse_of_July_5,_2168.txt 1 201 
duration Solar_eclipse_of_July_5,_2168.txt 1 238 
11th Solar_eclipse_of_July_5,_2168.txt 1 107 
