6000ad Solar_eclipse_of_June_13,_2132.txt 1 267 
all Solar_eclipse_of_June_13,_2132.txt 1 61 
partial Solar_eclipse_of_June_13,_2132.txt 3 79 153 191 
suns Solar_eclipse_of_June_13,_2132.txt 1 59 
over Solar_eclipse_of_June_13,_2132.txt 1 83 
hybrid Solar_eclipse_of_June_13,_2132.txt 1 162 
years Solar_eclipse_of_June_13,_2132.txt 1 141 
produced Solar_eclipse_of_June_13,_2132.txt 1 244 
through Solar_eclipse_of_June_13,_2132.txt 2 168 179 
earth Solar_eclipse_of_June_13,_2132.txt 2 26 44 
139 Solar_eclipse_of_June_13,_2132.txt 2 128 137 
26 Solar_eclipse_of_June_13,_2132.txt 1 181 
21 Solar_eclipse_of_June_13,_2132.txt 1 177 
29 Solar_eclipse_of_June_13,_2132.txt 1 251 
blocking Solar_eclipse_of_June_13,_2132.txt 1 60 
8 Solar_eclipse_of_June_13,_2132.txt 1 144 
hidden Solar_eclipse_of_June_13,_2132.txt 1 274 
thousands Solar_eclipse_of_June_13,_2132.txt 1 87 
into Solar_eclipse_of_June_13,_2132.txt 1 66 
11 Solar_eclipse_of_June_13,_2132.txt 4 115 142 166 230 
march Solar_eclipse_of_June_13,_2132.txt 1 180 
thereby Solar_eclipse_of_June_13,_2132.txt 1 30 
moons Solar_eclipse_of_June_13,_2132.txt 1 52 
every Solar_eclipse_of_June_13,_2132.txt 1 139 
longest Solar_eclipse_of_June_13,_2132.txt 4 106 224 238 260 
day Solar_eclipse_of_June_13,_2132.txt 1 65 
categories Solar_eclipse_of_June_13,_2132.txt 2 273 275 
apart Solar_eclipse_of_June_13,_2132.txt 1 205 
kilometres Solar_eclipse_of_June_13,_2132.txt 1 89 
edit Solar_eclipse_of_June_13,_2132.txt 5 93 126 129 269 272 
53 Solar_eclipse_of_June_13,_2132.txt 1 122 
across Solar_eclipse_of_June_13,_2132.txt 1 74 
55 Solar_eclipse_of_June_13,_2132.txt 2 100 235 
repeating Solar_eclipse_of_June_13,_2132.txt 1 138 
lasting Solar_eclipse_of_June_13,_2132.txt 1 94 
computed Solar_eclipse_of_June_13,_2132.txt 1 263 
series Solar_eclipse_of_June_13,_2132.txt 3 136 150 184 
direct Solar_eclipse_of_June_13,_2132.txt 1 62 
related Solar_eclipse_of_June_13,_2132.txt 1 124 
surrounding Solar_eclipse_of_June_13,_2132.txt 1 85 
are Solar_eclipse_of_June_13,_2132.txt 1 202 
duration Solar_eclipse_of_June_13,_2132.txt 2 92 239 
2601 Solar_eclipse_of_June_13,_2132.txt 1 182 
darkness Solar_eclipse_of_June_13,_2132.txt 1 67 
for Solar_eclipse_of_June_13,_2132.txt 2 40 119 
sun Solar_eclipse_of_June_13,_2132.txt 2 29 39 
