tenskwatawa Solar_eclipse_of_June_16,_1806.txt 2 145 163 
all Solar_eclipse_of_June_16,_1806.txt 1 60 
partial Solar_eclipse_of_June_16,_1806.txt 1 78 
suns Solar_eclipse_of_June_16,_1806.txt 1 58 
over Solar_eclipse_of_June_16,_1806.txt 1 82 
atmosphere Solar_eclipse_of_June_16,_1806.txt 1 211 
outer Solar_eclipse_of_June_16,_1806.txt 1 210 
seen Solar_eclipse_of_June_16,_1806.txt 1 215 
ended Solar_eclipse_of_June_16,_1806.txt 1 102 
during Solar_eclipse_of_June_16,_1806.txt 2 216 242 
earth Solar_eclipse_of_June_16,_1806.txt 2 25 43 
its Solar_eclipse_of_June_16,_1806.txt 1 235 
shawnee Solar_eclipse_of_June_16,_1806.txt 1 117 
had Solar_eclipse_of_June_16,_1806.txt 1 169 
blocking Solar_eclipse_of_June_16,_1806.txt 1 59 
to Solar_eclipse_of_June_16,_1806.txt 6 136 160 179 186 204 227 
only Solar_eclipse_of_June_16,_1806.txt 1 123 
has Solar_eclipse_of_June_16,_1806.txt 1 110 
thousands Solar_eclipse_of_June_16,_1806.txt 1 86 
into Solar_eclipse_of_June_16,_1806.txt 1 65 
hope Solar_eclipse_of_June_16,_1806.txt 1 124 
gave Solar_eclipse_of_June_16,_1806.txt 1 200 
his Solar_eclipse_of_June_16,_1806.txt 1 143 
return Solar_eclipse_of_June_16,_1806.txt 1 159 
thereby Solar_eclipse_of_June_16,_1806.txt 1 29 
moons Solar_eclipse_of_June_16,_1806.txt 2 51 252 
ferrer Solar_eclipse_of_June_16,_1806.txt 2 193 238 
spirit Solar_eclipse_of_June_16,_1806.txt 1 185 
not Solar_eclipse_of_June_16,_1806.txt 1 230 
rejection Solar_eclipse_of_June_16,_1806.txt 1 152 
day Solar_eclipse_of_June_16,_1806.txt 1 64 
categories Solar_eclipse_of_June_16,_1806.txt 1 277 
kilometres Solar_eclipse_of_June_16,_1806.txt 1 88 
name Solar_eclipse_of_June_16,_1806.txt 1 202 
proposes Solar_eclipse_of_June_16,_1806.txt 1 221 
edit Solar_eclipse_of_June_16,_1806.txt 4 108 264 274 276 
notes Solar_eclipse_of_June_16,_1806.txt 1 273 
brother Solar_eclipse_of_June_16,_1806.txt 1 144 
across Solar_eclipse_of_June_16,_1806.txt 2 73 97 
release Solar_eclipse_of_June_16,_1806.txt 1 187 
tribes Solar_eclipse_of_June_16,_1806.txt 1 128 
because Solar_eclipse_of_June_16,_1806.txt 1 233 
england Solar_eclipse_of_June_16,_1806.txt 1 261 
direct Solar_eclipse_of_June_16,_1806.txt 1 61 
related Solar_eclipse_of_June_16,_1806.txt 1 262 
observed Solar_eclipse_of_June_16,_1806.txt 2 194 259 
surrounding Solar_eclipse_of_June_16,_1806.txt 1 84 
jos Solar_eclipse_of_June_16,_1806.txt 1 190 
irregularities Solar_eclipse_of_June_16,_1806.txt 1 249 
darkness Solar_eclipse_of_June_16,_1806.txt 1 66 
for Solar_eclipse_of_June_16,_1806.txt 4 39 125 150 166 
ways Solar_eclipse_of_June_16,_1806.txt 1 156 
sun Solar_eclipse_of_June_16,_1806.txt 5 28 38 189 214 229 
assisted Solar_eclipse_of_June_16,_1806.txt 1 141 
wikipedia Solar_eclipse_of_June_16,_1806.txt 1 6 
moon Solar_eclipse_of_June_16,_1806.txt 2 22 232 
various Solar_eclipse_of_June_16,_1806.txt 1 127 
between Solar_eclipse_of_June_16,_1806.txt 1 24 
new Solar_eclipse_of_June_16,_1806.txt 1 197 
learned Solar_eclipse_of_June_16,_1806.txt 1 170 
occurs Solar_eclipse_of_June_16,_1806.txt 3 19 48 68 
who Solar_eclipse_of_June_16,_1806.txt 1 148 
turning Solar_eclipse_of_June_16,_1806.txt 1 63 
earths Solar_eclipse_of_June_16,_1806.txt 1 74 
lofft Solar_eclipse_of_June_16,_1806.txt 1 258 
were Solar_eclipse_of_June_16,_1806.txt 1 254 
diagonal Solar_eclipse_of_June_16,_1806.txt 1 95 
york Solar_eclipse_of_June_16,_1806.txt 1 198 
path Solar_eclipse_of_June_16,_1806.txt 2 72 96 
by Solar_eclipse_of_June_16,_1806.txt 1 142 
on Solar_eclipse_of_June_16,_1806.txt 2 12 42 
great Solar_eclipse_of_June_16,_1806.txt 2 184 236 
discernible Solar_eclipse_of_June_16,_1806.txt 1 256 
central Solar_eclipse_of_June_16,_1806.txt 1 132 
of Solar_eclipse_of_June_16,_1806.txt 10 2 36 87 153 207 212 234 246 250 269 
region Solar_eclipse_of_June_16,_1806.txt 1 85 
larger Solar_eclipse_of_June_16,_1806.txt 1 55 
tecumsehs Solar_eclipse_of_June_16,_1806.txt 1 113 
must Solar_eclipse_of_June_16,_1806.txt 1 225 
narrow Solar_eclipse_of_June_16,_1806.txt 1 71 
or Solar_eclipse_of_June_16,_1806.txt 1 31 
diameter Solar_eclipse_of_June_16,_1806.txt 1 53 
plainly Solar_eclipse_of_June_16,_1806.txt 1 255 
joaqun Solar_eclipse_of_June_16,_1806.txt 1 191 
image Solar_eclipse_of_June_16,_1806.txt 1 35 
africa Solar_eclipse_of_June_16,_1806.txt 1 105 
visible Solar_eclipse_of_June_16,_1806.txt 2 81 92 
references Solar_eclipse_of_June_16,_1806.txt 1 275 
sunlight Solar_eclipse_of_June_16,_1806.txt 1 62 
total Solar_eclipse_of_June_16,_1806.txt 5 8 45 175 218 244 
size Solar_eclipse_of_June_16,_1806.txt 1 237 
passes Solar_eclipse_of_June_16,_1806.txt 1 23 
from Solar_eclipse_of_June_16,_1806.txt 3 171 195 260 
faint Solar_eclipse_of_June_16,_1806.txt 1 209 
been Solar_eclipse_of_June_16,_1806.txt 1 111 
explorers Solar_eclipse_of_June_16,_1806.txt 1 172 
observations Solar_eclipse_of_June_16,_1806.txt 1 107 
totality Solar_eclipse_of_June_16,_1806.txt 2 67 90 
white Solar_eclipse_of_June_16,_1806.txt 1 155 
was Solar_eclipse_of_June_16,_1806.txt 5 91 135 140 164 178 
partly Solar_eclipse_of_June_16,_1806.txt 1 32 
that Solar_eclipse_of_June_16,_1806.txt 4 121 173 222 241 
apparent Solar_eclipse_of_June_16,_1806.txt 1 52 
occurred Solar_eclipse_of_June_16,_1806.txt 1 11 
part Solar_eclipse_of_June_16,_1806.txt 1 268 
solar Solar_eclipse_of_June_16,_1806.txt 7 0 9 17 46 79 176 270 
obscuring Solar_eclipse_of_June_16,_1806.txt 1 33 
with Solar_eclipse_of_June_16,_1806.txt 1 76 
than Solar_eclipse_of_June_16,_1806.txt 1 56 
he Solar_eclipse_of_June_16,_1806.txt 2 139 220 
wide Solar_eclipse_of_June_16,_1806.txt 1 89 
east Solar_eclipse_of_June_16,_1806.txt 1 130 
join Solar_eclipse_of_June_16,_1806.txt 1 137 
16 Solar_eclipse_of_June_16,_1806.txt 2 4 14 
eclipse Solar_eclipse_of_June_16,_1806.txt 9 1 10 18 47 80 114 177 219 245 
values Solar_eclipse_of_June_16,_1806.txt 1 162 
capel Solar_eclipse_of_June_16,_1806.txt 1 257 
prophet Solar_eclipse_of_June_16,_1806.txt 1 147 
kinderhook Solar_eclipse_of_June_16,_1806.txt 1 196 
eclipses Solar_eclipse_of_June_16,_1806.txt 1 263 
called Solar_eclipse_of_June_16,_1806.txt 2 112 149 
and Solar_eclipse_of_June_16,_1806.txt 6 26 101 131 157 168 199 
ordered Solar_eclipse_of_June_16,_1806.txt 1 182 
viewer Solar_eclipse_of_June_16,_1806.txt 1 41 
is Solar_eclipse_of_June_16,_1806.txt 2 54 266 
it Solar_eclipse_of_June_16,_1806.txt 2 109 265 
surface Solar_eclipse_of_June_16,_1806.txt 2 75 253 
states Solar_eclipse_of_June_16,_1806.txt 2 100 240 
corona Solar_eclipse_of_June_16,_1806.txt 2 203 224 
in Solar_eclipse_of_June_16,_1806.txt 4 69 93 103 129 
ready Solar_eclipse_of_June_16,_1806.txt 1 165 
north Solar_eclipse_of_June_16,_1806.txt 2 104 133 
occur Solar_eclipse_of_June_16,_1806.txt 1 180 
contents Solar_eclipse_of_June_16,_1806.txt 1 106 
united Solar_eclipse_of_June_16,_1806.txt 1 99 
tecumseh Solar_eclipse_of_June_16,_1806.txt 3 119 167 181 
belong Solar_eclipse_of_June_16,_1806.txt 1 226 
when Solar_eclipse_of_June_16,_1806.txt 2 20 49 
also Solar_eclipse_of_June_16,_1806.txt 1 239 
de Solar_eclipse_of_June_16,_1806.txt 1 192 
after Solar_eclipse_of_June_16,_1806.txt 1 115 
june Solar_eclipse_of_June_16,_1806.txt 2 3 13 
saros Solar_eclipse_of_June_16,_1806.txt 1 271 
america Solar_eclipse_of_June_16,_1806.txt 1 134 
totally Solar_eclipse_of_June_16,_1806.txt 1 30 
glow Solar_eclipse_of_June_16,_1806.txt 1 206 
a Solar_eclipse_of_June_16,_1806.txt 13 7 16 40 44 70 83 94 146 151 158 174 217 267 
1806 Solar_eclipse_of_June_16,_1806.txt 3 5 15 247 
realized Solar_eclipse_of_June_16,_1806.txt 1 120 
together Solar_eclipse_of_June_16,_1806.txt 1 138 
traditional Solar_eclipse_of_June_16,_1806.txt 1 161 
chief Solar_eclipse_of_June_16,_1806.txt 1 118 
124 Solar_eclipse_of_June_16,_1806.txt 1 272 
the Solar_eclipse_of_June_16,_1806.txt 24 21 27 34 37 50 57 77 98 116 122 126 154 183 188 201 205 208 213 223 228 231 243 248 251 
