partial Solar_eclipse_of_June_28,_1908.txt 1 81 
gold Solar_eclipse_of_June_28,_1908.txt 1 159 
suns Solar_eclipse_of_June_28,_1908.txt 2 58 63 
over Solar_eclipse_of_June_28,_1908.txt 1 83 
senegal Solar_eclipse_of_June_28,_1908.txt 1 138 
including Solar_eclipse_of_June_28,_1908.txt 1 104 
southwestern Solar_eclipse_of_June_28,_1908.txt 1 142 
earth Solar_eclipse_of_June_28,_1908.txt 3 25 43 88 
volta Solar_eclipse_of_June_28,_1908.txt 1 152 
before Solar_eclipse_of_June_28,_1908.txt 1 165 
northern Solar_eclipse_of_June_28,_1908.txt 1 157 
28 Solar_eclipse_of_June_28,_1908.txt 2 4 14 
blocking Solar_eclipse_of_June_28,_1908.txt 1 59 
to Solar_eclipse_of_June_28,_1908.txt 1 69 
4 Solar_eclipse_of_June_28,_1908.txt 1 190 
nodes Solar_eclipse_of_June_28,_1908.txt 1 196 
thousands Solar_eclipse_of_June_28,_1908.txt 1 89 
ghana Solar_eclipse_of_June_28,_1908.txt 1 162 
around Solar_eclipse_of_June_28,_1908.txt 1 110 
thereby Solar_eclipse_of_June_28,_1908.txt 1 29 
mauritania Solar_eclipse_of_June_28,_1908.txt 1 133 
moons Solar_eclipse_of_June_28,_1908.txt 2 51 199 
coast Solar_eclipse_of_June_28,_1908.txt 1 160 
every Solar_eclipse_of_June_28,_1908.txt 1 186 
now Solar_eclipse_of_June_28,_1908.txt 3 145 153 161 
categories Solar_eclipse_of_June_28,_1908.txt 2 205 207 
kilometres Solar_eclipse_of_June_28,_1908.txt 1 91 
like Solar_eclipse_of_June_28,_1908.txt 1 71 
edit Solar_eclipse_of_June_28,_1908.txt 4 170 174 202 204 
notes Solar_eclipse_of_June_28,_1908.txt 1 201 
orlando Solar_eclipse_of_June_28,_1908.txt 1 114 
morning Solar_eclipse_of_June_28,_1908.txt 1 126 
each Solar_eclipse_of_June_28,_1908.txt 1 175 
upper Solar_eclipse_of_June_28,_1908.txt 1 151 
smaller Solar_eclipse_of_June_28,_1908.txt 1 55 
series Solar_eclipse_of_June_28,_1908.txt 1 180 
related Solar_eclipse_of_June_28,_1908.txt 1 168 
for Solar_eclipse_of_June_28,_1908.txt 1 39 
sudan Solar_eclipse_of_June_28,_1908.txt 1 144 
sun Solar_eclipse_of_June_28,_1908.txt 3 28 38 68 
wikipedia Solar_eclipse_of_June_28,_1908.txt 1 6 
moon Solar_eclipse_of_June_28,_1908.txt 1 22 
between Solar_eclipse_of_June_28,_1908.txt 1 24 
occurs Solar_eclipse_of_June_28,_1908.txt 2 19 48 
city Solar_eclipse_of_June_28,_1908.txt 1 112 
annular Solar_eclipse_of_June_28,_1908.txt 4 8 45 76 96 
french Solar_eclipse_of_June_28,_1908.txt 1 143 
hours Solar_eclipse_of_June_28,_1908.txt 2 127 191 
appears Solar_eclipse_of_June_28,_1908.txt 1 78 
