and Solar_eclipse_of_June_30,_1935.txt 2 26 88 
partial Solar_eclipse_of_June_30,_1935.txt 2 8 45 
1935 Solar_eclipse_of_June_30,_1935.txt 2 5 15 
links Solar_eclipse_of_June_30,_1935.txt 1 143 
viewer Solar_eclipse_of_June_30,_1935.txt 1 41 
wikipedia Solar_eclipse_of_June_30,_1935.txt 1 6 
image Solar_eclipse_of_June_30,_1935.txt 1 35 
related Solar_eclipse_of_June_30,_1935.txt 1 67 
orbit Solar_eclipse_of_June_30,_1935.txt 1 99 
hidden Solar_eclipse_of_June_30,_1935.txt 1 146 
semester Solar_eclipse_of_June_30,_1935.txt 2 78 92 
member Solar_eclipse_of_June_30,_1935.txt 1 75 
references Solar_eclipse_of_June_30,_1935.txt 1 140 
1935-1938 Solar_eclipse_of_June_30,_1935.txt 1 72 
in Solar_eclipse_of_June_30,_1935.txt 4 49 76 119 125 
177 Solar_eclipse_of_June_30,_1935.txt 1 86 
earth Solar_eclipse_of_June_30,_1935.txt 4 25 43 55 65 
calendar Solar_eclipse_of_June_30,_1935.txt 1 123 
occur Solar_eclipse_of_June_30,_1935.txt 1 118 
contents Solar_eclipse_of_June_30,_1935.txt 1 66 
addition Solar_eclipse_of_June_30,_1935.txt 1 126 
lasting Solar_eclipse_of_June_30,_1935.txt 1 113 
passes Solar_eclipse_of_June_30,_1935.txt 1 23 
for Solar_eclipse_of_June_30,_1935.txt 1 39 
series Solar_eclipse_of_June_30,_1935.txt 3 79 101 105 
sun Solar_eclipse_of_June_30,_1935.txt 2 28 38 
when Solar_eclipse_of_June_30,_1935.txt 2 20 56 
approximately Solar_eclipse_of_June_30,_1935.txt 1 84 
moon Solar_eclipse_of_June_30,_1935.txt 1 22 
regions Solar_eclipse_of_June_30,_1935.txt 1 52 
misses Solar_eclipse_of_June_30,_1935.txt 1 63 
1387.94 Solar_eclipse_of_June_30,_1935.txt 1 138 
5 Solar_eclipse_of_June_30,_1935.txt 1 115 
4 Solar_eclipse_of_June_30,_1935.txt 1 89 
between Solar_eclipse_of_June_30,_1935.txt 1 24 
nodes Solar_eclipse_of_June_30,_1935.txt 1 95 
occurs Solar_eclipse_of_June_30,_1935.txt 2 19 48 
3.8 Solar_eclipse_of_June_30,_1935.txt 1 136 
alternating Solar_eclipse_of_June_30,_1935.txt 1 94 
polar Solar_eclipse_of_June_30,_1935.txt 1 51 
1/5 Solar_eclipse_of_June_30,_1935.txt 1 131 
partly Solar_eclipse_of_June_30,_1935.txt 1 32 
thereby Solar_eclipse_of_June_30,_1935.txt 1 29 
that Solar_eclipse_of_June_30,_1935.txt 1 133 
moons Solar_eclipse_of_June_30,_1935.txt 2 61 98 
june Solar_eclipse_of_June_30,_1935.txt 2 3 13 
occurred Solar_eclipse_of_June_30,_1935.txt 1 11 
hours Solar_eclipse_of_June_30,_1935.txt 1 90 
every Solar_eclipse_of_June_30,_1935.txt 3 85 108 135 
nearly Solar_eclipse_of_June_30,_1935.txt 1 120 
solar Solar_eclipse_of_June_30,_1935.txt 6 0 9 17 46 70 81 
same Solar_eclipse_of_June_30,_1935.txt 1 122 
date Solar_eclipse_of_June_30,_1935.txt 1 124 
obscuring Solar_eclipse_of_June_30,_1935.txt 1 33 
shadow Solar_eclipse_of_June_30,_1935.txt 1 62 
years Solar_eclipse_of_June_30,_1935.txt 2 110 137 
totally Solar_eclipse_of_June_30,_1935.txt 1 30 
eclipses Solar_eclipse_of_June_30,_1935.txt 5 68 71 82 107 117 
categories Solar_eclipse_of_June_30,_1935.txt 2 145 147 
a Solar_eclipse_of_June_30,_1935.txt 6 7 16 40 44 77 91 
on Solar_eclipse_of_June_30,_1935.txt 2 12 42 
about Solar_eclipse_of_June_30,_1935.txt 1 114 
cycles Solar_eclipse_of_June_30,_1935.txt 1 116 
center Solar_eclipse_of_June_30,_1935.txt 1 58 
external Solar_eclipse_of_June_30,_1935.txt 1 142 
edit Solar_eclipse_of_June_30,_1935.txt 5 69 73 102 141 144 
of Solar_eclipse_of_June_30,_1935.txt 7 2 36 53 59 80 96 132 
30 Solar_eclipse_of_June_30,_1935.txt 2 4 14 
eclipse Solar_eclipse_of_June_30,_1935.txt 4 1 10 18 47 
days Solar_eclipse_of_June_30,_1935.txt 3 87 112 139 
subseries Solar_eclipse_of_June_30,_1935.txt 1 129 
19 Solar_eclipse_of_June_30,_1935.txt 1 109 
6939.69 Solar_eclipse_of_June_30,_1935.txt 1 111 
metonic Solar_eclipse_of_June_30,_1935.txt 2 100 104 
each Solar_eclipse_of_June_30,_1935.txt 1 74 
octon Solar_eclipse_of_June_30,_1935.txt 1 128 
the Solar_eclipse_of_June_30,_1935.txt 13 21 27 34 37 50 54 57 60 64 97 103 121 127 
repeats Solar_eclipse_of_June_30,_1935.txt 3 83 106 130 
or Solar_eclipse_of_June_30,_1935.txt 2 31 134 
at Solar_eclipse_of_June_30,_1935.txt 1 93 
