all Solar_eclipse_of_June_30,_1954.txt 1 60 
partial Solar_eclipse_of_June_30,_1954.txt 4 78 214 256 306 
1953-1956 Solar_eclipse_of_June_30,_1954.txt 1 185 
pakistan Solar_eclipse_of_June_30,_1954.txt 1 135 
suns Solar_eclipse_of_June_30,_1954.txt 1 58 
over Solar_eclipse_of_June_30,_1954.txt 4 82 97 101 132 
ending Solar_eclipse_of_June_30,_1954.txt 1 137 
ended Solar_eclipse_of_June_30,_1954.txt 1 129 
through Solar_eclipse_of_June_30,_1954.txt 3 271 282 294 
southwestern Solar_eclipse_of_June_30,_1954.txt 2 142 150 
dakota Solar_eclipse_of_June_30,_1954.txt 1 104 
earth Solar_eclipse_of_June_30,_1954.txt 2 25 43 
before Solar_eclipse_of_June_30,_1954.txt 1 130 
subseries Solar_eclipse_of_June_30,_1954.txt 1 375 
note Solar_eclipse_of_June_30,_1954.txt 1 213 
22 Solar_eclipse_of_June_30,_1954.txt 1 330 
23 Solar_eclipse_of_June_30,_1954.txt 1 296 
minnesota Solar_eclipse_of_June_30,_1954.txt 1 105 
blocking Solar_eclipse_of_June_30,_1954.txt 1 59 
to Solar_eclipse_of_June_30,_1954.txt 1 226 
4 Solar_eclipse_of_June_30,_1954.txt 3 202 269 273 
covered Solar_eclipse_of_June_30,_1954.txt 1 155 
nodes Solar_eclipse_of_June_30,_1954.txt 1 208 
thousands Solar_eclipse_of_June_30,_1954.txt 1 86 
into Solar_eclipse_of_June_30,_1954.txt 3 65 110 120 
alternating Solar_eclipse_of_June_30,_1954.txt 1 207 
then Solar_eclipse_of_June_30,_1954.txt 1 119 
1972 Solar_eclipse_of_June_30,_1954.txt 1 345 
march Solar_eclipse_of_June_30,_1954.txt 1 260 
thereby Solar_eclipse_of_June_30,_1954.txt 1 29 
northwestern Solar_eclipse_of_June_30,_1954.txt 1 139 
moons Solar_eclipse_of_June_30,_1954.txt 2 51 211 
1954 Solar_eclipse_of_June_30,_1954.txt 2 5 15 
every Solar_eclipse_of_June_30,_1954.txt 4 198 244 354 381 
longest Solar_eclipse_of_June_30,_1954.txt 2 313 333 
1953 Solar_eclipse_of_June_30,_1954.txt 2 220 224 
years Solar_eclipse_of_June_30,_1954.txt 3 246 356 383 
day Solar_eclipse_of_June_30,_1954.txt 1 64 
categories Solar_eclipse_of_June_30,_1954.txt 2 393 395 
kilometres Solar_eclipse_of_June_30,_1954.txt 1 88 
february Solar_eclipse_of_June_30,_1954.txt 1 218 
1828 Solar_eclipse_of_June_30,_1954.txt 1 281 
lies Solar_eclipse_of_June_30,_1954.txt 1 173 
edit Solar_eclipse_of_June_30,_1954.txt 8 92 181 186 234 348 388 390 392 
notes Solar_eclipse_of_June_30,_1954.txt 1 389 
across Solar_eclipse_of_June_30,_1954.txt 3 73 112 122 
6939.69 Solar_eclipse_of_June_30,_1954.txt 1 357 
each Solar_eclipse_of_June_30,_1954.txt 1 187 
repeating Solar_eclipse_of_June_30,_1954.txt 1 243 
cycles Solar_eclipse_of_June_30,_1954.txt 1 362 
lasting Solar_eclipse_of_June_30,_1954.txt 1 359 
1323 Solar_eclipse_of_June_30,_1954.txt 1 270 
greenland Solar_eclipse_of_June_30,_1954.txt 1 114 
iran Solar_eclipse_of_June_30,_1954.txt 1 133 
series Solar_eclipse_of_June_30,_1954.txt 5 192 253 299 347 351 
faroe Solar_eclipse_of_June_30,_1954.txt 1 117 
baku Solar_eclipse_of_June_30,_1954.txt 1 153 
direct Solar_eclipse_of_June_30,_1954.txt 1 61 
related Solar_eclipse_of_June_30,_1954.txt 1 179 
surrounding Solar_eclipse_of_June_30,_1954.txt 1 84 
see Solar_eclipse_of_June_30,_1954.txt 1 386 
1593 Solar_eclipse_of_June_30,_1954.txt 1 331 
year Solar_eclipse_of_June_30,_1954.txt 1 230 
duration Solar_eclipse_of_June_30,_1954.txt 2 314 334 
