bending Solar_eclipse_of_June_8,_1918.txt 1 484 
expert Solar_eclipse_of_June_8,_1918.txt 1 293 
todays Solar_eclipse_of_June_8,_1918.txt 1 108 
object Solar_eclipse_of_June_8,_1918.txt 1 469 
suns Solar_eclipse_of_June_8,_1918.txt 1 41 
over Solar_eclipse_of_June_8,_1918.txt 2 212 564 
112.1 Solar_eclipse_of_June_8,_1918.txt 1 324 
rest Solar_eclipse_of_June_8,_1918.txt 1 207 
seen Solar_eclipse_of_June_8,_1918.txt 1 550 
through Solar_eclipse_of_June_8,_1918.txt 1 205 
4 Solar_eclipse_of_June_8,_1918.txt 1 613 
using Solar_eclipse_of_June_8,_1918.txt 1 340 
japan Solar_eclipse_of_June_8,_1918.txt 1 77 
each Solar_eclipse_of_June_8,_1918.txt 1 598 
its Solar_eclipse_of_June_8,_1918.txt 1 292 
before Solar_eclipse_of_June_8,_1918.txt 2 247 307 
position Solar_eclipse_of_June_8,_1918.txt 1 491 
but Solar_eclipse_of_June_8,_1918.txt 1 397 
northern Solar_eclipse_of_June_8,_1918.txt 1 84 
kitadait Solar_eclipse_of_June_8,_1918.txt 1 87 
wyoming Solar_eclipse_of_June_8,_1918.txt 1 376 
had Solar_eclipse_of_June_8,_1918.txt 2 240 343 
29 Solar_eclipse_of_June_8,_1918.txt 1 522 
denver Solar_eclipse_of_June_8,_1918.txt 1 120 
to Solar_eclipse_of_June_8,_1918.txt 5 116 230 256 314 478 
other Solar_eclipse_of_June_8,_1918.txt 3 530 568 626 
location Solar_eclipse_of_June_8,_1918.txt 1 263 
clipped Solar_eclipse_of_June_8,_1918.txt 1 194 
8 Solar_eclipse_of_June_8,_1918.txt 3 4 14 112 
nodes Solar_eclipse_of_June_8,_1918.txt 1 619 
has Solar_eclipse_of_June_8,_1918.txt 1 581 
tori-shima Solar_eclipse_of_June_8,_1918.txt 1 92 
jakob Solar_eclipse_of_June_8,_1918.txt 1 351 
then Solar_eclipse_of_June_8,_1918.txt 2 100 198 
university Solar_eclipse_of_June_8,_1918.txt 1 355 
3 Solar_eclipse_of_June_8,_1918.txt 1 563 
prevented Solar_eclipse_of_June_8,_1918.txt 1 39 
photography Solar_eclipse_of_June_8,_1918.txt 1 310 
samuel Solar_eclipse_of_June_8,_1918.txt 1 288 
band Solar_eclipse_of_June_8,_1918.txt 1 56 
made Solar_eclipse_of_June_8,_1918.txt 1 359 
photoelectric Solar_eclipse_of_June_8,_1918.txt 1 362 
longest Solar_eclipse_of_June_8,_1918.txt 1 150 
not Solar_eclipse_of_June_8,_1918.txt 1 421 
during Solar_eclipse_of_June_8,_1918.txt 4 282 398 501 541 
shadow Solar_eclipse_of_June_8,_1918.txt 2 132 544 
categories Solar_eclipse_of_June_8,_1918.txt 2 629 631 
entire Solar_eclipse_of_June_8,_1918.txt 1 59 
clouds Solar_eclipse_of_June_8,_1918.txt 2 389 394 
artist Solar_eclipse_of_June_8,_1918.txt 1 301 
edit Solar_eclipse_of_June_8,_1918.txt 7 66 183 378 526 597 625 628 
fully Solar_eclipse_of_June_8,_1918.txt 1 589 
notes Solar_eclipse_of_June_8,_1918.txt 2 336 624 
cloudy Solar_eclipse_of_June_8,_1918.txt 1 424 
occurs Solar_eclipse_of_June_8,_1918.txt 1 577 
skills Solar_eclipse_of_June_8,_1918.txt 1 341 
miles Solar_eclipse_of_June_8,_1918.txt 1 138 
team Solar_eclipse_of_June_8,_1918.txt 6 25 182 229 239 286 386 
did Solar_eclipse_of_June_8,_1918.txt 1 395 
went Solar_eclipse_of_June_8,_1918.txt 1 78 
where Solar_eclipse_of_June_8,_1918.txt 1 431 
noted Solar_eclipse_of_June_8,_1918.txt 1 327 
two Solar_eclipse_of_June_8,_1918.txt 1 529 
view Solar_eclipse_of_June_8,_1918.txt 1 185 
smaller Solar_eclipse_of_June_8,_1918.txt 1 583 
series Solar_eclipse_of_June_8,_1918.txt 1 603 
contiguous Solar_eclipse_of_June_8,_1918.txt 1 60 
deflected Solar_eclipse_of_June_8,_1918.txt 1 463 
prediction Solar_eclipse_of_June_8,_1918.txt 2 450 481 
pacific Solar_eclipse_of_June_8,_1918.txt 2 81 157 
observed Solar_eclipse_of_June_8,_1918.txt 2 19 436 
yerkes Solar_eclipse_of_June_8,_1918.txt 1 439 
see Solar_eclipse_of_June_8,_1918.txt 2 117 125 
113 Solar_eclipse_of_June_8,_1918.txt 1 139 
year Solar_eclipse_of_June_8,_1918.txt 2 246 533 
duration Solar_eclipse_of_June_8,_1918.txt 2 151 276 
11th Solar_eclipse_of_June_8,_1918.txt 1 261 
special Solar_eclipse_of_June_8,_1918.txt 1 221 
obscures Solar_eclipse_of_June_8,_1918.txt 1 590 
for Solar_eclipse_of_June_8,_1918.txt 4 227 323 345 383 
sun Solar_eclipse_of_June_8,_1918.txt 8 281 392 404 412 473 487 496 592 
since Solar_eclipse_of_June_8,_1918.txt 1 244 
wikipedia Solar_eclipse_of_June_8,_1918.txt 1 6 
near Solar_eclipse_of_June_8,_1918.txt 4 170 373 466 494 
moon Solar_eclipse_of_June_8,_1918.txt 3 38 553 580 
colours Solar_eclipse_of_June_8,_1918.txt 1 339 
may Solar_eclipse_of_June_8,_1918.txt 1 521 
state Solar_eclipse_of_June_8,_1918.txt 1 196 
izu Solar_eclipse_of_June_8,_1918.txt 1 94 
between Solar_eclipse_of_June_8,_1918.txt 1 134 
learned Solar_eclipse_of_June_8,_1918.txt 1 344 
conditions Solar_eclipse_of_June_8,_1918.txt 1 425 
across Solar_eclipse_of_June_8,_1918.txt 7 57 79 101 143 147 200 428 
shows Solar_eclipse_of_June_8,_1918.txt 1 34 
measuring Solar_eclipse_of_June_8,_1918.txt 1 489 
be Solar_eclipse_of_June_8,_1918.txt 2 462 549 
after Solar_eclipse_of_June_8,_1918.txt 1 320 
led Solar_eclipse_of_June_8,_1918.txt 1 252 
theory Solar_eclipse_of_June_8,_1918.txt 1 456 
seconds Solar_eclipse_of_June_8,_1918.txt 1 325 
stars Solar_eclipse_of_June_8,_1918.txt 2 493 506 
rock Solar_eclipse_of_June_8,_1918.txt 1 374 
annular Solar_eclipse_of_June_8,_1918.txt 1 574 
physicist Solar_eclipse_of_June_8,_1918.txt 1 303 
okinawa Solar_eclipse_of_June_8,_1918.txt 1 88 
hours Solar_eclipse_of_June_8,_1918.txt 1 614 
reported Solar_eclipse_of_June_8,_1918.txt 1 427 
completely Solar_eclipse_of_June_8,_1918.txt 1 414 
test Solar_eclipse_of_June_8,_1918.txt 1 509 
although Solar_eclipse_of_June_8,_1918.txt 1 121 
path Solar_eclipse_of_June_8,_1918.txt 5 65 68 70 165 193 
therefore Solar_eclipse_of_June_8,_1918.txt 1 587 
obscured Solar_eclipse_of_June_8,_1918.txt 2 390 503 
observing Solar_eclipse_of_June_8,_1918.txt 2 321 371 
by Solar_eclipse_of_June_8,_1918.txt 5 20 176 407 485 488 
obtained Solar_eclipse_of_June_8,_1918.txt 1 219 
on Solar_eclipse_of_June_8,_1918.txt 7 12 96 110 259 294 551 561 
c Solar_eclipse_of_June_8,_1918.txt 1 250 
days Solar_eclipse_of_June_8,_1918.txt 1 611 
naval Solar_eclipse_of_June_8,_1918.txt 2 23 216 
kunz Solar_eclipse_of_June_8,_1918.txt 1 352 
many Solar_eclipse_of_June_8,_1918.txt 1 122 
could Solar_eclipse_of_June_8,_1918.txt 1 123 
visible Solar_eclipse_of_June_8,_1918.txt 1 415 
florida Solar_eclipse_of_June_8,_1918.txt 1 213 
united Solar_eclipse_of_June_8,_1918.txt 2 61 103 
british Solar_eclipse_of_June_8,_1918.txt 1 106 
exiting Solar_eclipse_of_June_8,_1918.txt 1 211 
april Solar_eclipse_of_June_8,_1918.txt 1 260 
s Solar_eclipse_of_June_8,_1918.txt 1 454 
important Solar_eclipse_of_June_8,_1918.txt 2 265 401 
place Solar_eclipse_of_June_8,_1918.txt 1 560 
massive Solar_eclipse_of_June_8,_1918.txt 1 468 
islands Solar_eclipse_of_June_8,_1918.txt 1 95 
passing Solar_eclipse_of_June_8,_1918.txt 2 83 465 
repeats Solar_eclipse_of_June_8,_1918.txt 1 607 
whole Solar_eclipse_of_June_8,_1918.txt 2 91 202 
south Solar_eclipse_of_June_8,_1918.txt 3 75 161 565 
bahamas Solar_eclipse_of_June_8,_1918.txt 2 107 109 
diameter Solar_eclipse_of_June_8,_1918.txt 1 585 
moons Solar_eclipse_of_June_8,_1918.txt 1 622 
relativity Solar_eclipse_of_June_8,_1918.txt 2 458 515 
members Solar_eclipse_of_June_8,_1918.txt 1 255 
probability Solar_eclipse_of_June_8,_1918.txt 1 270 
point Solar_eclipse_of_June_8,_1918.txt 1 160 
photometric Solar_eclipse_of_June_8,_1918.txt 1 363 
washington Solar_eclipse_of_June_8,_1918.txt 1 195 
traveled Solar_eclipse_of_June_8,_1918.txt 1 146 
clear Solar_eclipse_of_June_8,_1918.txt 1 396 
semester Solar_eclipse_of_June_8,_1918.txt 2 602 616 
stebbins Solar_eclipse_of_June_8,_1918.txt 1 349 
another Solar_eclipse_of_June_8,_1918.txt 1 555 
einstein Solar_eclipse_of_June_8,_1918.txt 1 453 
approximately Solar_eclipse_of_June_8,_1918.txt 1 608 
springs Solar_eclipse_of_June_8,_1918.txt 1 375 
total Solar_eclipse_of_June_8,_1918.txt 1 8 
177 Solar_eclipse_of_June_8,_1918.txt 1 610 
theoretically Solar_eclipse_of_June_8,_1918.txt 1 124 
size Solar_eclipse_of_June_8,_1918.txt 1 129 
city Solar_eclipse_of_June_8,_1918.txt 5 28 115 188 236 258 
unusual Solar_eclipse_of_June_8,_1918.txt 1 422 
from Solar_eclipse_of_June_8,_1918.txt 5 43 225 353 369 437 
russell Solar_eclipse_of_June_8,_1918.txt 2 178 298 
would Solar_eclipse_of_June_8,_1918.txt 1 461 
howard Solar_eclipse_of_June_8,_1918.txt 2 177 297 
lunar Solar_eclipse_of_June_8,_1918.txt 1 539 
there Solar_eclipse_of_June_8,_1918.txt 1 527 
system Solar_eclipse_of_June_8,_1918.txt 1 333 
been Solar_eclipse_of_June_8,_1918.txt 1 241 
hitting Solar_eclipse_of_June_8,_1918.txt 1 44 
paint Solar_eclipse_of_June_8,_1918.txt 1 315 
however Solar_eclipse_of_June_8,_1918.txt 2 497 571 
joel Solar_eclipse_of_June_8,_1918.txt 1 348 
totality Solar_eclipse_of_June_8,_1918.txt 6 35 118 153 319 384 502 
december Solar_eclipse_of_June_8,_1918.txt 1 562 
butler Solar_eclipse_of_June_8,_1918.txt 2 179 299 
corona Solar_eclipse_of_June_8,_1918.txt 1 368 
john Solar_eclipse_of_June_8,_1918.txt 1 249 
was Solar_eclipse_of_June_8,_1918.txt 13 18 54 119 133 154 264 313 405 413 420 434 536 572 
until Solar_eclipse_of_June_8,_1918.txt 1 516 
partial Solar_eclipse_of_June_8,_1918.txt 1 538 
observations Solar_eclipse_of_June_8,_1918.txt 3 364 402 504 
general Solar_eclipse_of_June_8,_1918.txt 2 455 514 
alfred Solar_eclipse_of_June_8,_1918.txt 1 289 
that Solar_eclipse_of_June_8,_1918.txt 5 45 329 459 532 558 
started Solar_eclipse_of_June_8,_1918.txt 1 74 
attempted Solar_eclipse_of_June_8,_1918.txt 1 477 
apparent Solar_eclipse_of_June_8,_1918.txt 1 584 
albert Solar_eclipse_of_June_8,_1918.txt 1 452 
occurred Solar_eclipse_of_June_8,_1918.txt 1 11 
oregon Solar_eclipse_of_June_8,_1918.txt 5 30 48 189 204 237 
site Solar_eclipse_of_June_8,_1918.txt 1 372 
1919 Solar_eclipse_of_June_8,_1918.txt 1 523 
1918 Solar_eclipse_of_June_8,_1918.txt 4 5 15 172 191 
