gw Solar_eclipse_of_March_20,_2015.txt 2 350 371 
all Solar_eclipse_of_March_20,_2015.txt 3 60 256 632 
partial Solar_eclipse_of_March_20,_2015.txt 6 78 265 312 630 741 792 
suns Solar_eclipse_of_March_20,_2015.txt 1 58 
global Solar_eclipse_of_March_20,_2015.txt 1 612 
month Solar_eclipse_of_March_20,_2015.txt 2 562 567 
airliners Solar_eclipse_of_March_20,_2015.txt 1 286 
winds Solar_eclipse_of_March_20,_2015.txt 1 441 
religious Solar_eclipse_of_March_20,_2015.txt 2 518 599 
electricity Solar_eclipse_of_March_20,_2015.txt 1 398 
to Solar_eclipse_of_March_20,_2015.txt 7 224 348 377 402 453 602 605 
nodes Solar_eclipse_of_March_20,_2015.txt 1 712 
alternating Solar_eclipse_of_March_20,_2015.txt 1 711 
frequencies Solar_eclipse_of_March_20,_2015.txt 1 303 
oceans Solar_eclipse_of_March_20,_2015.txt 1 196 
every Solar_eclipse_of_March_20,_2015.txt 4 702 729 820 847 
categories Solar_eclipse_of_March_20,_2015.txt 2 859 861 
clouds Solar_eclipse_of_March_20,_2015.txt 1 290 
prolonged Solar_eclipse_of_March_20,_2015.txt 1 295 
20152018 Solar_eclipse_of_March_20,_2015.txt 1 689 
dip Solar_eclipse_of_March_20,_2015.txt 1 363 
direct Solar_eclipse_of_March_20,_2015.txt 1 61 
surrounding Solar_eclipse_of_March_20,_2015.txt 1 84 
hungary Solar_eclipse_of_March_20,_2015.txt 1 649 
darkness Solar_eclipse_of_March_20,_2015.txt 1 66 
giving Solar_eclipse_of_March_20,_2015.txt 1 291 
sun Solar_eclipse_of_March_20,_2015.txt 3 28 38 511 
while Solar_eclipse_of_March_20,_2015.txt 1 268 
asia Solar_eclipse_of_March_20,_2015.txt 1 683 
above Solar_eclipse_of_March_20,_2015.txt 1 288 
new Solar_eclipse_of_March_20,_2015.txt 1 503 
1546 Solar_eclipse_of_March_20,_2015.txt 1 772 
hours Solar_eclipse_of_March_20,_2015.txt 1 707 
path Solar_eclipse_of_March_20,_2015.txt 2 72 575 
vernal Solar_eclipse_of_March_20,_2015.txt 1 473 
change Solar_eclipse_of_March_20,_2015.txt 1 409 
ukraine Solar_eclipse_of_March_20,_2015.txt 1 657 
passengers Solar_eclipse_of_March_20,_2015.txt 1 292 
great Solar_eclipse_of_March_20,_2015.txt 1 594 
gigawatts Solar_eclipse_of_March_20,_2015.txt 1 338 
larger Solar_eclipse_of_March_20,_2015.txt 1 55 
oblast Solar_eclipse_of_March_20,_2015.txt 1 209 
through Solar_eclipse_of_March_20,_2015.txt 2 769 780 
34 Solar_eclipse_of_March_20,_2015.txt 1 349 
bob Solar_eclipse_of_March_20,_2015.txt 1 534 
narrow Solar_eclipse_of_March_20,_2015.txt 1 71 
diameter Solar_eclipse_of_March_20,_2015.txt 1 53 
followed Solar_eclipse_of_March_20,_2015.txt 1 670 
08:30gmt Solar_eclipse_of_March_20,_2015.txt 1 171 
highly Solar_eclipse_of_March_20,_2015.txt 1 586 
visible Solar_eclipse_of_March_20,_2015.txt 7 81 122 189 252 517 627 675 
semester Solar_eclipse_of_March_20,_2015.txt 2 695 709 
decrease Solar_eclipse_of_March_20,_2015.txt 2 431 439 
total Solar_eclipse_of_March_20,_2015.txt 6 8 45 119 578 667 774 
sky Solar_eclipse_of_March_20,_2015.txt 1 359 
from Solar_eclipse_of_March_20,_2015.txt 4 150 190 509 776 
france Solar_eclipse_of_March_20,_2015.txt 1 644 
totality Solar_eclipse_of_March_20,_2015.txt 5 67 100 135 153 802 
until Solar_eclipse_of_March_20,_2015.txt 1 125 
1/5 Solar_eclipse_of_March_20,_2015.txt 1 843 
biblical Solar_eclipse_of_March_20,_2015.txt 2 552 570 
started Solar_eclipse_of_March_20,_2015.txt 1 739 
odell Solar_eclipse_of_March_20,_2015.txt 2 535 603 
occurred Solar_eclipse_of_March_20,_2015.txt 1 11 
visibility Solar_eclipse_of_March_20,_2015.txt 1 622 
1.045 Solar_eclipse_of_March_20,_2015.txt 1 95 
varying Solar_eclipse_of_March_20,_2015.txt 1 254 
known Solar_eclipse_of_March_20,_2015.txt 1 468 
90 Solar_eclipse_of_March_20,_2015.txt 1 337 
prophecy Solar_eclipse_of_March_20,_2015.txt 2 525 531 
blocking Solar_eclipse_of_March_20,_2015.txt 1 59 
1997 Solar_eclipse_of_March_20,_2015.txt 1 811 
this Solar_eclipse_of_March_20,_2015.txt 1 380 
supermoons Solar_eclipse_of_March_20,_2015.txt 1 482 
eclipse Solar_eclipse_of_March_20,_2015.txt 24 1 10 18 47 80 121 127 168 250 267 283 298 313 317 387 455 579 610 621 631 669 743 753 793 
example Solar_eclipse_of_March_20,_2015.txt 1 260 
links Solar_eclipse_of_March_20,_2015.txt 1 857 
in Solar_eclipse_of_March_20,_2015.txt 18 69 123 172 183 253 275 360 373 410 420 451 475 479 568 615 693 831 837 
organized Solar_eclipse_of_March_20,_2015.txt 1 618 
0.7 Solar_eclipse_of_March_20,_2015.txt 1 445 
northernmost Solar_eclipse_of_March_20,_2015.txt 1 242 
occur Solar_eclipse_of_March_20,_2015.txt 1 830 
united Solar_eclipse_of_March_20,_2015.txt 3 201 232 640 
1059 Solar_eclipse_of_March_20,_2015.txt 1 757 
six Solar_eclipse_of_March_20,_2015.txt 1 481 
significance Solar_eclipse_of_March_20,_2015.txt 3 519 596 607 
actuality Solar_eclipse_of_March_20,_2015.txt 1 361 
may Solar_eclipse_of_March_20,_2015.txt 7 412 425 430 438 745 766 770 
saros Solar_eclipse_of_March_20,_2015.txt 2 717 725 
date Solar_eclipse_of_March_20,_2015.txt 1 836 
such Solar_eclipse_of_March_20,_2015.txt 1 532 
a Solar_eclipse_of_March_20,_2015.txt 25 7 16 40 44 70 77 83 92 280 293 311 331 369 389 502 545 585 611 629 666 694 708 722 760 791 
natural Solar_eclipse_of_March_20,_2015.txt 1 595 
third Solar_eclipse_of_March_20,_2015.txt 1 495 
metonic Solar_eclipse_of_March_20,_2015.txt 2 812 816 
octon Solar_eclipse_of_March_20,_2015.txt 1 840 
wind Solar_eclipse_of_March_20,_2015.txt 1 436 
nearly Solar_eclipse_of_March_20,_2015.txt 1 832 
over Solar_eclipse_of_March_20,_2015.txt 5 82 236 257 580 676 
years Solar_eclipse_of_March_20,_2015.txt 3 731 822 849 
london Solar_eclipse_of_March_20,_2015.txt 1 261 
still Solar_eclipse_of_March_20,_2015.txt 1 182 
its Solar_eclipse_of_March_20,_2015.txt 2 213 514 
before Solar_eclipse_of_March_20,_2015.txt 1 234 
27 Solar_eclipse_of_March_20,_2015.txt 1 746 
20 Solar_eclipse_of_March_20,_2015.txt 5 4 14 456 490 540 
29 Solar_eclipse_of_March_20,_2015.txt 1 771 
production Solar_eclipse_of_March_20,_2015.txt 1 340 
degrees Solar_eclipse_of_March_20,_2015.txt 1 255 
400 Solar_eclipse_of_March_20,_2015.txt 1 414 
2015 Solar_eclipse_of_March_20,_2015.txt 7 5 15 458 486 492 542 674 
decreased Solar_eclipse_of_March_20,_2015.txt 1 345 
hidden Solar_eclipse_of_March_20,_2015.txt 1 860 
norway Solar_eclipse_of_March_20,_2015.txt 3 206 245 636 
