all Solar_eclipse_of_March_25,_1857.txt 1 60 
partial Solar_eclipse_of_March_25,_1857.txt 3 78 142 170 
suns Solar_eclipse_of_March_25,_1857.txt 1 58 
over Solar_eclipse_of_March_25,_1857.txt 2 82 94 
years Solar_eclipse_of_March_25,_1857.txt 1 132 
ended Solar_eclipse_of_March_25,_1857.txt 1 105 
through Solar_eclipse_of_March_25,_1857.txt 1 158 
earth Solar_eclipse_of_March_25,_1857.txt 2 25 43 
moon Solar_eclipse_of_March_25,_1857.txt 1 22 
25 Solar_eclipse_of_March_25,_1857.txt 3 4 14 112 
26 Solar_eclipse_of_March_25,_1857.txt 1 99 
21 Solar_eclipse_of_March_25,_1857.txt 1 174 
blocking Solar_eclipse_of_March_25,_1857.txt 1 59 
hidden Solar_eclipse_of_March_25,_1857.txt 1 195 
thousands Solar_eclipse_of_March_25,_1857.txt 1 86 
into Solar_eclipse_of_March_25,_1857.txt 1 65 
australia Solar_eclipse_of_March_25,_1857.txt 1 96 
march Solar_eclipse_of_March_25,_1857.txt 5 3 13 98 111 173 
thereby Solar_eclipse_of_March_25,_1857.txt 1 29 
10 Solar_eclipse_of_March_25,_1857.txt 1 147 
moons Solar_eclipse_of_March_25,_1857.txt 1 51 
every Solar_eclipse_of_March_25,_1857.txt 1 130 
longest Solar_eclipse_of_March_25,_1857.txt 1 177 
127 Solar_eclipse_of_March_25,_1857.txt 2 119 128 
day Solar_eclipse_of_March_25,_1857.txt 1 64 
categories Solar_eclipse_of_March_25,_1857.txt 2 194 196 
kilometres Solar_eclipse_of_March_25,_1857.txt 1 88 
edit Solar_eclipse_of_March_25,_1857.txt 4 116 120 191 193 
notes Solar_eclipse_of_March_25,_1857.txt 1 190 
across Solar_eclipse_of_March_25,_1857.txt 2 73 108 
crossing Solar_eclipse_of_March_25,_1857.txt 1 100 
2091 Solar_eclipse_of_March_25,_1857.txt 1 161 
repeating Solar_eclipse_of_March_25,_1857.txt 1 129 
series Solar_eclipse_of_March_25,_1857.txt 3 118 139 163 
direct Solar_eclipse_of_March_25,_1857.txt 1 61 
pacific Solar_eclipse_of_March_25,_1857.txt 1 102 
surrounding Solar_eclipse_of_March_25,_1857.txt 1 84 
82 Solar_eclipse_of_March_25,_1857.txt 2 136 167 
sunrise Solar_eclipse_of_March_25,_1857.txt 1 93 
darkness Solar_eclipse_of_March_25,_1857.txt 1 66 
for Solar_eclipse_of_March_25,_1857.txt 1 39 
sun Solar_eclipse_of_March_25,_1857.txt 2 28 38 
wikipedia Solar_eclipse_of_March_25,_1857.txt 1 6 
