all Solar_eclipse_of_March_30,_2052.txt 2 61 108 
partial Solar_eclipse_of_March_30,_2052.txt 4 79 122 200 227 
suns Solar_eclipse_of_March_30,_2052.txt 1 59 
over Solar_eclipse_of_March_30,_2052.txt 1 83 
years Solar_eclipse_of_March_30,_2052.txt 2 141 190 
130 Solar_eclipse_of_March_30,_2052.txt 2 177 186 
through Solar_eclipse_of_March_30,_2052.txt 1 215 
earth Solar_eclipse_of_March_30,_2052.txt 2 26 44 
25 Solar_eclipse_of_March_30,_2052.txt 1 231 
20 Solar_eclipse_of_March_30,_2052.txt 1 205 
northern Solar_eclipse_of_March_30,_2052.txt 1 114 
2051-2054 Solar_eclipse_of_March_30,_2052.txt 1 148 
blocking Solar_eclipse_of_March_30,_2052.txt 1 60 
4 Solar_eclipse_of_March_30,_2052.txt 1 165 
nodes Solar_eclipse_of_March_30,_2052.txt 1 171 
thousands Solar_eclipse_of_March_30,_2052.txt 1 87 
into Solar_eclipse_of_March_30,_2052.txt 1 66 
southwest Solar_eclipse_of_March_30,_2052.txt 1 137 
alternating Solar_eclipse_of_March_30,_2052.txt 1 170 
1096 Solar_eclipse_of_March_30,_2052.txt 1 206 
march Solar_eclipse_of_March_30,_2052.txt 2 3 14 
thereby Solar_eclipse_of_March_30,_2052.txt 1 30 
moons Solar_eclipse_of_March_30,_2052.txt 2 52 174 
october Solar_eclipse_of_March_30,_2052.txt 1 230 
every Solar_eclipse_of_March_30,_2052.txt 2 161 188 
longest Solar_eclipse_of_March_30,_2052.txt 1 234 
day Solar_eclipse_of_March_30,_2052.txt 1 65 
categories Solar_eclipse_of_March_30,_2052.txt 2 251 253 
kilometres Solar_eclipse_of_March_30,_2052.txt 1 89 
edit Solar_eclipse_of_March_30,_2052.txt 5 145 149 178 248 250 
notes Solar_eclipse_of_March_30,_2052.txt 1 247 
across Solar_eclipse_of_March_30,_2052.txt 1 74 
2394 Solar_eclipse_of_March_30,_2052.txt 1 232 
each Solar_eclipse_of_March_30,_2052.txt 1 150 
repeating Solar_eclipse_of_March_30,_2052.txt 1 187 
series Solar_eclipse_of_March_30,_2052.txt 3 155 197 220 
direct Solar_eclipse_of_March_30,_2052.txt 1 62 
related Solar_eclipse_of_March_30,_2052.txt 1 143 
surrounding Solar_eclipse_of_March_30,_2052.txt 1 85 
see Solar_eclipse_of_March_30,_2052.txt 1 120 
duration Solar_eclipse_of_March_30,_2052.txt 1 235 
darkness Solar_eclipse_of_March_30,_2052.txt 1 67 
for Solar_eclipse_of_March_30,_2052.txt 1 40 
sun Solar_eclipse_of_March_30,_2052.txt 2 29 39 
wikipedia Solar_eclipse_of_March_30,_2052.txt 1 6 
moon Solar_eclipse_of_March_30,_2052.txt 1 23 
7 Solar_eclipse_of_March_30,_2052.txt 1 140 
between Solar_eclipse_of_March_30,_2052.txt 1 25 
occurs Solar_eclipse_of_March_30,_2052.txt 3 20 49 69 
be Solar_eclipse_of_March_30,_2052.txt 1 126 
ends Solar_eclipse_of_March_30,_2052.txt 1 221 
turning Solar_eclipse_of_March_30,_2052.txt 1 64 
august Solar_eclipse_of_March_30,_2052.txt 1 204 
earths Solar_eclipse_of_March_30,_2052.txt 1 75 
seconds Solar_eclipse_of_March_30,_2052.txt 1 242 
hours Solar_eclipse_of_March_30,_2052.txt 1 166 
path Solar_eclipse_of_March_30,_2052.txt 2 73 92 
panhandle Solar_eclipse_of_March_30,_2052.txt 1 135 
on Solar_eclipse_of_March_30,_2052.txt 5 13 43 203 229 243 
hidden Solar_eclipse_of_March_30,_2052.txt 1 252 
central Solar_eclipse_of_March_30,_2052.txt 1 97 
of Solar_eclipse_of_March_30,_2052.txt 11 2 37 88 93 103 109 116 156 172 183 236 
region Solar_eclipse_of_March_30,_2052.txt 1 86 
larger Solar_eclipse_of_March_30,_2052.txt 1 56 
florida Solar_eclipse_of_March_30,_2052.txt 1 134 
days Solar_eclipse_of_March_30,_2052.txt 2 163 192 
