and Solar_eclipse_of_May_11,_1975.txt 2 26 89 
partial Solar_eclipse_of_May_11,_1975.txt 2 8 45 
links Solar_eclipse_of_May_11,_1975.txt 1 144 
polar Solar_eclipse_of_May_11,_1975.txt 1 51 
viewer Solar_eclipse_of_May_11,_1975.txt 1 41 
wikipedia Solar_eclipse_of_May_11,_1975.txt 1 6 
image Solar_eclipse_of_May_11,_1975.txt 1 35 
related Solar_eclipse_of_May_11,_1975.txt 1 67 
orbit Solar_eclipse_of_May_11,_1975.txt 1 100 
hidden Solar_eclipse_of_May_11,_1975.txt 1 147 
semester Solar_eclipse_of_May_11,_1975.txt 2 79 93 
member Solar_eclipse_of_May_11,_1975.txt 1 76 
references Solar_eclipse_of_May_11,_1975.txt 1 141 
at Solar_eclipse_of_May_11,_1975.txt 1 94 
in Solar_eclipse_of_May_11,_1975.txt 4 49 77 120 126 
177 Solar_eclipse_of_May_11,_1975.txt 1 87 
earth Solar_eclipse_of_May_11,_1975.txt 4 25 43 55 65 
calendar Solar_eclipse_of_May_11,_1975.txt 1 124 
occur Solar_eclipse_of_May_11,_1975.txt 1 119 
contents Solar_eclipse_of_May_11,_1975.txt 1 66 
addition Solar_eclipse_of_May_11,_1975.txt 1 127 
subseries Solar_eclipse_of_May_11,_1975.txt 1 130 
passes Solar_eclipse_of_May_11,_1975.txt 1 23 
for Solar_eclipse_of_May_11,_1975.txt 1 39 
series Solar_eclipse_of_May_11,_1975.txt 2 80 106 
sun Solar_eclipse_of_May_11,_1975.txt 2 28 38 
when Solar_eclipse_of_May_11,_1975.txt 2 20 56 
approximately Solar_eclipse_of_May_11,_1975.txt 1 85 
moon Solar_eclipse_of_May_11,_1975.txt 1 22 
regions Solar_eclipse_of_May_11,_1975.txt 1 52 
misses Solar_eclipse_of_May_11,_1975.txt 1 63 
1387.94 Solar_eclipse_of_May_11,_1975.txt 1 139 
5 Solar_eclipse_of_May_11,_1975.txt 1 116 
4 Solar_eclipse_of_May_11,_1975.txt 1 90 
between Solar_eclipse_of_May_11,_1975.txt 1 24 
nodes Solar_eclipse_of_May_11,_1975.txt 1 96 
occurs Solar_eclipse_of_May_11,_1975.txt 2 19 48 
3.8 Solar_eclipse_of_May_11,_1975.txt 1 137 
alternating Solar_eclipse_of_May_11,_1975.txt 1 95 
a Solar_eclipse_of_May_11,_1975.txt 6 7 16 40 44 78 92 
1/5 Solar_eclipse_of_May_11,_1975.txt 1 132 
partly Solar_eclipse_of_May_11,_1975.txt 1 32 
thereby Solar_eclipse_of_May_11,_1975.txt 1 29 
that Solar_eclipse_of_May_11,_1975.txt 1 134 
may Solar_eclipse_of_May_11,_1975.txt 2 3 13 
1975-1978 Solar_eclipse_of_May_11,_1975.txt 1 73 
moons Solar_eclipse_of_May_11,_1975.txt 2 61 99 
occurred Solar_eclipse_of_May_11,_1975.txt 1 11 
hours Solar_eclipse_of_May_11,_1975.txt 1 91 
every Solar_eclipse_of_May_11,_1975.txt 3 86 109 136 
nearly Solar_eclipse_of_May_11,_1975.txt 1 121 
solar Solar_eclipse_of_May_11,_1975.txt 6 0 9 17 46 70 82 
same Solar_eclipse_of_May_11,_1975.txt 1 123 
date Solar_eclipse_of_May_11,_1975.txt 1 125 
obscuring Solar_eclipse_of_May_11,_1975.txt 1 33 
shadow Solar_eclipse_of_May_11,_1975.txt 1 62 
years Solar_eclipse_of_May_11,_1975.txt 2 111 138 
totally Solar_eclipse_of_May_11,_1975.txt 1 30 
eclipses Solar_eclipse_of_May_11,_1975.txt 5 68 71 83 108 118 
categories Solar_eclipse_of_May_11,_1975.txt 2 146 148 
cycle Solar_eclipse_of_May_11,_1975.txt 1 102 
11 Solar_eclipse_of_May_11,_1975.txt 2 4 14 
on Solar_eclipse_of_May_11,_1975.txt 2 12 42 
about Solar_eclipse_of_May_11,_1975.txt 1 115 
cycles Solar_eclipse_of_May_11,_1975.txt 1 117 
center Solar_eclipse_of_May_11,_1975.txt 1 58 
external Solar_eclipse_of_May_11,_1975.txt 1 143 
edit Solar_eclipse_of_May_11,_1975.txt 5 69 74 103 142 145 
of Solar_eclipse_of_May_11,_1975.txt 8 2 36 53 59 72 81 97 133 
1975 Solar_eclipse_of_May_11,_1975.txt 2 5 15 
eclipse Solar_eclipse_of_May_11,_1975.txt 4 1 10 18 47 
days Solar_eclipse_of_May_11,_1975.txt 3 88 113 140 
19 Solar_eclipse_of_May_11,_1975.txt 1 110 
6939.69 Solar_eclipse_of_May_11,_1975.txt 1 112 
metonic Solar_eclipse_of_May_11,_1975.txt 2 101 105 
each Solar_eclipse_of_May_11,_1975.txt 1 75 
octon Solar_eclipse_of_May_11,_1975.txt 1 129 
the Solar_eclipse_of_May_11,_1975.txt 13 21 27 34 37 50 54 57 60 64 98 104 122 128 
repeats Solar_eclipse_of_May_11,_1975.txt 3 84 107 131 
or Solar_eclipse_of_May_11,_1975.txt 2 31 135 
lasting Solar_eclipse_of_May_11,_1975.txt 1 114 
