kilometre Solar_eclipse_of_May_20,_2012.txt 1 160 
just Solar_eclipse_of_May_20,_2012.txt 1 184 
summer Solar_eclipse_of_May_20,_2012.txt 1 356 
being Solar_eclipse_of_May_20,_2012.txt 1 211 
suns Solar_eclipse_of_May_20,_2012.txt 1 50 
over Solar_eclipse_of_May_20,_2012.txt 7 98 123 266 292 335 410 432 
hybrid Solar_eclipse_of_May_20,_2012.txt 1 596 
years Solar_eclipse_of_May_20,_2012.txt 2 114 576 
produced Solar_eclipse_of_May_20,_2012.txt 1 590 
taipei Solar_eclipse_of_May_20,_2012.txt 1 281 
16 Solar_eclipse_of_May_20,_2012.txt 1 582 
including Solar_eclipse_of_May_20,_2012.txt 4 80 297 370 458 
per Solar_eclipse_of_May_20,_2012.txt 1 163 
kong Solar_eclipse_of_May_20,_2012.txt 2 279 372 
japan Solar_eclipse_of_May_20,_2012.txt 1 296 
taiwan Solar_eclipse_of_May_20,_2012.txt 1 282 
nevada Solar_eclipse_of_May_20,_2012.txt 2 417 429 
june Solar_eclipse_of_May_20,_2012.txt 2 585 599 
line Solar_eclipse_of_May_20,_2012.txt 1 237 
previous Solar_eclipse_of_May_20,_2012.txt 1 229 
25 Solar_eclipse_of_May_20,_2012.txt 1 615 
categories Solar_eclipse_of_May_20,_2012.txt 2 624 626 
20 Solar_eclipse_of_May_20,_2012.txt 2 4 15 
21 Solar_eclipse_of_May_20,_2012.txt 1 18 
million Solar_eclipse_of_May_20,_2012.txt 2 345 466 
series Solar_eclipse_of_May_20,_2012.txt 3 534 589 618 
continued Solar_eclipse_of_May_20,_2012.txt 1 419 
masses Solar_eclipse_of_May_20,_2012.txt 1 83 
had Solar_eclipse_of_May_20,_2012.txt 2 262 408 
ideal Solar_eclipse_of_May_20,_2012.txt 1 366 
late Solar_eclipse_of_May_20,_2012.txt 1 328 
to Solar_eclipse_of_May_20,_2012.txt 5 53 96 116 347 479 
4 Solar_eclipse_of_May_20,_2012.txt 1 544 
under Solar_eclipse_of_May_20,_2012.txt 2 469 508 
128 Solar_eclipse_of_May_20,_2012.txt 2 556 568 
covered Solar_eclipse_of_May_20,_2012.txt 1 212 
nodes Solar_eclipse_of_May_20,_2012.txt 1 550 
main Solar_eclipse_of_May_20,_2012.txt 1 31 
local Solar_eclipse_of_May_20,_2012.txt 3 21 252 402 
2010 Solar_eclipse_of_May_20,_2012.txt 1 132 
texas Solar_eclipse_of_May_20,_2012.txt 2 441 446 
2012 Solar_eclipse_of_May_20,_2012.txt 3 5 16 19 
alternating Solar_eclipse_of_May_20,_2012.txt 1 549 
a.m Solar_eclipse_of_May_20,_2012.txt 1 251 
penumbra Solar_eclipse_of_May_20,_2012.txt 1 310 
orbit Solar_eclipse_of_May_20,_2012.txt 1 554 
wide Solar_eclipse_of_May_20,_2012.txt 1 150 
6,437 Solar_eclipse_of_May_20,_2012.txt 1 381 
between Solar_eclipse_of_May_20,_2012.txt 1 392 
utah Solar_eclipse_of_May_20,_2012.txt 1 435 
vegas Solar_eclipse_of_May_20,_2012.txt 1 428 
cedar Solar_eclipse_of_May_20,_2012.txt 1 433 
longest Solar_eclipse_of_May_20,_2012.txt 1 173 
new Solar_eclipse_of_May_20,_2012.txt 1 437 
not Solar_eclipse_of_May_20,_2012.txt 1 365 
during Solar_eclipse_of_May_20,_2012.txt 1 354 
ending Solar_eclipse_of_May_20,_2012.txt 1 226 
6:00 Solar_eclipse_of_May_20,_2012.txt 1 250 
minute Solar_eclipse_of_May_20,_2012.txt 1 164 
areas Solar_eclipse_of_May_20,_2012.txt 3 71 338 369 
kilometres Solar_eclipse_of_May_20,_2012.txt 1 147 
xiamen Solar_eclipse_of_May_20,_2012.txt 1 271 
held Solar_eclipse_of_May_20,_2012.txt 1 478 
edit Solar_eclipse_of_May_20,_2012.txt 12 137 239 375 516 518 521 524 528 557 619 621 623 
january Solar_eclipse_of_May_20,_2012.txt 1 130 
notes Solar_eclipse_of_May_20,_2012.txt 1 620 
5:28 Solar_eclipse_of_May_20,_2012.txt 1 400 
july Solar_eclipse_of_May_20,_2012.txt 2 603 614 
hawaii Solar_eclipse_of_May_20,_2012.txt 1 462 
morning Solar_eclipse_of_May_20,_2012.txt 1 329 
large Solar_eclipse_of_May_20,_2012.txt 1 70 
fuzhou Solar_eclipse_of_May_20,_2012.txt 1 274 
1.00 Solar_eclipse_of_May_20,_2012.txt 1 159 
crossing Solar_eclipse_of_May_20,_2012.txt 1 284 
through Solar_eclipse_of_May_20,_2012.txt 3 584 602 613 
redding Solar_eclipse_of_May_20,_2012.txt 1 413 
1417 Solar_eclipse_of_May_20,_2012.txt 1 583 
medford Solar_eclipse_of_May_20,_2012.txt 1 411 
lasting Solar_eclipse_of_May_20,_2012.txt 1 326 
smaller Solar_eclipse_of_May_20,_2012.txt 1 47 
who Solar_eclipse_of_May_20,_2012.txt 1 499 
populated Solar_eclipse_of_May_20,_2012.txt 1 337 
eclipse Solar_eclipse_of_May_20,_2012.txt 20 1 10 39 57 66 95 106 128 142 197 217 241 261 290 313 482 490 503 514 559 
contiguous Solar_eclipse_of_May_20,_2012.txt 1 100 
some Solar_eclipse_of_May_20,_2012.txt 2 368 484 
direct Solar_eclipse_of_May_20,_2012.txt 1 510 
pacific Solar_eclipse_of_May_20,_2012.txt 3 307 324 385 
each Solar_eclipse_of_May_20,_2012.txt 1 529 
across Solar_eclipse_of_May_20,_2012.txt 1 383 
rate Solar_eclipse_of_May_20,_2012.txt 1 157 
89 Solar_eclipse_of_May_20,_2012.txt 1 207 
traveling Solar_eclipse_of_May_20,_2012.txt 2 377 420 
sea Solar_eclipse_of_May_20,_2012.txt 1 288 
pass Solar_eclipse_of_May_20,_2012.txt 1 97 
duration Solar_eclipse_of_May_20,_2012.txt 2 174 205 
1489 Solar_eclipse_of_May_20,_2012.txt 1 601 
estimated Solar_eclipse_of_May_20,_2012.txt 2 343 464 
event Solar_eclipse_of_May_20,_2012.txt 2 118 171 
sunrise Solar_eclipse_of_May_20,_2012.txt 1 247 
august Solar_eclipse_of_May_20,_2012.txt 1 610 
antumbra Solar_eclipse_of_May_20,_2012.txt 5 144 258 334 388 474 
throughout Solar_eclipse_of_May_20,_2012.txt 3 169 316 453 
for Solar_eclipse_of_May_20,_2012.txt 2 220 497 
sun Solar_eclipse_of_May_20,_2012.txt 2 64 210 
since Solar_eclipse_of_May_20,_2012.txt 2 103 125 
wikipedia Solar_eclipse_of_May_20,_2012.txt 1 6 
asia Solar_eclipse_of_May_20,_2012.txt 6 86 124 238 318 361 517 
moon Solar_eclipse_of_May_20,_2012.txt 2 60 215 
3 Solar_eclipse_of_May_20,_2012.txt 1 200 
miles Solar_eclipse_of_May_20,_2012.txt 2 380 424 
various Solar_eclipse_of_May_20,_2012.txt 2 320 494 
above Solar_eclipse_of_May_20,_2012.txt 2 166 444 
moons Solar_eclipse_of_May_20,_2012.txt 2 43 553 
international Solar_eclipse_of_May_20,_2012.txt 1 235 
parks Solar_eclipse_of_May_20,_2012.txt 1 506 
before Solar_eclipse_of_May_20,_2012.txt 2 304 442 
conditions Solar_eclipse_of_May_20,_2012.txt 1 363 
occurs Solar_eclipse_of_May_20,_2012.txt 1 40 
prenumbra Solar_eclipse_of_May_20,_2012.txt 1 450 
guangzhou Solar_eclipse_of_May_20,_2012.txt 1 270 
approached Solar_eclipse_of_May_20,_2012.txt 1 263 
seconds Solar_eclipse_of_May_20,_2012.txt 1 182 
notable Solar_eclipse_of_May_20,_2012.txt 1 219 
annularity Solar_eclipse_of_May_20,_2012.txt 2 176 349 
annular Solar_eclipse_of_May_20,_2012.txt 4 8 37 94 607 
albuquerque Solar_eclipse_of_May_20,_2012.txt 1 436 
outlets Solar_eclipse_of_May_20,_2012.txt 1 496 
highly Solar_eclipse_of_May_20,_2012.txt 1 336 
monsoon Solar_eclipse_of_May_20,_2012.txt 1 357 
completely Solar_eclipse_of_May_20,_2012.txt 1 61 
china Solar_eclipse_of_May_20,_2012.txt 2 245 287 
extent Solar_eclipse_of_May_20,_2012.txt 1 192 
kilometers Solar_eclipse_of_May_20,_2012.txt 1 382 
path Solar_eclipse_of_May_20,_2012.txt 5 134 139 331 471 511 
100 Solar_eclipse_of_May_20,_2012.txt 1 344 
cities Solar_eclipse_of_May_20,_2012.txt 2 268 299 
beginning Solar_eclipse_of_May_20,_2012.txt 1 221 
by Solar_eclipse_of_May_20,_2012.txt 2 213 595 
1543 Solar_eclipse_of_May_20,_2012.txt 1 605 
every Solar_eclipse_of_May_20,_2012.txt 2 540 574 
on Solar_eclipse_of_May_20,_2012.txt 4 13 222 227 493 
about Solar_eclipse_of_May_20,_2012.txt 1 199 
hidden Solar_eclipse_of_May_20,_2012.txt 1 625 
central Solar_eclipse_of_May_20,_2012.txt 1 445 
southeast Solar_eclipse_of_May_20,_2012.txt 2 360 421 
of Solar_eclipse_of_May_20,_2012.txt 29 2 28 33 72 84 107 129 140 158 175 186 195 208 259 269 294 300 311 332 395 426 455 461 472 487 512 535 551 563 
repeats Solar_eclipse_of_May_20,_2012.txt 1 538 
30 Solar_eclipse_of_May_20,_2012.txt 1 423 
hours Solar_eclipse_of_May_20,_2012.txt 1 545 
days Solar_eclipse_of_May_20,_2012.txt 2 542 579 
177 Solar_eclipse_of_May_20,_2012.txt 1 541 
thousands Solar_eclipse_of_May_20,_2012.txt 1 486 
prior Solar_eclipse_of_May_20,_2012.txt 1 115 
involving Solar_eclipse_of_May_20,_2012.txt 1 485 
place Solar_eclipse_of_May_20,_2012.txt 2 12 353 
islands Solar_eclipse_of_May_20,_2012.txt 3 189 321 460 
passing Solar_eclipse_of_May_20,_2012.txt 1 422 
view Solar_eclipse_of_May_20,_2012.txt 2 348 480 
or Solar_eclipse_of_May_20,_2012.txt 1 193 
south Solar_eclipse_of_May_20,_2012.txt 1 185 
first Solar_eclipse_of_May_20,_2012.txt 2 93 122 
diameter Solar_eclipse_of_May_20,_2012.txt 1 45 
contains Solar_eclipse_of_May_20,_2012.txt 1 570 
see Solar_eclipse_of_May_20,_2012.txt 1 501 
followed Solar_eclipse_of_May_20,_2012.txt 1 594 
28 Solar_eclipse_of_May_20,_2012.txt 1 600 
within Solar_eclipse_of_May_20,_2012.txt 2 254 404 
one Solar_eclipse_of_May_20,_2012.txt 1 27 
visible Solar_eclipse_of_May_20,_2012.txt 3 68 315 452 
semester Solar_eclipse_of_May_20,_2012.txt 2 533 547 
because Solar_eclipse_of_May_20,_2012.txt 1 350 
references Solar_eclipse_of_May_20,_2012.txt 1 622 
stretched Solar_eclipse_of_May_20,_2012.txt 1 145 
directly Solar_eclipse_of_May_20,_2012.txt 1 431 
approximately Solar_eclipse_of_May_20,_2012.txt 2 378 539 
couldnt Solar_eclipse_of_May_20,_2012.txt 1 500 
total Solar_eclipse_of_May_20,_2012.txt 2 55 591 
20112014 Solar_eclipse_of_May_20,_2012.txt 1 527 
city Solar_eclipse_of_May_20,_2012.txt 1 434 
from Solar_eclipse_of_May_20,_2012.txt 3 580 598 609 
people Solar_eclipse_of_May_20,_2012.txt 3 346 467 488 
three Solar_eclipse_of_May_20,_2012.txt 1 30 
least Solar_eclipse_of_May_20,_2012.txt 1 341 
gallery Solar_eclipse_of_May_20,_2012.txt 1 515 
width Solar_eclipse_of_May_20,_2012.txt 1 194 
much Solar_eclipse_of_May_20,_2012.txt 1 293 
california Solar_eclipse_of_May_20,_2012.txt 2 398 414 
aleutian Solar_eclipse_of_May_20,_2012.txt 1 188 
passed Solar_eclipse_of_May_20,_2012.txt 3 265 291 409 
6 Solar_eclipse_of_May_20,_2012.txt 1 465 
travelled Solar_eclipse_of_May_20,_2012.txt 1 152 
cycle Solar_eclipse_of_May_20,_2012.txt 1 567 
was Solar_eclipse_of_May_20,_2012.txt 7 67 91 120 177 314 451 491 
until Solar_eclipse_of_May_20,_2012.txt 1 327 
media Solar_eclipse_of_May_20,_2012.txt 1 495 
lived Solar_eclipse_of_May_20,_2012.txt 1 468 
north Solar_eclipse_of_May_20,_2012.txt 5 88 373 390 425 456 
eastern Solar_eclipse_of_May_20,_2012.txt 5 25 74 85 295 317 
season Solar_eclipse_of_May_20,_2012.txt 1 358 
apparent Solar_eclipse_of_May_20,_2012.txt 1 44 
took Solar_eclipse_of_May_20,_2012.txt 2 11 352 
oregon Solar_eclipse_of_May_20,_2012.txt 2 396 412 
broadcast Solar_eclipse_of_May_20,_2012.txt 1 492 
hemisphere Solar_eclipse_of_May_20,_2012.txt 3 26 75 79 
part Solar_eclipse_of_May_20,_2012.txt 1 562 
western Solar_eclipse_of_May_20,_2012.txt 1 78 
solar Solar_eclipse_of_May_20,_2012.txt 11 0 9 34 38 56 105 127 525 536 565 592 
occurring Solar_eclipse_of_May_20,_2012.txt 2 183 573 
with Solar_eclipse_of_May_20,_2012.txt 2 206 483 
than Solar_eclipse_of_May_20,_2012.txt 1 48 
those Solar_eclipse_of_May_20,_2012.txt 1 498 
11 Solar_eclipse_of_May_20,_2012.txt 2 578 611 
10 Solar_eclipse_of_May_20,_2012.txt 1 109 
east Solar_eclipse_of_May_20,_2012.txt 1 286 
15 Solar_eclipse_of_May_20,_2012.txt 1 131 
1994 Solar_eclipse_of_May_20,_2012.txt 1 110 
hour Solar_eclipse_of_May_20,_2012.txt 1 256 
tokyo Solar_eclipse_of_May_20,_2012.txt 1 303 
this Solar_eclipse_of_May_20,_2012.txt 2 117 558 
18 Solar_eclipse_of_May_20,_2012.txt 3 113 575 586 
mi Solar_eclipse_of_May_20,_2012.txt 2 149 162 
0.62 Solar_eclipse_of_May_20,_2012.txt 1 161 
remaining Solar_eclipse_of_May_20,_2012.txt 1 165 
nagoya Solar_eclipse_of_May_20,_2012.txt 1 301 
crossed Solar_eclipse_of_May_20,_2012.txt 1 233 
were Solar_eclipse_of_May_20,_2012.txt 3 364 477 507 
eastbound Solar_eclipse_of_May_20,_2012.txt 1 153 
eclipses Solar_eclipse_of_May_20,_2012.txt 7 35 523 526 537 593 597 608 
animated Solar_eclipse_of_May_20,_2012.txt 1 138 
minutes Solar_eclipse_of_May_20,_2012.txt 3 179 201 406 
31 Solar_eclipse_of_May_20,_2012.txt 1 604 
and Solar_eclipse_of_May_20,_2012.txt 18 76 87 135 151 180 225 264 273 280 302 319 397 415 430 439 543 577 606 
entering Solar_eclipse_of_May_20,_2012.txt 1 305 
mexico Solar_eclipse_of_May_20,_2012.txt 1 438 
equator Solar_eclipse_of_May_20,_2012.txt 1 168 
is Solar_eclipse_of_May_20,_2012.txt 3 46 218 560 
allowed Solar_eclipse_of_May_20,_2012.txt 1 339 
it Solar_eclipse_of_May_20,_2012.txt 6 90 119 232 351 407 418 
reno Solar_eclipse_of_May_20,_2012.txt 1 416 
