partial Solar_eclipse_of_May_3,_1715.txt 1 55 
over Solar_eclipse_of_May_3,_1715.txt 2 59 88 
mainly Solar_eclipse_of_May_3,_1715.txt 1 176 
produced Solar_eclipse_of_May_3,_1715.txt 1 219 
london Solar_eclipse_of_May_3,_1715.txt 2 138 143 
same Solar_eclipse_of_May_3,_1715.txt 1 228 
earth Solar_eclipse_of_May_3,_1715.txt 2 25 43 
cold Solar_eclipse_of_May_3,_1715.txt 1 284 
enjoyed Solar_eclipse_of_May_3,_1715.txt 1 144 
whiston Solar_eclipse_of_May_3,_1715.txt 1 218 
tables Solar_eclipse_of_May_3,_1715.txt 1 208 
20 Solar_eclipse_of_May_3,_1715.txt 1 169 
northern Solar_eclipse_of_May_3,_1715.txt 3 77 80 91 
maps Solar_eclipse_of_May_3,_1715.txt 1 236 
royal Solar_eclipse_of_May_3,_1715.txt 1 214 
to Solar_eclipse_of_May_3,_1715.txt 4 128 178 255 275 
whistons Solar_eclipse_of_May_3,_1715.txt 1 235 
4 Solar_eclipse_of_May_3,_1715.txt 1 130 
wet Solar_eclipse_of_May_3,_1715.txt 1 286 
wales Solar_eclipse_of_May_3,_1715.txt 1 76 
hidden Solar_eclipse_of_May_3,_1715.txt 1 345 
east Solar_eclipse_of_May_3,_1715.txt 1 261 
thousands Solar_eclipse_of_May_3,_1715.txt 1 63 
city Solar_eclipse_of_May_3,_1715.txt 1 141 
his Solar_eclipse_of_May_3,_1715.txt 1 179 
penumbra Solar_eclipse_of_May_3,_1715.txt 1 100 
around Solar_eclipse_of_May_3,_1715.txt 1 226 
thereby Solar_eclipse_of_May_3,_1715.txt 1 29 
showing Solar_eclipse_of_May_3,_1715.txt 1 157 
watch Solar_eclipse_of_May_3,_1715.txt 1 276 
edmond Solar_eclipse_of_May_3,_1715.txt 1 121 
dark Solar_eclipse_of_May_3,_1715.txt 1 105 
judge Solar_eclipse_of_May_3,_1715.txt 1 290 
shadow Solar_eclipse_of_May_3,_1715.txt 2 96 106 
categories Solar_eclipse_of_May_3,_1715.txt 2 344 346 
kilometres Solar_eclipse_of_May_3,_1715.txt 1 65 
norfolk Solar_eclipse_of_May_3,_1715.txt 1 258 
edit Solar_eclipse_of_May_3,_1715.txt 5 324 335 337 340 343 
across Solar_eclipse_of_May_3,_1715.txt 3 50 73 162 
large Solar_eclipse_of_May_3,_1715.txt 1 269 
flamsteed Solar_eclipse_of_May_3,_1715.txt 1 216 
miles Solar_eclipse_of_May_3,_1715.txt 1 170 
predicted Solar_eclipse_of_May_3,_1715.txt 1 125 
south-west Solar_eclipse_of_May_3,_1715.txt 1 254 
where Solar_eclipse_of_May_3,_1715.txt 2 139 268 
predictive Solar_eclipse_of_May_3,_1715.txt 2 155 223 
smaller Solar_eclipse_of_May_3,_1715.txt 1 104 
england Solar_eclipse_of_May_3,_1715.txt 4 74 89 163 249 
related Solar_eclipse_of_May_3,_1715.txt 1 322 
observed Solar_eclipse_of_May_3,_1715.txt 4 134 173 247 265 
surrounding Solar_eclipse_of_May_3,_1715.txt 1 61 
astronomer Solar_eclipse_of_May_3,_1715.txt 1 213 
result Solar_eclipse_of_May_3,_1715.txt 1 299 
further Solar_eclipse_of_May_3,_1715.txt 1 341 
calendar Solar_eclipse_of_May_3,_1715.txt 1 307 
britain Solar_eclipse_of_May_3,_1715.txt 1 302 
out Solar_eclipse_of_May_3,_1715.txt 1 272 
1715 Solar_eclipse_of_May_3,_1715.txt 6 5 15 68 113 244 320 
sun Solar_eclipse_of_May_3,_1715.txt 2 28 38 
wikipedia Solar_eclipse_of_May_3,_1715.txt 1 6 
eminent Solar_eclipse_of_May_3,_1715.txt 1 289 
asia Solar_eclipse_of_May_3,_1715.txt 1 81 
moon Solar_eclipse_of_May_3,_1715.txt 1 22 
3 Solar_eclipse_of_May_3,_1715.txt 3 4 13 145 
lunar Solar_eclipse_of_May_3,_1715.txt 2 183 207 
between Solar_eclipse_of_May_3,_1715.txt 1 24 
reading Solar_eclipse_of_May_3,_1715.txt 1 342 
occurs Solar_eclipse_of_May_3,_1715.txt 2 19 45 
shows Solar_eclipse_of_May_3,_1715.txt 3 84 97 107 
europe Solar_eclipse_of_May_3,_1715.txt 2 78 92 
after Solar_eclipse_of_May_3,_1715.txt 2 120 185 
inaccurate Solar_eclipse_of_May_3,_1715.txt 1 182 
earths Solar_eclipse_of_May_3,_1715.txt 1 51 
seconds Solar_eclipse_of_May_3,_1715.txt 1 148 
drew Solar_eclipse_of_May_3,_1715.txt 1 153 
didnt Solar_eclipse_of_May_3,_1715.txt 1 303 
gregorian Solar_eclipse_of_May_3,_1715.txt 1 306 
path Solar_eclipse_of_May_3,_1715.txt 6 49 87 159 175 192 196 
by Solar_eclipse_of_May_3,_1715.txt 2 210 239 
crowds Solar_eclipse_of_May_3,_1715.txt 1 270 
on Solar_eclipse_of_May_3,_1715.txt 2 12 42 
about Solar_eclipse_of_May_3,_1715.txt 1 168 
22 Solar_eclipse_of_May_3,_1715.txt 1 318 
33 Solar_eclipse_of_May_3,_1715.txt 1 147 
of Solar_eclipse_of_May_3,_1715.txt 9 2 36 64 142 149 160 181 199 329 
region Solar_eclipse_of_May_3,_1715.txt 1 62 
dublin Solar_eclipse_of_May_3,_1715.txt 2 274 281 
april Solar_eclipse_of_May_3,_1715.txt 1 319 
published Solar_eclipse_of_May_3,_1715.txt 1 238 
narrow Solar_eclipse_of_May_3,_1715.txt 1 48 
or Solar_eclipse_of_May_3,_1715.txt 1 31 
first Solar_eclipse_of_May_3,_1715.txt 1 212 
image Solar_eclipse_of_May_3,_1715.txt 1 35 
within Solar_eclipse_of_May_3,_1715.txt 1 129 
visible Solar_eclipse_of_May_3,_1715.txt 2 58 72 
weather Solar_eclipse_of_May_3,_1715.txt 1 279 
references Solar_eclipse_of_May_3,_1715.txt 1 336 
total Solar_eclipse_of_May_3,_1715.txt 3 8 69 202 
passes Solar_eclipse_of_May_3,_1715.txt 1 23 
use Solar_eclipse_of_May_3,_1715.txt 1 180 
from Solar_eclipse_of_May_3,_1715.txt 2 137 250 
caught Solar_eclipse_of_May_3,_1715.txt 1 293 
faint Solar_eclipse_of_May_3,_1715.txt 1 95 
due Solar_eclipse_of_May_3,_1715.txt 1 177 
joseph Solar_eclipse_of_May_3,_1715.txt 1 291 
totality Solar_eclipse_of_May_3,_1715.txt 5 44 111 150 161 245 
16561742 Solar_eclipse_of_May_3,_1715.txt 1 123 
john Solar_eclipse_of_May_3,_1715.txt 2 215 240 
was Solar_eclipse_of_May_3,_1715.txt 6 71 167 246 263 282 313 
until Solar_eclipse_of_May_3,_1715.txt 1 308 
more Solar_eclipse_of_May_3,_1715.txt 1 221 
deane Solar_eclipse_of_May_3,_1715.txt 1 292 
partly Solar_eclipse_of_May_3,_1715.txt 1 32 
ireland Solar_eclipse_of_May_3,_1715.txt 1 267 
both Solar_eclipse_of_May_3,_1715.txt 1 232 
great Solar_eclipse_of_May_3,_1715.txt 1 301 
corrected Solar_eclipse_of_May_3,_1715.txt 1 189 
occurred Solar_eclipse_of_May_3,_1715.txt 1 11 
cornwall Solar_eclipse_of_May_3,_1715.txt 1 251 
chill Solar_eclipse_of_May_3,_1715.txt 1 296 
part Solar_eclipse_of_May_3,_1715.txt 1 328 
external Solar_eclipse_of_May_3,_1715.txt 1 338 
solar Solar_eclipse_of_May_3,_1715.txt 6 0 9 17 56 203 330 
known Solar_eclipse_of_May_3,_1715.txt 1 116 
obscuring Solar_eclipse_of_May_3,_1715.txt 1 33 
with Solar_eclipse_of_May_3,_1715.txt 1 53 
he Solar_eclipse_of_May_3,_1715.txt 2 151 188 
wide Solar_eclipse_of_May_3,_1715.txt 2 66 94 
made Solar_eclipse_of_May_3,_1715.txt 1 209 
114 Solar_eclipse_of_May_3,_1715.txt 1 332 
this Solar_eclipse_of_May_3,_1715.txt 2 82 126 
senex Solar_eclipse_of_May_3,_1715.txt 1 241 
eclipse Solar_eclipse_of_May_3,_1715.txt 15 1 10 18 57 70 86 114 119 127 136 174 187 191 204 224 
halleys Solar_eclipse_of_May_3,_1715.txt 2 118 233 
technical Solar_eclipse_of_May_3,_1715.txt 1 222 
halley Solar_eclipse_of_May_3,_1715.txt 3 122 133 231 
were Solar_eclipse_of_May_3,_1715.txt 1 237 
eclipses Solar_eclipse_of_May_3,_1715.txt 1 323 
minutes Solar_eclipse_of_May_3,_1715.txt 2 131 146 
1724 Solar_eclipse_of_May_3,_1715.txt 1 201 
and Solar_eclipse_of_May_3,_1715.txt 11 26 75 79 90 102 193 197 234 257 285 287 
links Solar_eclipse_of_May_3,_1715.txt 1 339 
viewer Solar_eclipse_of_May_3,_1715.txt 1 41 
exceptionally Solar_eclipse_of_May_3,_1715.txt 1 283 
is Solar_eclipse_of_May_3,_1715.txt 2 115 326 
turned Solar_eclipse_of_May_3,_1715.txt 1 271 
it Solar_eclipse_of_May_3,_1715.txt 3 262 277 325 
surface Solar_eclipse_of_May_3,_1715.txt 1 52 
as Solar_eclipse_of_May_3,_1715.txt 3 117 230 297 
at Solar_eclipse_of_May_3,_1715.txt 1 314 
in Solar_eclipse_of_May_3,_1715.txt 8 46 242 248 252 259 266 273 280 
march Solar_eclipse_of_May_3,_1715.txt 1 243 
ephemeris Solar_eclipse_of_May_3,_1715.txt 1 184 
contents Solar_eclipse_of_May_3,_1715.txt 1 321 
lincolnshire Solar_eclipse_of_May_3,_1715.txt 1 256 
when Solar_eclipse_of_May_3,_1715.txt 1 20 
umbra Solar_eclipse_of_May_3,_1715.txt 1 110 
note Solar_eclipse_of_May_3,_1715.txt 1 300 
also Solar_eclipse_of_May_3,_1715.txt 3 152 264 334 
animation Solar_eclipse_of_May_3,_1715.txt 1 83 
1752 Solar_eclipse_of_May_3,_1715.txt 1 309 
accuracy Solar_eclipse_of_May_3,_1715.txt 1 132 
map Solar_eclipse_of_May_3,_1715.txt 3 156 166 225 
added Solar_eclipse_of_May_3,_1715.txt 1 194 
description Solar_eclipse_of_May_3,_1715.txt 1 198 
see Solar_eclipse_of_May_3,_1715.txt 1 333 
may Solar_eclipse_of_May_3,_1715.txt 2 3 14 
who Solar_eclipse_of_May_3,_1715.txt 1 124 
upon Solar_eclipse_of_May_3,_1715.txt 1 206 
partiality Solar_eclipse_of_May_3,_1715.txt 1 101 
william Solar_eclipse_of_May_3,_1715.txt 1 217 
saros Solar_eclipse_of_May_3,_1715.txt 1 331 
date Solar_eclipse_of_May_3,_1715.txt 1 312 
totally Solar_eclipse_of_May_3,_1715.txt 1 30 
a Solar_eclipse_of_May_3,_1715.txt 10 7 16 40 47 60 154 220 294 298 327 
off Solar_eclipse_of_May_3,_1715.txt 1 171 
for Solar_eclipse_of_May_3,_1715.txt 3 39 98 108 
considered Solar_eclipse_of_May_3,_1715.txt 1 317 
adopt Solar_eclipse_of_May_3,_1715.txt 1 304 
fatal Solar_eclipse_of_May_3,_1715.txt 1 295 
drawing Solar_eclipse_of_May_3,_1715.txt 1 205 
so Solar_eclipse_of_May_3,_1715.txt 1 310 
time Solar_eclipse_of_May_3,_1715.txt 2 229 316 
the Solar_eclipse_of_May_3,_1715.txt 30 21 27 34 37 54 67 85 93 99 103 109 112 135 140 158 164 172 186 190 195 200 211 227 253 260 278 288 305 311 315 
original Solar_eclipse_of_May_3,_1715.txt 1 165 
