all Solar_eclipse_of_May_30,_1965.txt 1 60 
partial Solar_eclipse_of_May_30,_1965.txt 4 78 156 198 226 
suns Solar_eclipse_of_May_30,_1965.txt 1 58 
over Solar_eclipse_of_May_30,_1965.txt 1 82 
years Solar_eclipse_of_May_30,_1965.txt 3 188 256 283 
through Solar_eclipse_of_May_30,_1965.txt 1 214 
same Solar_eclipse_of_May_30,_1965.txt 1 268 
earth Solar_eclipse_of_May_30,_1965.txt 2 25 43 
previous Solar_eclipse_of_May_30,_1965.txt 1 170 
subseries Solar_eclipse_of_May_30,_1965.txt 1 275 
note Solar_eclipse_of_May_30,_1965.txt 1 155 
21 Solar_eclipse_of_May_30,_1965.txt 1 230 
blocking Solar_eclipse_of_May_30,_1965.txt 1 59 
to Solar_eclipse_of_May_30,_1965.txt 1 168 
4 Solar_eclipse_of_May_30,_1965.txt 1 144 
nodes Solar_eclipse_of_May_30,_1965.txt 1 150 
thousands Solar_eclipse_of_May_30,_1965.txt 1 86 
into Solar_eclipse_of_May_30,_1965.txt 1 65 
alternating Solar_eclipse_of_May_30,_1965.txt 1 149 
991 Solar_eclipse_of_May_30,_1965.txt 1 204 
thereby Solar_eclipse_of_May_30,_1965.txt 1 29 
northwestern Solar_eclipse_of_May_30,_1965.txt 1 94 
moons Solar_eclipse_of_May_30,_1965.txt 2 51 153 
every Solar_eclipse_of_May_30,_1965.txt 4 140 186 254 281 
longest Solar_eclipse_of_May_30,_1965.txt 1 233 
127 Solar_eclipse_of_May_30,_1965.txt 2 175 184 
cook Solar_eclipse_of_May_30,_1965.txt 1 106 
2452 Solar_eclipse_of_May_30,_1965.txt 1 231 
day Solar_eclipse_of_May_30,_1965.txt 1 64 
categories Solar_eclipse_of_May_30,_1965.txt 2 291 293 
kilometres Solar_eclipse_of_May_30,_1965.txt 1 88 
manuae Solar_eclipse_of_May_30,_1965.txt 2 104 108 
edit Solar_eclipse_of_May_30,_1965.txt 6 123 128 176 248 287 290 
january Solar_eclipse_of_May_30,_1965.txt 1 160 
across Solar_eclipse_of_May_30,_1965.txt 1 73 
6939.69 Solar_eclipse_of_May_30,_1965.txt 1 257 
each Solar_eclipse_of_May_30,_1965.txt 1 129 
2091 Solar_eclipse_of_May_30,_1965.txt 1 217 
repeating Solar_eclipse_of_May_30,_1965.txt 1 185 
cycles Solar_eclipse_of_May_30,_1965.txt 1 262 
lasting Solar_eclipse_of_May_30,_1965.txt 1 259 
set Solar_eclipse_of_May_30,_1965.txt 1 173 
