kuril Solar_eclipse_of_May_9,_1948.txt 1 131 
partial Solar_eclipse_of_May_9,_1948.txt 1 81 
just Solar_eclipse_of_May_9,_1948.txt 1 172 
suns Solar_eclipse_of_May_9,_1948.txt 2 58 63 
over Solar_eclipse_of_May_9,_1948.txt 1 83 
years Solar_eclipse_of_May_9,_1948.txt 1 174 
hidden Solar_eclipse_of_May_9,_1948.txt 1 214 
including Solar_eclipse_of_May_9,_1948.txt 1 108 
earth Solar_eclipse_of_May_9,_1948.txt 3 25 43 88 
1948 Solar_eclipse_of_May_9,_1948.txt 3 5 15 154 
blocking Solar_eclipse_of_May_9,_1948.txt 1 59 
to Solar_eclipse_of_May_9,_1948.txt 6 69 116 122 139 155 165 
4 Solar_eclipse_of_May_9,_1948.txt 2 167 198 
nodes Solar_eclipse_of_May_9,_1948.txt 1 204 
thousands Solar_eclipse_of_May_9,_1948.txt 1 89 
alternating Solar_eclipse_of_May_9,_1948.txt 1 203 
belonging Solar_eclipse_of_May_9,_1948.txt 3 115 121 138 
thereby Solar_eclipse_of_May_9,_1948.txt 1 29 
10 Solar_eclipse_of_May_9,_1948.txt 1 173 
moons Solar_eclipse_of_May_9,_1948.txt 2 51 207 
every Solar_eclipse_of_May_9,_1948.txt 1 194 
now Solar_eclipse_of_May_9,_1948.txt 3 114 120 137 
1958 Solar_eclipse_of_May_9,_1948.txt 1 156 
categories Solar_eclipse_of_May_9,_1948.txt 2 213 215 
kilometres Solar_eclipse_of_May_9,_1948.txt 1 91 
like Solar_eclipse_of_May_9,_1948.txt 1 71 
edit Solar_eclipse_of_May_9,_1948.txt 4 178 182 210 212 
notes Solar_eclipse_of_May_9,_1948.txt 1 209 
large Solar_eclipse_of_May_9,_1948.txt 1 163 
annularity Solar_eclipse_of_May_9,_1948.txt 1 93 
where Solar_eclipse_of_May_9,_1948.txt 1 157 
smaller Solar_eclipse_of_May_9,_1948.txt 1 55 
series Solar_eclipse_of_May_9,_1948.txt 1 188 
related Solar_eclipse_of_May_9,_1948.txt 1 176 
japan Solar_eclipse_of_May_9,_1948.txt 1 130 
witness Solar_eclipse_of_May_9,_1948.txt 1 166 
indochina Solar_eclipse_of_May_9,_1948.txt 1 111 
for Solar_eclipse_of_May_9,_1948.txt 2 39 161 
sun Solar_eclipse_of_May_9,_1948.txt 3 28 38 68 
wikipedia Solar_eclipse_of_May_9,_1948.txt 1 6 
moon Solar_eclipse_of_May_9,_1948.txt 1 22 
rare Solar_eclipse_of_May_9,_1948.txt 1 160 
between Solar_eclipse_of_May_9,_1948.txt 1 24 
occurs Solar_eclipse_of_May_9,_1948.txt 2 19 48 
korea Solar_eclipse_of_May_9,_1948.txt 1 126 
city Solar_eclipse_of_May_9,_1948.txt 1 164 
each Solar_eclipse_of_May_9,_1948.txt 1 183 
annular Solar_eclipse_of_May_9,_1948.txt 3 8 45 76 
french Solar_eclipse_of_May_9,_1948.txt 1 110 
bangkok Solar_eclipse_of_May_9,_1948.txt 2 109 152 
china Solar_eclipse_of_May_9,_1948.txt 1 124 
