partial Solar_eclipse_of_May_9,_2032.txt 2 82 133 
suns Solar_eclipse_of_May_9,_2032.txt 2 59 64 
over Solar_eclipse_of_May_9,_2032.txt 1 84 
years Solar_eclipse_of_May_9,_2032.txt 2 162 189 
earth Solar_eclipse_of_May_9,_2032.txt 3 26 44 89 
previous Solar_eclipse_of_May_9,_2032.txt 1 147 
subseries Solar_eclipse_of_May_9,_2032.txt 1 181 
note Solar_eclipse_of_May_9,_2032.txt 1 132 
blocking Solar_eclipse_of_May_9,_2032.txt 1 60 
to Solar_eclipse_of_May_9,_2032.txt 1 70 
2029-2032 Solar_eclipse_of_May_9,_2032.txt 1 104 
4 Solar_eclipse_of_May_9,_2032.txt 1 121 
nodes Solar_eclipse_of_May_9,_2032.txt 1 127 
thousands Solar_eclipse_of_May_9,_2032.txt 1 90 
alternating Solar_eclipse_of_May_9,_2032.txt 1 126 
thereby Solar_eclipse_of_May_9,_2032.txt 1 30 
moons Solar_eclipse_of_May_9,_2032.txt 2 52 130 
every Solar_eclipse_of_May_9,_2032.txt 3 117 160 187 
nearly Solar_eclipse_of_May_9,_2032.txt 1 172 
categories Solar_eclipse_of_May_9,_2032.txt 2 197 199 
14 Solar_eclipse_of_May_9,_2032.txt 1 138 
kilometres Solar_eclipse_of_May_9,_2032.txt 1 92 
like Solar_eclipse_of_May_9,_2032.txt 1 72 
edit Solar_eclipse_of_May_9,_2032.txt 6 96 101 105 154 193 196 
january Solar_eclipse_of_May_9,_2032.txt 1 137 
6939.69 Solar_eclipse_of_May_9,_2032.txt 1 163 
each Solar_eclipse_of_May_9,_2032.txt 1 106 
cycles Solar_eclipse_of_May_9,_2032.txt 1 168 
lasting Solar_eclipse_of_May_9,_2032.txt 1 165 
smaller Solar_eclipse_of_May_9,_2032.txt 1 56 
series Solar_eclipse_of_May_9,_2032.txt 2 111 157 
related Solar_eclipse_of_May_9,_2032.txt 1 99 
year Solar_eclipse_of_May_9,_2032.txt 1 149 
images Solar_eclipse_of_May_9,_2032.txt 1 95 
calendar Solar_eclipse_of_May_9,_2032.txt 1 175 
3.8 Solar_eclipse_of_May_9,_2032.txt 1 188 
for Solar_eclipse_of_May_9,_2032.txt 1 40 
sun Solar_eclipse_of_May_9,_2032.txt 3 29 39 69 
wikipedia Solar_eclipse_of_May_9,_2032.txt 1 6 
moon Solar_eclipse_of_May_9,_2032.txt 1 23 
lunar Solar_eclipse_of_May_9,_2032.txt 1 148 
between Solar_eclipse_of_May_9,_2032.txt 1 25 
occurs Solar_eclipse_of_May_9,_2032.txt 2 20 49 
annular Solar_eclipse_of_May_9,_2032.txt 3 8 46 77 
hours Solar_eclipse_of_May_9,_2032.txt 1 122 
path Solar_eclipse_of_May_9,_2032.txt 1 98 
appears Solar_eclipse_of_May_9,_2032.txt 1 79 
on Solar_eclipse_of_May_9,_2032.txt 4 13 43 136 145 
about Solar_eclipse_of_May_9,_2032.txt 1 166 
hidden Solar_eclipse_of_May_9,_2032.txt 1 198 
of Solar_eclipse_of_May_9,_2032.txt 8 2 37 62 87 91 112 128 184 
region Solar_eclipse_of_May_9,_2032.txt 1 86 
days Solar_eclipse_of_May_9,_2032.txt 3 119 164 191 
repeats Solar_eclipse_of_May_9,_2032.txt 3 115 158 182 
or Solar_eclipse_of_May_9,_2032.txt 2 32 186 
diameter Solar_eclipse_of_May_9,_2032.txt 1 54 
image Solar_eclipse_of_May_9,_2032.txt 1 36 
semester Solar_eclipse_of_May_9,_2032.txt 2 110 124 
set Solar_eclipse_of_May_9,_2032.txt 1 151 
references Solar_eclipse_of_May_9,_2032.txt 1 192 
177 Solar_eclipse_of_May_9,_2032.txt 1 118 
ring Solar_eclipse_of_May_9,_2032.txt 1 75 
passes Solar_eclipse_of_May_9,_2032.txt 1 24 
addition Solar_eclipse_of_May_9,_2032.txt 1 178 
approximately Solar_eclipse_of_May_9,_2032.txt 1 116 
1/5 Solar_eclipse_of_May_9,_2032.txt 1 183 
partly Solar_eclipse_of_May_9,_2032.txt 1 33 
that Solar_eclipse_of_May_9,_2032.txt 1 185 
apparent Solar_eclipse_of_May_9,_2032.txt 1 53 
external Solar_eclipse_of_May_9,_2032.txt 1 194 
solar Solar_eclipse_of_May_9,_2032.txt 7 0 9 18 47 102 113 134 
obscuring Solar_eclipse_of_May_9,_2032.txt 1 34 
july Solar_eclipse_of_May_9,_2032.txt 1 141 
than Solar_eclipse_of_May_9,_2032.txt 1 57 
11 Solar_eclipse_of_May_9,_2032.txt 1 142 
wide Solar_eclipse_of_May_9,_2032.txt 1 93 
look Solar_eclipse_of_May_9,_2032.txt 1 71 
19 Solar_eclipse_of_May_9,_2032.txt 1 161 
eclipse Solar_eclipse_of_May_9,_2032.txt 7 1 10 19 48 78 83 150 
will Solar_eclipse_of_May_9,_2032.txt 1 11 
1387.94 Solar_eclipse_of_May_9,_2032.txt 1 190 
eclipses Solar_eclipse_of_May_9,_2032.txt 6 100 103 114 135 159 169 
animated Solar_eclipse_of_May_9,_2032.txt 1 97 
2029 Solar_eclipse_of_May_9,_2032.txt 2 139 143 
and Solar_eclipse_of_May_9,_2032.txt 4 27 66 120 140 
links Solar_eclipse_of_May_9,_2032.txt 1 195 
viewer Solar_eclipse_of_May_9,_2032.txt 1 42 
is Solar_eclipse_of_May_9,_2032.txt 1 55 
an Solar_eclipse_of_May_9,_2032.txt 4 7 45 73 76 
as Solar_eclipse_of_May_9,_2032.txt 1 80 
at Solar_eclipse_of_May_9,_2032.txt 1 125 
in Solar_eclipse_of_May_9,_2032.txt 3 108 171 177 
occur Solar_eclipse_of_May_9,_2032.txt 3 12 144 170 
contents Solar_eclipse_of_May_9,_2032.txt 1 94 
when Solar_eclipse_of_May_9,_2032.txt 2 21 50 
same Solar_eclipse_of_May_9,_2032.txt 1 174 
member Solar_eclipse_of_May_9,_2032.txt 1 107 
causing Solar_eclipse_of_May_9,_2032.txt 1 67 
5 Solar_eclipse_of_May_9,_2032.txt 1 167 
2032 Solar_eclipse_of_May_9,_2032.txt 2 5 16 
9 Solar_eclipse_of_May_9,_2032.txt 2 4 15 
may Solar_eclipse_of_May_9,_2032.txt 2 3 14 
