partial Solar_eclipse_of_November_13,_1993.txt 2 8 45 
tip Solar_eclipse_of_November_13,_1993.txt 1 85 
over Solar_eclipse_of_November_13,_1993.txt 2 71 82 
years Solar_eclipse_of_November_13,_1993.txt 2 138 165 
ended Solar_eclipse_of_November_13,_1993.txt 1 79 
earth Solar_eclipse_of_November_13,_1993.txt 4 25 43 55 65 
subseries Solar_eclipse_of_November_13,_1993.txt 1 157 
regions Solar_eclipse_of_November_13,_1993.txt 1 52 
4 Solar_eclipse_of_November_13,_1993.txt 1 117 
nodes Solar_eclipse_of_November_13,_1993.txt 1 123 
alternating Solar_eclipse_of_November_13,_1993.txt 1 122 
australia Solar_eclipse_of_November_13,_1993.txt 1 74 
thereby Solar_eclipse_of_November_13,_1993.txt 1 29 
moons Solar_eclipse_of_November_13,_1993.txt 2 61 126 
1993 Solar_eclipse_of_November_13,_1993.txt 2 5 15 
octon Solar_eclipse_of_November_13,_1993.txt 1 156 
nearly Solar_eclipse_of_November_13,_1993.txt 1 148 
shadow Solar_eclipse_of_November_13,_1993.txt 1 62 
categories Solar_eclipse_of_November_13,_1993.txt 2 173 175 
edit Solar_eclipse_of_November_13,_1993.txt 6 94 97 101 130 169 172 
6939.69 Solar_eclipse_of_November_13,_1993.txt 1 139 
each Solar_eclipse_of_November_13,_1993.txt 1 102 
cycles Solar_eclipse_of_November_13,_1993.txt 1 144 
lasting Solar_eclipse_of_November_13,_1993.txt 1 141 
series Solar_eclipse_of_November_13,_1993.txt 3 107 129 133 
related Solar_eclipse_of_November_13,_1993.txt 1 95 
images Solar_eclipse_of_November_13,_1993.txt 1 93 
calendar Solar_eclipse_of_November_13,_1993.txt 1 151 
sunrise Solar_eclipse_of_November_13,_1993.txt 1 70 
for Solar_eclipse_of_November_13,_1993.txt 1 39 
sun Solar_eclipse_of_November_13,_1993.txt 2 28 38 
wikipedia Solar_eclipse_of_November_13,_1993.txt 1 6 
moon Solar_eclipse_of_November_13,_1993.txt 1 22 
misses Solar_eclipse_of_November_13,_1993.txt 1 63 
between Solar_eclipse_of_November_13,_1993.txt 1 24 
occurs Solar_eclipse_of_November_13,_1993.txt 2 19 48 
hours Solar_eclipse_of_November_13,_1993.txt 1 118 
november Solar_eclipse_of_November_13,_1993.txt 4 3 13 76 90 
on Solar_eclipse_of_November_13,_1993.txt 4 12 42 75 89 
about Solar_eclipse_of_November_13,_1993.txt 1 142 
of Solar_eclipse_of_November_13,_1993.txt 9 2 36 53 59 73 86 108 124 160 
days Solar_eclipse_of_November_13,_1993.txt 3 115 140 167 
repeats Solar_eclipse_of_November_13,_1993.txt 3 111 134 158 
or Solar_eclipse_of_November_13,_1993.txt 2 31 162 
south Solar_eclipse_of_November_13,_1993.txt 1 87 
image Solar_eclipse_of_November_13,_1993.txt 1 35 
visible Solar_eclipse_of_November_13,_1993.txt 1 68 
semester Solar_eclipse_of_November_13,_1993.txt 2 106 120 
references Solar_eclipse_of_November_13,_1993.txt 1 168 
177 Solar_eclipse_of_November_13,_1993.txt 1 114 
