galveston Solar_eclipse_of_November_22,_1919.txt 1 133 
houston Solar_eclipse_of_November_22,_1919.txt 1 131 
13:30 Solar_eclipse_of_November_22,_1919.txt 1 148 
partial Solar_eclipse_of_November_22,_1919.txt 3 81 377 412 
suns Solar_eclipse_of_November_22,_1919.txt 2 58 63 
over Solar_eclipse_of_November_22,_1919.txt 2 83 96 
years Solar_eclipse_of_November_22,_1919.txt 1 366 
senegal Solar_eclipse_of_November_22,_1919.txt 1 224 
including Solar_eclipse_of_November_22,_1919.txt 2 127 225 
guinea-bissau Solar_eclipse_of_November_22,_1919.txt 1 230 
earth Solar_eclipse_of_November_22,_1919.txt 3 25 43 88 
northern Solar_eclipse_of_November_22,_1919.txt 1 232 
barbados Solar_eclipse_of_November_22,_1919.txt 1 202 
before Solar_eclipse_of_November_22,_1919.txt 3 171 241 269 
member Solar_eclipse_of_November_22,_1919.txt 2 332 408 
22 Solar_eclipse_of_November_22,_1919.txt 2 4 14 
blocking Solar_eclipse_of_November_22,_1919.txt 1 59 
late Solar_eclipse_of_November_22,_1919.txt 1 267 
to Solar_eclipse_of_November_22,_1919.txt 4 69 142 161 282 
4 Solar_eclipse_of_November_22,_1919.txt 2 346 390 
14 Solar_eclipse_of_November_22,_1919.txt 1 394 
5 Solar_eclipse_of_November_22,_1919.txt 1 311 
nodes Solar_eclipse_of_November_22,_1919.txt 1 352 
thousands Solar_eclipse_of_November_22,_1919.txt 1 89 
texas Solar_eclipse_of_November_22,_1919.txt 1 134 
happened Solar_eclipse_of_November_22,_1919.txt 1 204 
alternating Solar_eclipse_of_November_22,_1919.txt 1 351 
2460 Solar_eclipse_of_November_22,_1919.txt 1 395 
around Solar_eclipse_of_November_22,_1919.txt 1 145 
thereby Solar_eclipse_of_November_22,_1919.txt 1 29 
utc Solar_eclipse_of_November_22,_1919.txt 5 149 175 216 244 273 
moons Solar_eclipse_of_November_22,_1919.txt 2 51 355 
2857 Solar_eclipse_of_November_22,_1919.txt 1 417 
october Solar_eclipse_of_November_22,_1919.txt 1 393 
every Solar_eclipse_of_November_22,_1919.txt 2 342 364 
longest Solar_eclipse_of_November_22,_1919.txt 2 288 305 
half Solar_eclipse_of_November_22,_1919.txt 1 97 
2 Solar_eclipse_of_November_22,_1919.txt 1 319 
haiti Solar_eclipse_of_November_22,_1919.txt 1 182 
now Solar_eclipse_of_November_22,_1919.txt 3 229 237 256 
categories Solar_eclipse_of_November_22,_1919.txt 2 422 424 
dominican Solar_eclipse_of_November_22,_1919.txt 1 186 
kilometres Solar_eclipse_of_November_22,_1919.txt 1 91 
like Solar_eclipse_of_November_22,_1919.txt 1 71 
15:14:12 Solar_eclipse_of_November_22,_1919.txt 1 215 
edit Solar_eclipse_of_November_22,_1919.txt 5 326 330 359 419 421 
january Solar_eclipse_of_November_22,_1919.txt 1 310 
notes Solar_eclipse_of_November_22,_1919.txt 1 418 
morning Solar_eclipse_of_November_22,_1919.txt 1 208 
this Solar_eclipse_of_November_22,_1919.txt 1 402 
annularity Solar_eclipse_of_November_22,_1919.txt 1 277 
through Solar_eclipse_of_November_22,_1919.txt 1 392 
vincent Solar_eclipse_of_November_22,_1919.txt 1 197 
quarter Solar_eclipse_of_November_22,_1919.txt 1 153 
portuguese Solar_eclipse_of_November_22,_1919.txt 1 227 
smaller Solar_eclipse_of_November_22,_1919.txt 1 55 
1916-1920 Solar_eclipse_of_November_22,_1919.txt 1 329 
related Solar_eclipse_of_November_22,_1919.txt 1 324 
started Solar_eclipse_of_November_22,_1919.txt 1 375 
are Solar_eclipse_of_November_22,_1919.txt 1 397 
duration Solar_eclipse_of_November_22,_1919.txt 2 275 289 
close Solar_eclipse_of_November_22,_1919.txt 2 141 160 
36.6 Solar_eclipse_of_November_22,_1919.txt 1 293 
brazil Solar_eclipse_of_November_22,_1919.txt 1 301 
caribbean Solar_eclipse_of_November_22,_1919.txt 1 126 
for Solar_eclipse_of_November_22,_1919.txt 1 39 
sudan Solar_eclipse_of_November_22,_1919.txt 1 255 
sun Solar_eclipse_of_November_22,_1919.txt 3 28 38 68 
since Solar_eclipse_of_November_22,_1919.txt 1 309 
wikipedia Solar_eclipse_of_November_22,_1919.txt 1 6 
moon Solar_eclipse_of_November_22,_1919.txt 1 22 
may Solar_eclipse_of_November_22,_1919.txt 1 381 
between Solar_eclipse_of_November_22,_1919.txt 1 24 
venezuela Solar_eclipse_of_November_22,_1919.txt 1 192 
occurs Solar_eclipse_of_November_22,_1919.txt 2 19 48 
europe Solar_eclipse_of_November_22,_1919.txt 1 109 
ends Solar_eclipse_of_November_22,_1919.txt 1 406 
august Solar_eclipse_of_November_22,_1919.txt 1 389 
seconds Solar_eclipse_of_November_22,_1919.txt 1 294 
june Solar_eclipse_of_November_22,_1919.txt 1 415 
mali Solar_eclipse_of_November_22,_1919.txt 1 257 
annular Solar_eclipse_of_November_22,_1919.txt 6 8 45 76 119 306 386 
french Solar_eclipse_of_November_22,_1919.txt 2 235 254 
hours Solar_eclipse_of_November_22,_1919.txt 2 209 347 
1937 Solar_eclipse_of_November_22,_1919.txt 1 320 
november Solar_eclipse_of_November_22,_1919.txt 2 3 13 
appears Solar_eclipse_of_November_22,_1919.txt 1 78 
on Solar_eclipse_of_November_22,_1919.txt 4 12 42 380 414 
about Solar_eclipse_of_November_22,_1919.txt 1 111 
hidden Solar_eclipse_of_November_22,_1919.txt 1 423 
gulf Solar_eclipse_of_November_22,_1919.txt 1 156 
16:45 Solar_eclipse_of_November_22,_1919.txt 1 243 
of Solar_eclipse_of_November_22,_1919.txt 19 2 36 61 86 90 98 102 107 114 154 157 181 234 252 276 300 317 337 353 
region Solar_eclipse_of_November_22,_1919.txt 1 85 
florida Solar_eclipse_of_November_22,_1919.txt 1 163 
days Solar_eclipse_of_November_22,_1919.txt 2 344 368 
timbuktu Solar_eclipse_of_November_22,_1919.txt 1 262 
afternoon Solar_eclipse_of_November_22,_1919.txt 1 268 
repeats Solar_eclipse_of_November_22,_1919.txt 2 340 363 
austin Solar_eclipse_of_November_22,_1919.txt 1 128 
or Solar_eclipse_of_November_22,_1919.txt 1 31 
south Solar_eclipse_of_November_22,_1919.txt 1 103 
