all Solar_eclipse_of_November_22,_1984.txt 2 60 116 
partial Solar_eclipse_of_November_22,_1984.txt 4 78 159 202 237 
from Solar_eclipse_of_November_22,_1984.txt 1 221 
suns Solar_eclipse_of_November_22,_1984.txt 1 58 
over Solar_eclipse_of_November_22,_1984.txt 1 82 
1786 Solar_eclipse_of_November_22,_1984.txt 1 224 
years Solar_eclipse_of_November_22,_1984.txt 3 192 268 295 
including Solar_eclipse_of_November_22,_1984.txt 1 115 
earth Solar_eclipse_of_November_22,_1984.txt 2 25 43 
july Solar_eclipse_of_November_22,_1984.txt 3 167 215 222 
previous Solar_eclipse_of_November_22,_1984.txt 1 173 
subseries Solar_eclipse_of_November_22,_1984.txt 1 287 
note Solar_eclipse_of_November_22,_1984.txt 1 158 
20 Solar_eclipse_of_November_22,_1984.txt 1 168 
22 Solar_eclipse_of_November_22,_1984.txt 2 4 14 
23 Solar_eclipse_of_November_22,_1984.txt 1 114 
28 Solar_eclipse_of_November_22,_1984.txt 1 256 
29 Solar_eclipse_of_November_22,_1984.txt 1 227 
blocking Solar_eclipse_of_November_22,_1984.txt 1 59 
4 Solar_eclipse_of_November_22,_1984.txt 1 147 
nodes Solar_eclipse_of_November_22,_1984.txt 1 153 
thousands Solar_eclipse_of_November_22,_1984.txt 1 86 
into Solar_eclipse_of_November_22,_1984.txt 1 65 
alternating Solar_eclipse_of_November_22,_1984.txt 1 152 
thereby Solar_eclipse_of_November_22,_1984.txt 1 29 
moons Solar_eclipse_of_November_22,_1984.txt 2 51 156 
every Solar_eclipse_of_November_22,_1984.txt 4 143 190 266 293 
longest Solar_eclipse_of_November_22,_1984.txt 1 244 
international Solar_eclipse_of_November_22,_1984.txt 1 105 
day Solar_eclipse_of_November_22,_1984.txt 1 64 
categories Solar_eclipse_of_November_22,_1984.txt 2 302 304 
kilometres Solar_eclipse_of_November_22,_1984.txt 1 88 
edit Solar_eclipse_of_November_22,_1984.txt 6 126 131 180 260 299 301 
january Solar_eclipse_of_November_22,_1984.txt 1 163 
notes Solar_eclipse_of_November_22,_1984.txt 1 298 
across Solar_eclipse_of_November_22,_1984.txt 1 73 
6939.69 Solar_eclipse_of_November_22,_1984.txt 1 269 
25 Solar_eclipse_of_November_22,_1984.txt 2 164 223 
each Solar_eclipse_of_November_22,_1984.txt 1 132 
through Solar_eclipse_of_November_22,_1984.txt 1 225 
repeating Solar_eclipse_of_November_22,_1984.txt 1 189 
cycles Solar_eclipse_of_November_22,_1984.txt 1 274 
lasting Solar_eclipse_of_November_22,_1984.txt 1 271 
set Solar_eclipse_of_November_22,_1984.txt 1 177 
2904 Solar_eclipse_of_November_22,_1984.txt 1 242 
narrow Solar_eclipse_of_November_22,_1984.txt 1 71 
series Solar_eclipse_of_November_22,_1984.txt 5 137 199 230 259 263 
direct Solar_eclipse_of_November_22,_1984.txt 1 61 
pacific Solar_eclipse_of_November_22,_1984.txt 1 100 
surrounding Solar_eclipse_of_November_22,_1984.txt 1 84 
year Solar_eclipse_of_November_22,_1984.txt 1 175 
duration Solar_eclipse_of_November_22,_1984.txt 1 245 
calendar Solar_eclipse_of_November_22,_1984.txt 1 281 
3.8 Solar_eclipse_of_November_22,_1984.txt 1 294 
2543 Solar_eclipse_of_November_22,_1984.txt 1 228 
darkness Solar_eclipse_of_November_22,_1984.txt 1 66 
for Solar_eclipse_of_November_22,_1984.txt 1 39 
sun Solar_eclipse_of_November_22,_1984.txt 2 28 38 
hybrid Solar_eclipse_of_November_22,_1984.txt 1 212 
wikipedia Solar_eclipse_of_November_22,_1984.txt 1 6 
moon Solar_eclipse_of_November_22,_1984.txt 1 22 
lunar Solar_eclipse_of_November_22,_1984.txt 1 174 
between Solar_eclipse_of_November_22,_1984.txt 1 24 
new Solar_eclipse_of_November_22,_1984.txt 1 96 
occurs Solar_eclipse_of_November_22,_1984.txt 3 19 48 68 
be Solar_eclipse_of_November_22,_1984.txt 1 249 
ends Solar_eclipse_of_November_22,_1984.txt 1 231 
turning Solar_eclipse_of_November_22,_1984.txt 1 63 
earths Solar_eclipse_of_November_22,_1984.txt 1 74 
seconds Solar_eclipse_of_November_22,_1984.txt 1 253 
june Solar_eclipse_of_November_22,_1984.txt 1 240 
hours Solar_eclipse_of_November_22,_1984.txt 1 148 
path Solar_eclipse_of_November_22,_1984.txt 2 72 120 
november Solar_eclipse_of_November_22,_1984.txt 3 3 13 113 
on Solar_eclipse_of_November_22,_1984.txt 8 12 42 112 162 205 214 239 254 
about Solar_eclipse_of_November_22,_1984.txt 1 272 
hidden Solar_eclipse_of_November_22,_1984.txt 1 303 
of Solar_eclipse_of_November_22,_1984.txt 11 2 36 87 103 121 129 138 154 185 246 290 
region Solar_eclipse_of_November_22,_1984.txt 1 85 
larger Solar_eclipse_of_November_22,_1984.txt 1 55 
days Solar_eclipse_of_November_22,_1984.txt 4 145 194 270 297 
34 Solar_eclipse_of_November_22,_1984.txt 1 252 
papua Solar_eclipse_of_November_22,_1984.txt 1 95 
april Solar_eclipse_of_November_22,_1984.txt 1 206 
place Solar_eclipse_of_November_22,_1984.txt 1 111 
repeats Solar_eclipse_of_November_22,_1984.txt 3 141 264 288 
or Solar_eclipse_of_November_22,_1984.txt 2 31 292 
72 Solar_eclipse_of_November_22,_1984.txt 2 196 234 
diameter Solar_eclipse_of_November_22,_1984.txt 1 53 
image Solar_eclipse_of_November_22,_1984.txt 1 35 
one Solar_eclipse_of_November_22,_1984.txt 1 211 
visible Solar_eclipse_of_November_22,_1984.txt 2 81 92 
semester Solar_eclipse_of_November_22,_1984.txt 2 136 150 
references Solar_eclipse_of_November_22,_1984.txt 1 300 
approximately Solar_eclipse_of_November_22,_1984.txt 1 142 
177 Solar_eclipse_of_November_22,_1984.txt 1 144 
total Solar_eclipse_of_November_22,_1984.txt 3 8 45 219 
passes Solar_eclipse_of_November_22,_1984.txt 1 23 
1984 Solar_eclipse_of_November_22,_1984.txt 2 5 15 
1982 Solar_eclipse_of_November_22,_1984.txt 2 165 169 
addition Solar_eclipse_of_November_22,_1984.txt 1 284 
west Solar_eclipse_of_November_22,_1984.txt 1 102 
contains Solar_eclipse_of_November_22,_1984.txt 1 210 
sunlight Solar_eclipse_of_November_22,_1984.txt 1 62 
totality Solar_eclipse_of_November_22,_1984.txt 4 67 90 122 247 
6 Solar_eclipse_of_November_22,_1984.txt 1 250 
was Solar_eclipse_of_November_22,_1984.txt 1 91 
1/5 Solar_eclipse_of_November_22,_1984.txt 1 289 
partly Solar_eclipse_of_November_22,_1984.txt 1 32 
that Solar_eclipse_of_November_22,_1984.txt 1 291 
started Solar_eclipse_of_November_22,_1984.txt 1 200 
apparent Solar_eclipse_of_November_22,_1984.txt 1 52 
occurred Solar_eclipse_of_November_22,_1984.txt 1 11 
19821985 Solar_eclipse_of_November_22,_1984.txt 1 130 
part Solar_eclipse_of_November_22,_1984.txt 1 184 
related Solar_eclipse_of_November_22,_1984.txt 1 124 
solar Solar_eclipse_of_November_22,_1984.txt 9 0 9 17 46 79 127 139 160 203 
obscuring Solar_eclipse_of_November_22,_1984.txt 1 33 
line Solar_eclipse_of_November_22,_1984.txt 1 107 
with Solar_eclipse_of_November_22,_1984.txt 2 76 201 
than Solar_eclipse_of_November_22,_1984.txt 1 56 
11 Solar_eclipse_of_November_22,_1984.txt 1 193 
wide Solar_eclipse_of_November_22,_1984.txt 1 89 
october Solar_eclipse_of_November_22,_1984.txt 1 226 
14 Solar_eclipse_of_November_22,_1984.txt 1 216 
17 Solar_eclipse_of_November_22,_1984.txt 1 207 
1624 Solar_eclipse_of_November_22,_1984.txt 1 208 
19 Solar_eclipse_of_November_22,_1984.txt 1 267 
18 Solar_eclipse_of_November_22,_1984.txt 1 191 
eclipse Solar_eclipse_of_November_22,_1984.txt 10 1 10 18 47 80 109 176 204 213 238 
will Solar_eclipse_of_November_22,_1984.txt 1 248 
1387.94 Solar_eclipse_of_November_22,_1984.txt 1 296 
eclipses Solar_eclipse_of_November_22,_1984.txt 7 125 128 140 161 220 265 275 
minutes Solar_eclipse_of_November_22,_1984.txt 1 251 
and Solar_eclipse_of_November_22,_1984.txt 5 26 98 146 166 218 
viewer Solar_eclipse_of_November_22,_1984.txt 1 41 
is Solar_eclipse_of_November_22,_1984.txt 2 54 182 
it Solar_eclipse_of_November_22,_1984.txt 2 181 209 
surface Solar_eclipse_of_November_22,_1984.txt 1 75 
as Solar_eclipse_of_November_22,_1984.txt 1 235 
at Solar_eclipse_of_November_22,_1984.txt 2 151 232 
in Solar_eclipse_of_November_22,_1984.txt 7 69 93 118 134 171 277 283 
occur Solar_eclipse_of_November_22,_1984.txt 2 170 276 
contents Solar_eclipse_of_November_22,_1984.txt 1 123 
containing Solar_eclipse_of_November_22,_1984.txt 1 195 
when Solar_eclipse_of_November_22,_1984.txt 2 20 49 
same Solar_eclipse_of_November_22,_1984.txt 1 280 
member Solar_eclipse_of_November_22,_1984.txt 2 133 233 
5 Solar_eclipse_of_November_22,_1984.txt 2 241 273 
events Solar_eclipse_of_November_22,_1984.txt 1 197 
142 Solar_eclipse_of_November_22,_1984.txt 2 179 188 
may Solar_eclipse_of_November_22,_1984.txt 1 255 
southern Solar_eclipse_of_November_22,_1984.txt 1 99 
took Solar_eclipse_of_November_22,_1984.txt 1 110 
saros Solar_eclipse_of_November_22,_1984.txt 2 178 186 
date Solar_eclipse_of_November_22,_1984.txt 2 106 282 
2291 Solar_eclipse_of_November_22,_1984.txt 1 257 
totally Solar_eclipse_of_November_22,_1984.txt 1 30 
cycle Solar_eclipse_of_November_22,_1984.txt 1 187 
a Solar_eclipse_of_November_22,_1984.txt 10 7 16 40 44 70 83 135 149 183 236 
land Solar_eclipse_of_November_22,_1984.txt 1 117 
indonesia Solar_eclipse_of_November_22,_1984.txt 1 94 
orbit Solar_eclipse_of_November_22,_1984.txt 1 157 
ocean Solar_eclipse_of_November_22,_1984.txt 1 101 
1768 Solar_eclipse_of_November_22,_1984.txt 1 217 
metonic Solar_eclipse_of_November_22,_1984.txt 2 258 262 
guinea Solar_eclipse_of_November_22,_1984.txt 1 97 
octon Solar_eclipse_of_November_22,_1984.txt 1 286 
the Solar_eclipse_of_November_22,_1984.txt 18 21 27 34 37 50 57 77 104 108 119 155 172 198 229 243 261 279 285 
nearly Solar_eclipse_of_November_22,_1984.txt 1 278 
