partial Solar_eclipse_of_November_4,_2078.txt 1 82 
suns Solar_eclipse_of_November_4,_2078.txt 2 59 64 
over Solar_eclipse_of_November_4,_2078.txt 1 84 
lack Solar_eclipse_of_November_4,_2078.txt 1 165 
years Solar_eclipse_of_November_4,_2078.txt 2 152 182 
135 Solar_eclipse_of_November_4,_2078.txt 1 145 
earth Solar_eclipse_of_November_4,_2078.txt 3 26 44 89 
1 Solar_eclipse_of_November_4,_2078.txt 1 154 
blocking Solar_eclipse_of_November_4,_2078.txt 1 60 
to Solar_eclipse_of_November_4,_2078.txt 2 70 163 
4 Solar_eclipse_of_November_4,_2078.txt 3 4 15 117 
nodes Solar_eclipse_of_November_4,_2078.txt 2 123 143 
thousands Solar_eclipse_of_November_4,_2078.txt 1 90 
alternating Solar_eclipse_of_November_4,_2078.txt 2 122 142 
perigee Solar_eclipse_of_November_4,_2078.txt 1 174 
anomalistic Solar_eclipse_of_November_4,_2078.txt 2 170 189 
thereby Solar_eclipse_of_November_4,_2078.txt 1 30 
moons Solar_eclipse_of_November_4,_2078.txt 2 52 126 
synchronization Solar_eclipse_of_November_4,_2078.txt 1 167 
every Solar_eclipse_of_November_4,_2078.txt 2 113 144 
month Solar_eclipse_of_November_4,_2078.txt 2 155 171 
categories Solar_eclipse_of_November_4,_2078.txt 2 203 205 
kilometres Solar_eclipse_of_November_4,_2078.txt 1 92 
like Solar_eclipse_of_November_4,_2078.txt 1 72 
edit Solar_eclipse_of_November_4,_2078.txt 5 97 101 130 199 202 
434.044 Solar_eclipse_of_November_4,_2078.txt 1 188 
each Solar_eclipse_of_November_4,_2078.txt 1 102 
repeating Solar_eclipse_of_November_4,_2078.txt 1 140 
cycles Solar_eclipse_of_November_4,_2078.txt 1 180 
smaller Solar_eclipse_of_November_4,_2078.txt 1 56 
series Solar_eclipse_of_November_4,_2078.txt 2 107 129 
related Solar_eclipse_of_November_4,_2078.txt 1 95 
are Solar_eclipse_of_November_4,_2078.txt 2 160 193 
close Solar_eclipse_of_November_4,_2078.txt 1 187 
for Solar_eclipse_of_November_4,_2078.txt 1 40 
sun Solar_eclipse_of_November_4,_2078.txt 3 29 39 69 
wikipedia Solar_eclipse_of_November_4,_2078.txt 1 6 
moon Solar_eclipse_of_November_4,_2078.txt 1 23 
3 Solar_eclipse_of_November_4,_2078.txt 2 178 184 
2078 Solar_eclipse_of_November_4,_2078.txt 2 5 16 
between Solar_eclipse_of_November_4,_2078.txt 1 25 
occurs Solar_eclipse_of_November_4,_2078.txt 2 20 49 
annular Solar_eclipse_of_November_4,_2078.txt 3 8 46 77 
hours Solar_eclipse_of_November_4,_2078.txt 1 118 
region Solar_eclipse_of_November_4,_2078.txt 1 86 
november Solar_eclipse_of_November_4,_2078.txt 2 3 14 
come Solar_eclipse_of_November_4,_2078.txt 1 186 
appears Solar_eclipse_of_November_4,_2078.txt 1 79 
on Solar_eclipse_of_November_4,_2078.txt 2 13 43 
hidden Solar_eclipse_of_November_4,_2078.txt 1 204 
2076-2079 Solar_eclipse_of_November_4,_2078.txt 1 100 
irregular Solar_eclipse_of_November_4,_2078.txt 1 161 
33 Solar_eclipse_of_November_4,_2078.txt 1 181 
of Solar_eclipse_of_November_4,_2078.txt 11 2 37 62 87 91 108 124 136 166 173 177 
3986.63 Solar_eclipse_of_November_4,_2078.txt 1 148 
months Solar_eclipse_of_November_4,_2078.txt 3 147 185 190 
days Solar_eclipse_of_November_4,_2078.txt 2 115 149 
repeats Solar_eclipse_of_November_4,_2078.txt 1 111 
or Solar_eclipse_of_November_4,_2078.txt 2 32 150 
diameter Solar_eclipse_of_November_4,_2078.txt 1 54 
image Solar_eclipse_of_November_4,_2078.txt 1 36 
period Solar_eclipse_of_November_4,_2078.txt 1 172 
semester Solar_eclipse_of_November_4,_2078.txt 2 106 120 
references Solar_eclipse_of_November_4,_2078.txt 1 198 
177 Solar_eclipse_of_November_4,_2078.txt 1 114 
ring Solar_eclipse_of_November_4,_2078.txt 1 75 
tritos Solar_eclipse_of_November_4,_2078.txt 3 128 138 179 
passes Solar_eclipse_of_November_4,_2078.txt 1 24 
due Solar_eclipse_of_November_4,_2078.txt 1 162 
approximately Solar_eclipse_of_November_4,_2078.txt 1 112 
their Solar_eclipse_of_November_4,_2078.txt 1 156 
partly Solar_eclipse_of_November_4,_2078.txt 1 33 
apparent Solar_eclipse_of_November_4,_2078.txt 1 53 
but Solar_eclipse_of_November_4,_2078.txt 1 175 
part Solar_eclipse_of_November_4,_2078.txt 1 135 
external Solar_eclipse_of_November_4,_2078.txt 1 200 
solar Solar_eclipse_of_November_4,_2078.txt 6 0 9 18 47 98 109 
obscuring Solar_eclipse_of_November_4,_2078.txt 1 34 
with Solar_eclipse_of_November_4,_2078.txt 1 168 
than Solar_eclipse_of_November_4,_2078.txt 1 57 
groupings Solar_eclipse_of_November_4,_2078.txt 2 176 197 
11 Solar_eclipse_of_November_4,_2078.txt 1 151 
wide Solar_eclipse_of_November_4,_2078.txt 1 93 
look Solar_eclipse_of_November_4,_2078.txt 1 71 
this Solar_eclipse_of_November_4,_2078.txt 1 131 
eclipse Solar_eclipse_of_November_4,_2078.txt 7 1 10 19 48 78 83 132 
longitude Solar_eclipse_of_November_4,_2078.txt 1 159 
will Solar_eclipse_of_November_4,_2078.txt 1 11 
eclipses Solar_eclipse_of_November_4,_2078.txt 4 96 99 110 192 
similar Solar_eclipse_of_November_4,_2078.txt 1 194 
minus Solar_eclipse_of_November_4,_2078.txt 2 153 183 
and Solar_eclipse_of_November_4,_2078.txt 4 27 66 116 158 
links Solar_eclipse_of_November_4,_2078.txt 1 201 
viewer Solar_eclipse_of_November_4,_2078.txt 1 42 
is Solar_eclipse_of_November_4,_2078.txt 2 55 133 
an Solar_eclipse_of_November_4,_2078.txt 4 7 45 73 76 
as Solar_eclipse_of_November_4,_2078.txt 1 80 
at Solar_eclipse_of_November_4,_2078.txt 2 121 141 
in Solar_eclipse_of_November_4,_2078.txt 2 104 195 
appearance Solar_eclipse_of_November_4,_2078.txt 1 157 
synodic Solar_eclipse_of_November_4,_2078.txt 1 146 
occur Solar_eclipse_of_November_4,_2078.txt 1 12 
contents Solar_eclipse_of_November_4,_2078.txt 1 94 
these Solar_eclipse_of_November_4,_2078.txt 1 196 
when Solar_eclipse_of_November_4,_2078.txt 2 21 50 
member Solar_eclipse_of_November_4,_2078.txt 1 103 
causing Solar_eclipse_of_November_4,_2078.txt 1 67 
most Solar_eclipse_of_November_4,_2078.txt 1 61 
totally Solar_eclipse_of_November_4,_2078.txt 1 31 
cycle Solar_eclipse_of_November_4,_2078.txt 1 139 
a Solar_eclipse_of_November_4,_2078.txt 9 17 41 81 85 105 119 134 137 164 
annulus Solar_eclipse_of_November_4,_2078.txt 1 74 
light Solar_eclipse_of_November_4,_2078.txt 1 65 
orbit Solar_eclipse_of_November_4,_2078.txt 1 127 
so Solar_eclipse_of_November_4,_2078.txt 1 191 
the Solar_eclipse_of_November_4,_2078.txt 11 22 28 35 38 51 58 63 68 88 125 169 
