partial Solar_eclipse_of_October_12,_1996.txt 2 8 45 
years Solar_eclipse_of_October_12,_1996.txt 2 124 151 
earth Solar_eclipse_of_October_12,_1996.txt 4 25 43 55 65 
subseries Solar_eclipse_of_October_12,_1996.txt 1 143 
regions Solar_eclipse_of_October_12,_1996.txt 1 52 
4 Solar_eclipse_of_October_12,_1996.txt 1 103 
nodes Solar_eclipse_of_October_12,_1996.txt 1 109 
alternating Solar_eclipse_of_October_12,_1996.txt 1 108 
thereby Solar_eclipse_of_October_12,_1996.txt 1 29 
moons Solar_eclipse_of_October_12,_1996.txt 2 61 112 
12 Solar_eclipse_of_October_12,_1996.txt 2 4 14 
every Solar_eclipse_of_October_12,_1996.txt 3 99 122 149 
nearly Solar_eclipse_of_October_12,_1996.txt 1 134 
shadow Solar_eclipse_of_October_12,_1996.txt 1 62 
categories Solar_eclipse_of_October_12,_1996.txt 2 156 158 
edit Solar_eclipse_of_October_12,_1996.txt 5 68 83 87 116 155 
6939.69 Solar_eclipse_of_October_12,_1996.txt 1 125 
each Solar_eclipse_of_October_12,_1996.txt 1 88 
cycles Solar_eclipse_of_October_12,_1996.txt 1 130 
lasting Solar_eclipse_of_October_12,_1996.txt 1 127 
series Solar_eclipse_of_October_12,_1996.txt 3 93 115 119 
related Solar_eclipse_of_October_12,_1996.txt 1 81 
images Solar_eclipse_of_October_12,_1996.txt 1 67 
calendar Solar_eclipse_of_October_12,_1996.txt 1 137 
3.8 Solar_eclipse_of_October_12,_1996.txt 1 150 
for Solar_eclipse_of_October_12,_1996.txt 1 39 
sun Solar_eclipse_of_October_12,_1996.txt 2 28 38 
wikipedia Solar_eclipse_of_October_12,_1996.txt 1 6 
moon Solar_eclipse_of_October_12,_1996.txt 1 22 
misses Solar_eclipse_of_October_12,_1996.txt 1 63 
between Solar_eclipse_of_October_12,_1996.txt 1 24 
occurs Solar_eclipse_of_October_12,_1996.txt 2 19 48 
hours Solar_eclipse_of_October_12,_1996.txt 1 104 
on Solar_eclipse_of_October_12,_1996.txt 2 12 42 
about Solar_eclipse_of_October_12,_1996.txt 1 128 
of Solar_eclipse_of_October_12,_1996.txt 7 2 36 53 59 94 110 146 
days Solar_eclipse_of_October_12,_1996.txt 3 101 126 153 
repeats Solar_eclipse_of_October_12,_1996.txt 3 97 120 144 
or Solar_eclipse_of_October_12,_1996.txt 2 31 148 
image Solar_eclipse_of_October_12,_1996.txt 1 35 
semester Solar_eclipse_of_October_12,_1996.txt 2 92 106 
references Solar_eclipse_of_October_12,_1996.txt 1 154 
177 Solar_eclipse_of_October_12,_1996.txt 1 100 
passes Solar_eclipse_of_October_12,_1996.txt 1 23 
addition Solar_eclipse_of_October_12,_1996.txt 1 140 
approximately Solar_eclipse_of_October_12,_1996.txt 1 98 
1/5 Solar_eclipse_of_October_12,_1996.txt 1 145 
partly Solar_eclipse_of_October_12,_1996.txt 1 32 
19931996 Solar_eclipse_of_October_12,_1996.txt 1 86 
that Solar_eclipse_of_October_12,_1996.txt 1 147 
occurred Solar_eclipse_of_October_12,_1996.txt 1 11 
glass Solar_eclipse_of_October_12,_1996.txt 1 76 
western Solar_eclipse_of_October_12,_1996.txt 1 78 
solar Solar_eclipse_of_October_12,_1996.txt 7 0 9 17 46 72 84 95 
child Solar_eclipse_of_October_12,_1996.txt 1 70 
obscuring Solar_eclipse_of_October_12,_1996.txt 1 33 
with Solar_eclipse_of_October_12,_1996.txt 1 74 
hidden Solar_eclipse_of_October_12,_1996.txt 1 157 
october Solar_eclipse_of_October_12,_1996.txt 2 3 13 
1996 Solar_eclipse_of_October_12,_1996.txt 2 5 15 
19 Solar_eclipse_of_October_12,_1996.txt 1 123 
eclipse Solar_eclipse_of_October_12,_1996.txt 5 1 10 18 47 73 
1387.94 Solar_eclipse_of_October_12,_1996.txt 1 152 
eclipses Solar_eclipse_of_October_12,_1996.txt 5 82 85 96 121 131 
and Solar_eclipse_of_October_12,_1996.txt 2 26 102 
viewer Solar_eclipse_of_October_12,_1996.txt 1 41 
at Solar_eclipse_of_October_12,_1996.txt 1 107 
in Solar_eclipse_of_October_12,_1996.txt 5 49 77 90 133 139 
occur Solar_eclipse_of_October_12,_1996.txt 1 132 
contents Solar_eclipse_of_October_12,_1996.txt 1 66 
when Solar_eclipse_of_October_12,_1996.txt 2 20 56 
same Solar_eclipse_of_October_12,_1996.txt 1 136 
member Solar_eclipse_of_October_12,_1996.txt 1 89 
animation Solar_eclipse_of_October_12,_1996.txt 1 80 
5 Solar_eclipse_of_October_12,_1996.txt 1 129 
polar Solar_eclipse_of_October_12,_1996.txt 1 51 
viewing Solar_eclipse_of_October_12,_1996.txt 1 71 
date Solar_eclipse_of_October_12,_1996.txt 1 138 
totally Solar_eclipse_of_October_12,_1996.txt 1 30 
a Solar_eclipse_of_October_12,_1996.txt 7 7 16 40 44 69 91 105 
center Solar_eclipse_of_October_12,_1996.txt 1 58 
poland Solar_eclipse_of_October_12,_1996.txt 1 79 
orbit Solar_eclipse_of_October_12,_1996.txt 1 113 
metonic Solar_eclipse_of_October_12,_1996.txt 2 114 118 
octon Solar_eclipse_of_October_12,_1996.txt 1 142 
the Solar_eclipse_of_October_12,_1996.txt 13 21 27 34 37 50 54 57 60 64 111 117 135 141 
smoked Solar_eclipse_of_October_12,_1996.txt 1 75 
