and Solar_eclipse_of_October_14,_2004.txt 2 26 92 
partial Solar_eclipse_of_October_14,_2004.txt 2 8 45 
links Solar_eclipse_of_October_14,_2004.txt 1 110 
viewer Solar_eclipse_of_October_14,_2004.txt 1 41 
wikipedia Solar_eclipse_of_October_14,_2004.txt 1 6 
image Solar_eclipse_of_October_14,_2004.txt 1 35 
related Solar_eclipse_of_October_14,_2004.txt 1 71 
orbit Solar_eclipse_of_October_14,_2004.txt 1 103 
hidden Solar_eclipse_of_October_14,_2004.txt 1 114 
177 Solar_eclipse_of_October_14,_2004.txt 1 90 
semester Solar_eclipse_of_October_14,_2004.txt 2 82 96 
20042007 Solar_eclipse_of_October_14,_2004.txt 1 76 
references Solar_eclipse_of_October_14,_2004.txt 1 107 
at Solar_eclipse_of_October_14,_2004.txt 1 97 
in Solar_eclipse_of_October_14,_2004.txt 2 49 80 
images Solar_eclipse_of_October_14,_2004.txt 1 67 
earth Solar_eclipse_of_October_14,_2004.txt 4 25 43 55 65 
path Solar_eclipse_of_October_14,_2004.txt 1 70 
contents Solar_eclipse_of_October_14,_2004.txt 1 66 
member Solar_eclipse_of_October_14,_2004.txt 1 79 
passes Solar_eclipse_of_October_14,_2004.txt 1 23 
for Solar_eclipse_of_October_14,_2004.txt 1 39 
series Solar_eclipse_of_October_14,_2004.txt 2 83 105 
sun Solar_eclipse_of_October_14,_2004.txt 2 28 38 
when Solar_eclipse_of_October_14,_2004.txt 2 20 56 
approximately Solar_eclipse_of_October_14,_2004.txt 1 88 
moon Solar_eclipse_of_October_14,_2004.txt 1 22 
regions Solar_eclipse_of_October_14,_2004.txt 1 52 
misses Solar_eclipse_of_October_14,_2004.txt 1 63 
13-14 Solar_eclipse_of_October_14,_2004.txt 1 14 
4 Solar_eclipse_of_October_14,_2004.txt 1 93 
between Solar_eclipse_of_October_14,_2004.txt 1 24 
nodes Solar_eclipse_of_October_14,_2004.txt 1 99 
occurs Solar_eclipse_of_October_14,_2004.txt 2 19 48 
alternating Solar_eclipse_of_October_14,_2004.txt 1 98 
polar Solar_eclipse_of_October_14,_2004.txt 1 51 
partly Solar_eclipse_of_October_14,_2004.txt 1 32 
metonic Solar_eclipse_of_October_14,_2004.txt 1 104 
thereby Solar_eclipse_of_October_14,_2004.txt 1 29 
repeats Solar_eclipse_of_October_14,_2004.txt 1 87 
moons Solar_eclipse_of_October_14,_2004.txt 2 61 102 
occurred Solar_eclipse_of_October_14,_2004.txt 1 11 
hours Solar_eclipse_of_October_14,_2004.txt 1 94 
photos Solar_eclipse_of_October_14,_2004.txt 1 112 
every Solar_eclipse_of_October_14,_2004.txt 1 89 
external Solar_eclipse_of_October_14,_2004.txt 1 109 
solar Solar_eclipse_of_October_14,_2004.txt 6 0 9 17 46 74 85 
obscuring Solar_eclipse_of_October_14,_2004.txt 1 33 
shadow Solar_eclipse_of_October_14,_2004.txt 1 62 
totally Solar_eclipse_of_October_14,_2004.txt 1 30 
eclipses Solar_eclipse_of_October_14,_2004.txt 3 72 75 86 
categories Solar_eclipse_of_October_14,_2004.txt 2 113 115 
center Solar_eclipse_of_October_14,_2004.txt 1 58 
a Solar_eclipse_of_October_14,_2004.txt 6 7 16 40 44 81 95 
on Solar_eclipse_of_October_14,_2004.txt 2 12 42 
october Solar_eclipse_of_October_14,_2004.txt 2 3 13 
14 Solar_eclipse_of_October_14,_2004.txt 1 4 
edit Solar_eclipse_of_October_14,_2004.txt 6 68 73 77 106 108 111 
of Solar_eclipse_of_October_14,_2004.txt 6 2 36 53 59 84 100 
eclipse Solar_eclipse_of_October_14,_2004.txt 4 1 10 18 47 
days Solar_eclipse_of_October_14,_2004.txt 1 91 
2004 Solar_eclipse_of_October_14,_2004.txt 2 5 15 
each Solar_eclipse_of_October_14,_2004.txt 1 78 
the Solar_eclipse_of_October_14,_2004.txt 10 21 27 34 37 50 54 57 60 64 101 
animated Solar_eclipse_of_October_14,_2004.txt 1 69 
or Solar_eclipse_of_October_14,_2004.txt 1 31 
