all Solar_eclipse_of_October_23,_1976.txt 1 60 
partial Solar_eclipse_of_October_23,_1976.txt 3 78 229 276 
just Solar_eclipse_of_October_23,_1976.txt 2 110 165 
september Solar_eclipse_of_October_23,_1976.txt 1 279 
suns Solar_eclipse_of_October_23,_1976.txt 1 58 
over Solar_eclipse_of_October_23,_1976.txt 1 82 
years Solar_eclipse_of_October_23,_1976.txt 3 218 322 349 
133 Solar_eclipse_of_October_23,_1976.txt 2 210 214 
through Solar_eclipse_of_October_23,_1976.txt 2 244 264 
farther Solar_eclipse_of_October_23,_1976.txt 1 307 
earth Solar_eclipse_of_October_23,_1976.txt 2 25 43 
atoll Solar_eclipse_of_October_23,_1976.txt 2 132 135 
24 Solar_eclipse_of_October_23,_1976.txt 1 254 
shorter Solar_eclipse_of_October_23,_1976.txt 1 305 
1544 Solar_eclipse_of_October_23,_1976.txt 1 255 
categories Solar_eclipse_of_October_23,_1976.txt 2 356 358 
20 Solar_eclipse_of_October_23,_1976.txt 1 242 
21 Solar_eclipse_of_October_23,_1976.txt 1 266 
23 Solar_eclipse_of_October_23,_1976.txt 2 4 14 
3 Solar_eclipse_of_October_23,_1976.txt 1 262 
blocking Solar_eclipse_of_October_23,_1976.txt 1 59 
4 Solar_eclipse_of_October_23,_1976.txt 1 198 
nodes Solar_eclipse_of_October_23,_1976.txt 1 204 
has Solar_eclipse_of_October_23,_1976.txt 1 257 
thousands Solar_eclipse_of_October_23,_1976.txt 1 86 
into Solar_eclipse_of_October_23,_1976.txt 1 65 
3.8 Solar_eclipse_of_October_23,_1976.txt 1 348 
alternating Solar_eclipse_of_October_23,_1976.txt 1 203 
then Solar_eclipse_of_October_23,_1976.txt 1 122 
australia Solar_eclipse_of_October_23,_1976.txt 1 143 
thereby Solar_eclipse_of_October_23,_1976.txt 1 29 
moons Solar_eclipse_of_October_23,_1976.txt 2 51 207 
every Solar_eclipse_of_October_23,_1976.txt 4 194 216 320 347 
longest Solar_eclipse_of_October_23,_1976.txt 1 283 
dar Solar_eclipse_of_October_23,_1976.txt 1 118 
day Solar_eclipse_of_October_23,_1976.txt 1 64 
nearly Solar_eclipse_of_October_23,_1976.txt 1 332 
2499 Solar_eclipse_of_October_23,_1976.txt 1 281 
kilometres Solar_eclipse_of_October_23,_1976.txt 1 88 
february Solar_eclipse_of_October_23,_1976.txt 1 261 
edit Solar_eclipse_of_October_23,_1976.txt 6 177 182 211 314 353 355 
january Solar_eclipse_of_October_23,_1976.txt 2 245 253 
notes Solar_eclipse_of_October_23,_1976.txt 1 352 
50 Solar_eclipse_of_October_23,_1976.txt 1 290 
across Solar_eclipse_of_October_23,_1976.txt 1 73 
