all Solar_eclipse_of_October_27,_1780.txt 2 60 134 
partial Solar_eclipse_of_October_27,_1780.txt 1 78 
1780 Solar_eclipse_of_October_27,_1780.txt 2 5 15 
suns Solar_eclipse_of_October_27,_1780.txt 1 58 
over Solar_eclipse_of_October_27,_1780.txt 1 82 
earth Solar_eclipse_of_October_27,_1780.txt 2 25 43 
negotiated Solar_eclipse_of_October_27,_1780.txt 1 119 
27 Solar_eclipse_of_October_27,_1780.txt 2 4 14 
blocking Solar_eclipse_of_October_27,_1780.txt 1 59 
to Solar_eclipse_of_October_27,_1780.txt 2 123 127 
hidden Solar_eclipse_of_October_27,_1780.txt 1 188 
thousands Solar_eclipse_of_October_27,_1780.txt 1 86 
into Solar_eclipse_of_October_27,_1780.txt 1 65 
sent Solar_eclipse_of_October_27,_1780.txt 1 107 
thereby Solar_eclipse_of_October_27,_1780.txt 1 29 
between Solar_eclipse_of_October_27,_1780.txt 1 24 
120 Solar_eclipse_of_October_27,_1780.txt 1 179 
saros Solar_eclipse_of_October_27,_1780.txt 1 178 
they Solar_eclipse_of_October_27,_1780.txt 1 141 
during Solar_eclipse_of_October_27,_1780.txt 1 93 
day Solar_eclipse_of_October_27,_1780.txt 1 64 
categories Solar_eclipse_of_October_27,_1780.txt 2 187 189 
kilometres Solar_eclipse_of_October_27,_1780.txt 1 88 
edit Solar_eclipse_of_October_27,_1780.txt 5 92 171 182 184 186 
notes Solar_eclipse_of_October_27,_1780.txt 1 183 
across Solar_eclipse_of_October_27,_1780.txt 1 73 
embryonic Solar_eclipse_of_October_27,_1780.txt 1 157 
because Solar_eclipse_of_October_27,_1780.txt 1 140 
direct Solar_eclipse_of_October_27,_1780.txt 1 61 
related Solar_eclipse_of_October_27,_1780.txt 1 169 
surrounding Solar_eclipse_of_October_27,_1780.txt 1 84 
see Solar_eclipse_of_October_27,_1780.txt 1 180 
college Solar_eclipse_of_October_27,_1780.txt 1 111 
special Solar_eclipse_of_October_27,_1780.txt 1 115 
out Solar_eclipse_of_October_27,_1780.txt 1 108 
darkness Solar_eclipse_of_October_27,_1780.txt 1 66 
for Solar_eclipse_of_October_27,_1780.txt 3 39 156 163 
sun Solar_eclipse_of_October_27,_1780.txt 2 28 38 
wikipedia Solar_eclipse_of_October_27,_1780.txt 1 6 
moon Solar_eclipse_of_October_27,_1780.txt 1 22 
outside Solar_eclipse_of_October_27,_1780.txt 1 145 
scientists Solar_eclipse_of_October_27,_1780.txt 1 126 
occurs Solar_eclipse_of_October_27,_1780.txt 3 19 48 68 
turning Solar_eclipse_of_October_27,_1780.txt 1 63 
chose Solar_eclipse_of_October_27,_1780.txt 1 142 
earths Solar_eclipse_of_October_27,_1780.txt 1 74 
agreement Solar_eclipse_of_October_27,_1780.txt 1 117 
blame Solar_eclipse_of_October_27,_1780.txt 1 160 
incident Solar_eclipse_of_October_27,_1780.txt 1 155 
harvard Solar_eclipse_of_October_27,_1780.txt 2 110 131 
path Solar_eclipse_of_October_27,_1780.txt 3 72 147 166 
revolutionary Solar_eclipse_of_October_27,_1780.txt 1 96 
on Solar_eclipse_of_October_27,_1780.txt 2 12 42 
of Solar_eclipse_of_October_27,_1780.txt 7 2 36 87 148 152 167 176 
region Solar_eclipse_of_October_27,_1780.txt 1 85 
larger Solar_eclipse_of_October_27,_1780.txt 1 55 
british Solar_eclipse_of_October_27,_1780.txt 1 122 
american Solar_eclipse_of_October_27,_1780.txt 3 95 100 158 
efforts Solar_eclipse_of_October_27,_1780.txt 1 136 
narrow Solar_eclipse_of_October_27,_1780.txt 1 71 
or Solar_eclipse_of_October_27,_1780.txt 1 31 
first Solar_eclipse_of_October_27,_1780.txt 1 99 
diameter Solar_eclipse_of_October_27,_1780.txt 1 53 
image Solar_eclipse_of_October_27,_1780.txt 1 35 
visible Solar_eclipse_of_October_27,_1780.txt 1 81 
references Solar_eclipse_of_October_27,_1780.txt 1 185 
total Solar_eclipse_of_October_27,_1780.txt 2 8 45 
passes Solar_eclipse_of_October_27,_1780.txt 1 23 
from Solar_eclipse_of_October_27,_1780.txt 1 109 
sunlight Solar_eclipse_of_October_27,_1780.txt 1 62 
their Solar_eclipse_of_October_27,_1780.txt 1 135 
observations Solar_eclipse_of_October_27,_1780.txt 1 91 
totality Solar_eclipse_of_October_27,_1780.txt 3 67 149 168 
was Solar_eclipse_of_October_27,_1780.txt 2 104 118 
war Solar_eclipse_of_October_27,_1780.txt 1 97 
williams Solar_eclipse_of_October_27,_1780.txt 1 162 
partly Solar_eclipse_of_October_27,_1780.txt 1 32 
apparent Solar_eclipse_of_October_27,_1780.txt 1 52 
occurred Solar_eclipse_of_October_27,_1780.txt 1 11 
