just Solar_eclipse_of_October_3,_1986.txt 1 73 
tip Solar_eclipse_of_October_3,_1986.txt 1 78 
years Solar_eclipse_of_October_3,_1986.txt 2 177 204 
earth Solar_eclipse_of_October_3,_1986.txt 1 88 
its Solar_eclipse_of_October_3,_1986.txt 1 30 
subseries Solar_eclipse_of_October_3,_1986.txt 1 196 
only Solar_eclipse_of_October_3,_1986.txt 2 96 126 
4 Solar_eclipse_of_October_3,_1986.txt 1 156 
nodes Solar_eclipse_of_October_3,_1986.txt 1 162 
east Solar_eclipse_of_October_3,_1986.txt 1 74 
alternating Solar_eclipse_of_October_3,_1986.txt 1 161 
elevation Solar_eclipse_of_October_3,_1986.txt 1 110 
repeats Solar_eclipse_of_October_3,_1986.txt 3 150 173 197 
very Solar_eclipse_of_October_3,_1986.txt 1 59 
moons Solar_eclipse_of_October_3,_1986.txt 1 165 
124 Solar_eclipse_of_October_3,_1986.txt 1 123 
nearly Solar_eclipse_of_October_3,_1986.txt 1 187 
not Solar_eclipse_of_October_3,_1986.txt 1 48 
during Solar_eclipse_of_October_3,_1986.txt 1 43 
categories Solar_eclipse_of_October_3,_1986.txt 2 212 214 
edit Solar_eclipse_of_October_3,_1986.txt 5 135 140 169 208 211 
did Solar_eclipse_of_October_3,_1986.txt 1 47 
6939.69 Solar_eclipse_of_October_3,_1986.txt 1 178 
either Solar_eclipse_of_October_3,_1986.txt 1 35 
each Solar_eclipse_of_October_3,_1986.txt 1 141 
cycles Solar_eclipse_of_October_3,_1986.txt 1 183 
lasting Solar_eclipse_of_October_3,_1986.txt 1 180 
greenland Solar_eclipse_of_October_3,_1986.txt 2 80 104 
series Solar_eclipse_of_October_3,_1986.txt 2 146 172 
related Solar_eclipse_of_October_3,_1986.txt 1 133 
19 Solar_eclipse_of_October_3,_1986.txt 1 176 
duration Solar_eclipse_of_October_3,_1986.txt 1 31 
calendar Solar_eclipse_of_October_3,_1986.txt 1 190 
event Solar_eclipse_of_October_3,_1986.txt 1 20 
3.8 Solar_eclipse_of_October_3,_1986.txt 1 203 
for Solar_eclipse_of_October_3,_1986.txt 2 27 57 
wikipedia Solar_eclipse_of_October_3,_1986.txt 1 6 
1986-1989 Solar_eclipse_of_October_3,_1986.txt 1 139 
3 Solar_eclipse_of_October_3,_1986.txt 2 4 14 
between Solar_eclipse_of_October_3,_1986.txt 1 101 
officially Solar_eclipse_of_October_3,_1986.txt 1 49 
satisfy Solar_eclipse_of_October_3,_1986.txt 1 50 
seconds Solar_eclipse_of_October_3,_1986.txt 1 65 
annular Solar_eclipse_of_October_3,_1986.txt 1 26 
hours Solar_eclipse_of_October_3,_1986.txt 1 157 
path Solar_eclipse_of_October_3,_1986.txt 1 82 
beginning Solar_eclipse_of_October_3,_1986.txt 1 38 
on Solar_eclipse_of_October_3,_1986.txt 2 12 83 
about Solar_eclipse_of_October_3,_1986.txt 2 112 181 
central Solar_eclipse_of_October_3,_1986.txt 1 119 
of Solar_eclipse_of_October_3,_1986.txt 12 2 29 53 75 79 86 121 129 138 147 163 199 
