all Solar_eclipse_of_September_2,_2035.txt 1 61 
partial Solar_eclipse_of_September_2,_2035.txt 3 79 197 242 
september Solar_eclipse_of_September_2,_2035.txt 3 3 14 231 
suns Solar_eclipse_of_September_2,_2035.txt 1 59 
over Solar_eclipse_of_September_2,_2035.txt 1 83 
years Solar_eclipse_of_September_2,_2035.txt 3 184 278 305 
through Solar_eclipse_of_September_2,_2035.txt 1 230 
asian Solar_eclipse_of_September_2,_2035.txt 1 116 
earth Solar_eclipse_of_September_2,_2035.txt 2 26 44 
subseries Solar_eclipse_of_September_2,_2035.txt 1 297 
25 Solar_eclipse_of_September_2,_2035.txt 1 255 
2522 Solar_eclipse_of_September_2,_2035.txt 1 256 
29 Solar_eclipse_of_September_2,_2035.txt 1 228 
blocking Solar_eclipse_of_September_2,_2035.txt 1 60 
4 Solar_eclipse_of_September_2,_2035.txt 2 157 202 
8 Solar_eclipse_of_September_2,_2035.txt 1 187 
nodes Solar_eclipse_of_September_2,_2035.txt 1 163 
thousands Solar_eclipse_of_September_2,_2035.txt 1 87 
into Solar_eclipse_of_September_2,_2035.txt 1 66 
alternating Solar_eclipse_of_September_2,_2035.txt 1 162 
thereby Solar_eclipse_of_September_2,_2035.txt 1 30 
represents Solar_eclipse_of_September_2,_2035.txt 1 104 
between Solar_eclipse_of_September_2,_2035.txt 1 25 
every Solar_eclipse_of_September_2,_2035.txt 4 153 182 276 303 
longest Solar_eclipse_of_September_2,_2035.txt 1 249 
shadow Solar_eclipse_of_September_2,_2035.txt 1 98 
day Solar_eclipse_of_September_2,_2035.txt 1 65 
categories Solar_eclipse_of_September_2,_2035.txt 2 313 315 
kilometres Solar_eclipse_of_September_2,_2035.txt 1 89 
edit Solar_eclipse_of_September_2,_2035.txt 7 93 136 141 170 270 309 312 
january Solar_eclipse_of_September_2,_2035.txt 1 201 
across Solar_eclipse_of_September_2,_2035.txt 1 74 
19 Solar_eclipse_of_September_2,_2035.txt 1 277 
6939.69 Solar_eclipse_of_September_2,_2035.txt 1 279 
each Solar_eclipse_of_September_2,_2035.txt 1 142 
repeating Solar_eclipse_of_September_2,_2035.txt 1 181 
cycles Solar_eclipse_of_September_2,_2035.txt 1 284 
lasting Solar_eclipse_of_September_2,_2035.txt 1 281 
series Solar_eclipse_of_September_2,_2035.txt 5 147 193 235 269 273 
1909 Solar_eclipse_of_September_2,_2035.txt 1 222 
direct Solar_eclipse_of_September_2,_2035.txt 1 62 
related Solar_eclipse_of_September_2,_2035.txt 1 134 
surrounding Solar_eclipse_of_September_2,_2035.txt 1 85 
pass Solar_eclipse_of_September_2,_2035.txt 1 127 
duration Solar_eclipse_of_September_2,_2035.txt 1 260 
calendar Solar_eclipse_of_September_2,_2035.txt 1 291 
event Solar_eclipse_of_September_2,_2035.txt 1 218 
3.8 Solar_eclipse_of_September_2,_2035.txt 1 304 
darkness Solar_eclipse_of_September_2,_2035.txt 1 67 
for Solar_eclipse_of_September_2,_2035.txt 1 40 
sun Solar_eclipse_of_September_2,_2035.txt 2 29 39 
hybrid Solar_eclipse_of_September_2,_2035.txt 1 217 
wikipedia Solar_eclipse_of_September_2,_2035.txt 1 6 
moon Solar_eclipse_of_September_2,_2035.txt 1 23 
7 Solar_eclipse_of_September_2,_2035.txt 1 264 
capital Solar_eclipse_of_September_2,_2035.txt 1 117 
occurs Solar_eclipse_of_September_2,_2035.txt 3 20 49 69 
ends Solar_eclipse_of_September_2,_2035.txt 1 236 
korea Solar_eclipse_of_September_2,_2035.txt 1 124 
turning Solar_eclipse_of_September_2,_2035.txt 1 64 
earths Solar_eclipse_of_September_2,_2035.txt 1 75 
seconds Solar_eclipse_of_September_2,_2035.txt 1 267 
annular Solar_eclipse_of_September_2,_2035.txt 1 208 
hours Solar_eclipse_of_September_2,_2035.txt 2 158 188 
china Solar_eclipse_of_September_2,_2035.txt 1 120 
path Solar_eclipse_of_September_2,_2035.txt 3 73 106 110 
