partial Solar_eclipse_of_September_22,_2006.txt 1 81 
september Solar_eclipse_of_September_22,_2006.txt 2 3 13 
suns Solar_eclipse_of_September_22,_2006.txt 2 58 63 
over Solar_eclipse_of_September_22,_2006.txt 1 83 
years Solar_eclipse_of_September_22,_2006.txt 2 163 190 
through Solar_eclipse_of_September_22,_2006.txt 1 101 
earth Solar_eclipse_of_September_22,_2006.txt 3 25 43 88 
subseries Solar_eclipse_of_September_22,_2006.txt 1 182 
northern Solar_eclipse_of_September_22,_2006.txt 1 106 
2004-2007 Solar_eclipse_of_September_22,_2006.txt 1 125 
to Solar_eclipse_of_September_22,_2006.txt 1 69 
4 Solar_eclipse_of_September_22,_2006.txt 1 142 
nodes Solar_eclipse_of_September_22,_2006.txt 1 148 
thousands Solar_eclipse_of_September_22,_2006.txt 1 89 
alternating Solar_eclipse_of_September_22,_2006.txt 1 147 
thereby Solar_eclipse_of_September_22,_2006.txt 1 29 
moons Solar_eclipse_of_September_22,_2006.txt 2 51 151 
every Solar_eclipse_of_September_22,_2006.txt 3 138 161 188 
nearly Solar_eclipse_of_September_22,_2006.txt 1 173 
categories Solar_eclipse_of_September_22,_2006.txt 1 199 
kilometres Solar_eclipse_of_September_22,_2006.txt 1 91 
like Solar_eclipse_of_September_22,_2006.txt 1 71 
edit Solar_eclipse_of_September_22,_2006.txt 6 119 122 126 155 194 197 
19 Solar_eclipse_of_September_22,_2006.txt 1 162 
6939.69 Solar_eclipse_of_September_22,_2006.txt 1 164 
each Solar_eclipse_of_September_22,_2006.txt 1 127 
cycles Solar_eclipse_of_September_22,_2006.txt 1 169 
lasting Solar_eclipse_of_September_22,_2006.txt 1 166 
smaller Solar_eclipse_of_September_22,_2006.txt 1 55 
guiana Solar_eclipse_of_September_22,_2006.txt 1 105 
series Solar_eclipse_of_September_22,_2006.txt 3 132 154 158 
related Solar_eclipse_of_September_22,_2006.txt 1 120 
images Solar_eclipse_of_September_22,_2006.txt 1 118 
calendar Solar_eclipse_of_September_22,_2006.txt 1 176 
roraima Solar_eclipse_of_September_22,_2006.txt 1 109 
brazil Solar_eclipse_of_September_22,_2006.txt 1 113 
for Solar_eclipse_of_September_22,_2006.txt 1 39 
sun Solar_eclipse_of_September_22,_2006.txt 3 28 38 68 
wikipedia Solar_eclipse_of_September_22,_2006.txt 1 6 
moon Solar_eclipse_of_September_22,_2006.txt 1 22 
between Solar_eclipse_of_September_22,_2006.txt 1 24 
occurs Solar_eclipse_of_September_22,_2006.txt 2 19 48 
annularity Solar_eclipse_of_September_22,_2006.txt 1 96 
annular Solar_eclipse_of_September_22,_2006.txt 3 8 45 76 
french Solar_eclipse_of_September_22,_2006.txt 1 104 
hours Solar_eclipse_of_September_22,_2006.txt 1 143 
path Solar_eclipse_of_September_22,_2006.txt 1 94 
appears Solar_eclipse_of_September_22,_2006.txt 1 78 
on Solar_eclipse_of_September_22,_2006.txt 2 12 42 
about Solar_eclipse_of_September_22,_2006.txt 1 167 
22 Solar_eclipse_of_September_22,_2006.txt 2 4 14 
