and Solar_eclipse_of_September_23,_1699.txt 1 26 
diameter Solar_eclipse_of_September_23,_1699.txt 1 53 
all Solar_eclipse_of_September_23,_1699.txt 1 60 
partial Solar_eclipse_of_September_23,_1699.txt 1 78 
just Solar_eclipse_of_September_23,_1699.txt 1 95 
september Solar_eclipse_of_September_23,_1699.txt 2 3 13 
wikipedia Solar_eclipse_of_September_23,_1699.txt 1 6 
image Solar_eclipse_of_September_23,_1699.txt 1 35 
direct Solar_eclipse_of_September_23,_1699.txt 1 61 
surface Solar_eclipse_of_September_23,_1699.txt 1 75 
references Solar_eclipse_of_September_23,_1699.txt 1 118 
visible Solar_eclipse_of_September_23,_1699.txt 1 81 
see Solar_eclipse_of_September_23,_1699.txt 1 115 
suns Solar_eclipse_of_September_23,_1699.txt 1 58 
in Solar_eclipse_of_September_23,_1699.txt 1 69 
earth Solar_eclipse_of_September_23,_1699.txt 2 25 43 
139 Solar_eclipse_of_September_23,_1699.txt 1 114 
total Solar_eclipse_of_September_23,_1699.txt 2 8 45 
passes Solar_eclipse_of_September_23,_1699.txt 1 23 
kilometres Solar_eclipse_of_September_23,_1699.txt 1 88 
north-east Solar_eclipse_of_September_23,_1699.txt 1 98 
darkness Solar_eclipse_of_September_23,_1699.txt 1 66 
for Solar_eclipse_of_September_23,_1699.txt 1 39 
23 Solar_eclipse_of_September_23,_1699.txt 2 4 14 
sun Solar_eclipse_of_September_23,_1699.txt 2 28 38 
when Solar_eclipse_of_September_23,_1699.txt 2 20 49 
sunlight Solar_eclipse_of_September_23,_1699.txt 1 62 
moon Solar_eclipse_of_September_23,_1699.txt 1 22 
eclipses Solar_eclipse_of_September_23,_1699.txt 1 105 
viewer Solar_eclipse_of_September_23,_1699.txt 1 41 
categories Solar_eclipse_of_September_23,_1699.txt 2 120 122 
totality Solar_eclipse_of_September_23,_1699.txt 2 67 94 
between Solar_eclipse_of_September_23,_1699.txt 1 24 
wick Solar_eclipse_of_September_23,_1699.txt 1 103 
thousands Solar_eclipse_of_September_23,_1699.txt 1 86 
occurs Solar_eclipse_of_September_23,_1699.txt 3 19 48 68 
day Solar_eclipse_of_September_23,_1699.txt 1 64 
1699 Solar_eclipse_of_September_23,_1699.txt 2 5 15 
over Solar_eclipse_of_September_23,_1699.txt 1 82 
apparent Solar_eclipse_of_September_23,_1699.txt 1 52 
partly Solar_eclipse_of_September_23,_1699.txt 1 32 
clipped Solar_eclipse_of_September_23,_1699.txt 1 96 
thereby Solar_eclipse_of_September_23,_1699.txt 1 29 
earths Solar_eclipse_of_September_23,_1699.txt 1 74 
with Solar_eclipse_of_September_23,_1699.txt 1 76 
moons Solar_eclipse_of_September_23,_1699.txt 1 51 
occurred Solar_eclipse_of_September_23,_1699.txt 1 11 
it Solar_eclipse_of_September_23,_1699.txt 1 107 
also Solar_eclipse_of_September_23,_1699.txt 1 116 
part Solar_eclipse_of_September_23,_1699.txt 1 110 
corner Solar_eclipse_of_September_23,_1699.txt 1 99 
turning Solar_eclipse_of_September_23,_1699.txt 1 63 
solar Solar_eclipse_of_September_23,_1699.txt 6 0 9 17 46 79 112 
wide Solar_eclipse_of_September_23,_1699.txt 1 89 
obscuring Solar_eclipse_of_September_23,_1699.txt 1 33 
totally Solar_eclipse_of_September_23,_1699.txt 1 30 
than Solar_eclipse_of_September_23,_1699.txt 1 56 
is Solar_eclipse_of_September_23,_1699.txt 2 54 108 
a Solar_eclipse_of_September_23,_1699.txt 8 7 16 40 44 70 83 90 109 
on Solar_eclipse_of_September_23,_1699.txt 2 12 42 
hidden Solar_eclipse_of_September_23,_1699.txt 1 121 
scotland Solar_eclipse_of_September_23,_1699.txt 1 101 
surrounding Solar_eclipse_of_September_23,_1699.txt 1 84 
edit Solar_eclipse_of_September_23,_1699.txt 3 106 117 119 
of Solar_eclipse_of_September_23,_1699.txt 6 2 36 87 93 100 111 
into Solar_eclipse_of_September_23,_1699.txt 1 65 
larger Solar_eclipse_of_September_23,_1699.txt 1 55 
eclipse Solar_eclipse_of_September_23,_1699.txt 5 1 10 18 47 80 
across Solar_eclipse_of_September_23,_1699.txt 1 73 
path Solar_eclipse_of_September_23,_1699.txt 2 72 92 
including Solar_eclipse_of_September_23,_1699.txt 1 102 
blocking Solar_eclipse_of_September_23,_1699.txt 1 59 
region Solar_eclipse_of_September_23,_1699.txt 1 85 
the Solar_eclipse_of_September_23,_1699.txt 8 21 27 34 37 50 57 77 97 
narrow Solar_eclipse_of_September_23,_1699.txt 2 71 91 
or Solar_eclipse_of_September_23,_1699.txt 1 31 
related Solar_eclipse_of_September_23,_1699.txt 1 104 
saros Solar_eclipse_of_September_23,_1699.txt 1 113 
