all St_Ives,_Cornwall.txt 1 2828 
since St_Ives,_Cornwall.txt 2 1481 1971 
todays St_Ives,_Cornwall.txt 1 720 
broke St_Ives,_Cornwall.txt 2 1888 2303 
caused St_Ives,_Cornwall.txt 1 79 
bull St_Ives,_Cornwall.txt 1 1759 
four St_Ives,_Cornwall.txt 3 484 912 1257 
mile St_Ives,_Cornwall.txt 1 1280 
higher St_Ives,_Cornwall.txt 1 2017 
suspected St_Ives,_Cornwall.txt 3 1107 1157 1192 
winds St_Ives,_Cornwall.txt 1 1012 
poetry St_Ives,_Cornwall.txt 1 2712 
oldest St_Ives,_Cornwall.txt 1 239 
decisions St_Ives,_Cornwall.txt 1 1446 
children St_Ives,_Cornwall.txt 1 1693 
1948 St_Ives,_Cornwall.txt 1 2299 
uneven St_Ives,_Cornwall.txt 1 1238 
paris St_Ives,_Cornwall.txt 1 2392 
knill St_Ives,_Cornwall.txt 5 2496 2498 2504 2514 2523 
father St_Ives,_Cornwall.txt 1 2076 
rock St_Ives,_Cornwall.txt 1 2709 
james St_Ives,_Cornwall.txt 1 2360 
former St_Ives,_Cornwall.txt 3 66 1937 2500 
to St_Ives,_Cornwall.txt 67 185 231 267 276 285 305 315 373 376 469 524 616 628 638 643 677 700 714 768 773 844 863 1050 1055 1125 1198 1230 1391 1422 1454 1539 1543 1559 1727 1755 1760 1814 1818 1868 1880 1907 1993 2238 2272 2286 2305 2370 2458 2527 2601 2611 2741 2744 2839 2845 2850 2932 2937 3065 3068 3114 3139 3169 3184 3241 3258 3262 
bays St_Ives,_Cornwall.txt 1 1017 
dazzling St_Ives,_Cornwall.txt 1 2384 
under St_Ives,_Cornwall.txt 1 2083 
sent St_Ives,_Cornwall.txt 1 637 
activities St_Ives,_Cornwall.txt 1 2622 
airport St_Ives,_Cornwall.txt 1 3192 
woman St_Ives,_Cornwall.txt 1 1735 
stayed St_Ives,_Cornwall.txt 1 2862 
vert St_Ives,_Cornwall.txt 1 343 
very St_Ives,_Cornwall.txt 2 570 1185 
faction St_Ives,_Cornwall.txt 1 2302 
pages St_Ives,_Cornwall.txt 1 2822 
1790 St_Ives,_Cornwall.txt 1 512 
robes St_Ives,_Cornwall.txt 1 1574 
1796 St_Ives,_Cornwall.txt 1 514 
wave St_Ives,_Cornwall.txt 2 1036 1059 
every St_Ives,_Cornwall.txt 2 2530 2759 
smeaton St_Ives,_Cornwall.txt 1 451 
continued St_Ives,_Cornwall.txt 1 1777 
inn St_Ives,_Cornwall.txt 3 215 280 2959 
chapel St_Ives,_Cornwall.txt 3 1800 1938 2024 
highways St_Ives,_Cornwall.txt 1 1690 
recreation St_Ives,_Cornwall.txt 1 2993 
stych St_Ives,_Cornwall.txt 1 857 
presented St_Ives,_Cornwall.txt 1 2358 
did St_Ives,_Cornwall.txt 1 1771 
sculpture St_Ives,_Cornwall.txt 2 2215 2441 
michael St_Ives,_Cornwall.txt 2 2247 2891 
deals St_Ives,_Cornwall.txt 1 1685 
1999 St_Ives,_Cornwall.txt 3 1066 1080 2259 
sand St_Ives,_Cornwall.txt 1 1282 
hypothetical St_Ives,_Cornwall.txt 1 2912 
steeple St_Ives,_Cornwall.txt 1 2505 
small St_Ives,_Cornwall.txt 3 1186 1265 2141 
refer St_Ives,_Cornwall.txt 1 2936 
barbara St_Ives,_Cornwall.txt 4 2179 2210 2314 2436 
programme St_Ives,_Cornwall.txt 3 1084 2405 2885 
pierdomenico St_Ives,_Cornwall.txt 1 2906 
